Review,text_clean,text_casefoldingText,text_final_splitted,text_slangwords,text_tokenizingText,text_normalized,text_stopword,text_sentenced,text_final_stemmed,text_final_stemmed_tokenized,polarity_score,polarity
"pada fitur terjemahan dengan gambar, hampir semuanya terasa ribet, karena tidak bisa pilih sebagian kata dalam satu baris, dan hasil terjemahan selalu muncul begitu saja dan menghalangi tulisan yang aku pilih, dan jika aku menutupnya, aku malah harus mengulang kembali dari awal. parah",pada fitur terjemahan dengan gambar hampir semuanya terasa ribet karena tidak bisa pilih sebagian kata dalam satu baris dan hasil terjemahan selalu muncul begitu saja dan menghalangi tulisan yang aku pilih dan jika aku menutupnya aku malah harus mengulang kembali dari awal parah,pada fitur terjemahan dengan gambar hampir semuanya terasa ribet karena tidak bisa pilih sebagian kata dalam satu baris dan hasil terjemahan selalu muncul begitu saja dan menghalangi tulisan yang aku pilih dan jika aku menutupnya aku malah harus mengulang kembali dari awal parah,pada fitur terjemahan dengan gambar hampir semuanya terasa ribet karena tidak bisa pilih sebagian kata dalam satu baris dan hasil terjemahan selalu muncul begitu saja dan menghalangi tulisan yang aku pilih dan jika aku menutupnya aku malah harus mengulang kembali dari awal parah,pada fitur terjemahan dengan gambar hampir semuanya terasa ribet karena tidak bisa pilih sebagian kata dalam satu baris dan hasil terjemahan selalu muncul begitu saja dan menghalangi tulisan yang aku pilih dan jika aku menutupnya aku bahkan harus mengulang kembali dari awal parah,"['pada', 'fitur', 'terjemahan', 'dengan', 'gambar', 'hampir', 'semuanya', 'terasa', 'ribet', 'karena', 'tidak', 'bisa', 'pilih', 'sebagian', 'kata', 'dalam', 'satu', 'baris', 'dan', 'hasil', 'terjemahan', 'selalu', 'muncul', 'begitu', 'saja', 'dan', 'menghalangi', 'tulisan', 'yang', 'aku', 'pilih', 'dan', 'jika', 'aku', 'menutupnya', 'aku', 'bahkan', 'harus', 'mengulang', 'kembali', 'dari', 'awal', 'parah']","['pada', 'fitur', 'terjemahan', 'dengan', 'gambar', 'hampir', 'semuanya', 'terasa', 'ribet', 'karena', 'tidak', 'bisa', 'pilih', 'sebagian', 'kata', 'dalam', 'satu', 'baris', 'dan', 'hasil', 'terjemahan', 'selalu', 'muncul', 'begitu', 'saja', 'dan', 'menghalangi', 'tulisan', 'yang', 'aku', 'pilih', 'dan', 'jika', 'aku', 'menutupnya', 'aku', 'bahkan', 'harus', 'mengulang', 'kembali', 'dari', 'awal', 'parah']","['fitur', 'terjemahan', 'gambar', 'ribet', 'pilih', 'baris', 'hasil', 'terjemahan', 'muncul', 'menghalangi', 'tulisan', 'pilih', 'menutupnya', 'mengulang', 'parah']",fitur terjemahan gambar ribet pilih baris hasil terjemahan muncul menghalangi tulisan pilih menutupnya mengulang parah,fitur terjemah gambar ribet pilih baris hasil terjemah muncul halang tulis pilih tutup ulang parah,"['fitur', 'terjemah', 'gambar', 'ribet', 'pilih', 'baris', 'hasil', 'terjemah', 'muncul', 'halang', 'tulis', 'pilih', 'tutup', 'ulang', 'parah']",13,positive
"Tolong hapus iklan di bawah nyaaa, itu sangat mengganggu saat menghafal/belajar bahasa asing, arigatou.",Tolong hapus iklan di bawah nyaaa itu sangat mengganggu saat menghafalbelajar bahasa asing arigatou,tolong hapus iklan di bawah nyaaa itu sangat mengganggu saat menghafalbelajar bahasa asing arigatou,tolong hapus iklan di bawah nyaaa itu sangat mengganggu saat menghafalbelajar bahasa asing arigatou,tolong hapus iklan di bawah nyaaa itu sangat mengganggu saat menghafalbelajar bahasa asing arigatou,"['tolong', 'hapus', 'iklan', 'di', 'bawah', 'nyaaa', 'itu', 'sangat', 'mengganggu', 'saat', 'menghafalbelajar', 'bahasa', 'asing', 'arigatou']","['tolong', 'hapus', 'iklan', 'di', 'bawah', 'nyaaa', 'itu', 'sangat', 'mengganggu', 'saat', 'menghafalbelajar', 'bahasa', 'asing', 'terima kasih']","['tolong', 'hapus', 'iklan', 'nyaaa', 'mengganggu', 'menghafalbelajar', 'bahasa', 'asing', 'terima kasih']",tolong hapus iklan nyaaa mengganggu menghafalbelajar bahasa asing terima kasih,tolong hapus iklan nyaaa ganggu menghafalbelajar bahasa asing terima kasih,"['tolong', 'hapus', 'iklan', 'nyaaa', 'ganggu', 'menghafalbelajar', 'bahasa', 'asing', 'terima', 'kasih']",12,positive
aplikasi nya bagus dan kalau bisa mohon jadikan fitur komunikasi dan fitur kamus sediakan untuk offline agar sewaktu waktu jika ada warga Indonesia di jepang dapat berkomunikasi bahkan tanpa internet,aplikasi nya bagus dan kalau bisa mohon jadikan fitur komunikasi dan fitur kamus sediakan untuk offline agar sewaktu waktu jika ada warga Indonesia di jepang dapat berkomunikasi bahkan tanpa internet,aplikasi nya bagus dan kalau bisa mohon jadikan fitur komunikasi dan fitur kamus sediakan untuk offline agar sewaktu waktu jika ada warga indonesia di jepang dapat berkomunikasi bahkan tanpa internet,aplikasi nya bagus dan kalau bisa mohon jadikan fitur komunikasi dan fitur kamus sediakan untuk offline agar sewaktu waktu jika ada warga indonesia di jepang dapat berkomunikasi bahkan tanpa internet,aplikasi nya bagus dan kalau bisa mohon jadikan fitur komunikasi dan fitur kamus sediakan untuk offline agar sewaktu waktu jika ada warga indonesia di jepang dapat berkomunikasi bahkan tanpa internet,"['aplikasi', 'nya', 'bagus', 'dan', 'kalau', 'bisa', 'mohon', 'jadikan', 'fitur', 'komunikasi', 'dan', 'fitur', 'kamus', 'sediakan', 'untuk', 'offline', 'agar', 'sewaktu', 'waktu', 'jika', 'ada', 'warga', 'indonesia', 'di', 'jepang', 'dapat', 'berkomunikasi', 'bahkan', 'tanpa', 'internet']","['aplikasi', 'nya', 'bagus', 'dan', 'kalau', 'bisa', 'mohon', 'jadikan', 'fitur', 'komunikasi', 'dan', 'fitur', 'kamus', 'sediakan', 'untuk', 'offline', 'agar', 'sewaktu', 'waktu', 'jika', 'ada', 'warga', 'indonesia', 'di', 'jepang', 'dapat', 'berkomunikasi', 'bahkan', 'tanpa', 'internet']","['aplikasi', 'bagus', 'mohon', 'jadikan', 'fitur', 'komunikasi', 'fitur', 'kamus', 'sediakan', 'offline', 'warga', 'indonesia', 'jepang', 'berkomunikasi', 'internet']",aplikasi bagus mohon jadikan fitur komunikasi fitur kamus sediakan offline warga indonesia jepang berkomunikasi internet,aplikasi bagus mohon jadi fitur komunikasi fitur kamus sedia offline warga indonesia jepang komunikasi internet,"['aplikasi', 'bagus', 'mohon', 'jadi', 'fitur', 'komunikasi', 'fitur', 'kamus', 'sedia', 'offline', 'warga', 'indonesia', 'jepang', 'komunikasi', 'internet']",18,positive
"overall buat latihan kanji atau kotoba nya okelah. tpi buat tes N5-N1 udh di plot jawaban testnya. wlpun jawab udh bener, tpi dr sistem apl sendiri diganti jwbnnya dan dibuat salah. so, percuma latihan tes tapi buat score testnya udh di plot ke jwbn salah wkwk aneh.",overall buat latihan kanji atau kotoba nya okelah tpi buat tes NN udh di plot jawaban testnya wlpun jawab udh bener tpi dr sistem apl sendiri diganti jwbnnya dan dibuat salah so percuma latihan tes tapi buat score testnya udh di plot ke jwbn salah wkwk aneh,overall buat latihan kanji atau kotoba nya okelah tpi buat tes nn udh di plot jawaban testnya wlpun jawab udh bener tpi dr sistem apl sendiri diganti jwbnnya dan dibuat salah so percuma latihan tes tapi buat score testnya udh di plot ke jwbn salah wkwk aneh,overall buat latihan kanji atau kotoba nya okelah tpi buat tes nn udh di plot jawaban testnya wlpun jawab udh bener tpi dr sistem apl sendiri diganti jwbnnya dan dibuat salah so percuma latihan tes buat score testnya udh di plot ke jwbn salah wkwk aneh,overall buat latihan kanji atau kotoba nya okelah tapi buat tes nn sudah di plot jawaban testnya wlpun jawab sudah benar tapi dari sistem apl sendiri diganti jwbnnya dan dibuat salah so percuma latihan tes buat score testnya sudah di plot ke jwbn salah tertawa aneh,"['overall', 'buat', 'latihan', 'kanji', 'atau', 'kotoba', 'nya', 'okelah', 'tapi', 'buat', 'tes', 'nn', 'sudah', 'di', 'plot', 'jawaban', 'testnya', 'wlpun', 'jawab', 'sudah', 'benar', 'tapi', 'dari', 'sistem', 'apl', 'sendiri', 'diganti', 'jwbnnya', 'dan', 'dibuat', 'salah', 'so', 'percuma', 'latihan', 'tes', 'buat', 'score', 'testnya', 'sudah', 'di', 'plot', 'ke', 'jwbn', 'salah', 'tertawa', 'aneh']","['overall', 'buat', 'latihan', 'kanji', 'atau', 'kotoba', 'nya', 'okelah', 'tapi', 'buat', 'tes', 'nn', 'sudah', 'di', 'plot', 'jawaban', 'testnya', 'wlpun', 'jawab', 'sudah', 'benar', 'tapi', 'dari', 'sistem', 'apl', 'sendiri', 'diganti', 'jwbnnya', 'dan', 'dibuat', 'salah', 'so', 'percuma', 'latihan', 'tes', 'buat', 'score', 'testnya', 'sudah', 'di', 'plot', 'ke', 'jwbn', 'salah', 'tertawa', 'aneh']","['overall', 'latihan', 'kanji', 'kotoba', 'okelah', 'tes', 'nn', 'plot', 'testnya', 'wlpun', 'sistem', 'apl', 'diganti', 'jwbnnya', 'salah', 'latihan', 'tes', 'score', 'testnya', 'plot', 'jwbn', 'salah', 'tertawa', 'aneh']",overall latihan kanji kotoba okelah tes nn plot testnya wlpun sistem apl diganti jwbnnya salah latihan tes score testnya plot jwbn salah tertawa aneh,overall latih kanji kotoba oke tes nn plot testnya wlpun sistem apl ganti jwbnnya salah latih tes score testnya plot jwbn salah tertawa aneh,"['overall', 'latih', 'kanji', 'kotoba', 'oke', 'tes', 'nn', 'plot', 'testnya', 'wlpun', 'sistem', 'apl', 'ganti', 'jwbnnya', 'salah', 'latih', 'tes', 'score', 'testnya', 'plot', 'jwbn', 'salah', 'tertawa', 'aneh']",27,positive
"setelah beberapa hari premium seumur hidup lalu update fitur cek grammar di pindah ke ai premium mantab 1 fitur premium pergi ke ai yang nggak berguna bikin nggak mood belajar soalnya harus beli ai premium kalau nggak grammar nya jadi limit padahal sebelum update ai, premium=grammar tidak terbatas👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍",setelah beberapa hari premium seumur hidup lalu update fitur cek grammar di pindah ke ai premium mantab  fitur premium pergi ke ai yang nggak berguna bikin nggak mood belajar soalnya harus beli ai premium kalau nggak grammar nya jadi limit padahal sebelum update ai premiumgrammar tidak terbatas,setelah beberapa hari premium seumur hidup lalu update fitur cek grammar di pindah ke ai premium mantab  fitur premium pergi ke ai yang nggak berguna bikin nggak mood belajar soalnya harus beli ai premium kalau nggak grammar nya jadi limit padahal sebelum update ai premiumgrammar tidak terbatas,setelah beberapa hari premium seumur hidup lalu update fitur cek grammar di pindah ke ai premium mantab  fitur premium pergi ke ai yang nggak berguna bikin nggak mood belajar soalnya harus beli ai premium kalau nggak grammar nya jadi limit padahal sebelum update ai premiumgrammar tidak terbatas,setelah beberapa hari premium seumur hidup lalu update fitur cek tata bahasa di pindah ke ai premium mantab fitur premium pergi ke ai yang tidak berguna buat tidak mood belajar soalnya harus beli ai premium kalau tidak tata bahasa nya jadi limit padahal sebelum update ai premiumgrammar tidak terbatas,"['setelah', 'beberapa', 'hari', 'premium', 'seumur', 'hidup', 'lalu', 'update', 'fitur', 'cek', 'tata', 'bahasa', 'di', 'pindah', 'ke', 'ai', 'premium', 'mantab', 'fitur', 'premium', 'pergi', 'ke', 'ai', 'yang', 'tidak', 'berguna', 'buat', 'tidak', 'mood', 'belajar', 'soalnya', 'harus', 'beli', 'ai', 'premium', 'kalau', 'tidak', 'tata', 'bahasa', 'nya', 'jadi', 'limit', 'padahal', 'sebelum', 'update', 'ai', 'premiumgrammar', 'tidak', 'terbatas']","['setelah', 'beberapa', 'hari', 'premium', 'seumur', 'hidup', 'lalu', 'update', 'fitur', 'cek', 'tata', 'bahasa', 'di', 'pindah', 'ke', 'ai', 'premium', 'mantab', 'fitur', 'premium', 'pergi', 'ke', 'ai', 'yang', 'tidak', 'berguna', 'buat', 'tidak', 'mood', 'belajar', 'soalnya', 'harus', 'beli', 'ai', 'premium', 'kalau', 'tidak', 'tata', 'bahasa', 'nya', 'jadi', 'limit', 'padahal', 'sebelum', 'update', 'ai', 'premiumgrammar', 'tidak', 'terbatas']","['premium', 'seumur', 'hidup', 'update', 'fitur', 'cek', 'tata', 'bahasa', 'pindah', 'ai', 'premium', 'mantab', 'fitur', 'premium', 'pergi', 'ai', 'berguna', 'mood', 'belajar', 'beli', 'ai', 'premium', 'tata', 'bahasa', 'limit', 'update', 'ai', 'premiumgrammar', 'terbatas']",premium seumur hidup update fitur cek tata bahasa pindah ai premium mantab fitur premium pergi ai berguna mood belajar beli ai premium tata bahasa limit update ai premiumgrammar terbatas,premium umur hidup update fitur cek tata bahasa pindah ai premium mantab fitur premium pergi ai guna mood ajar beli ai premium tata bahasa limit update ai premiumgrammar batas,"['premium', 'umur', 'hidup', 'update', 'fitur', 'cek', 'tata', 'bahasa', 'pindah', 'ai', 'premium', 'mantab', 'fitur', 'premium', 'pergi', 'ai', 'guna', 'mood', 'ajar', 'beli', 'ai', 'premium', 'tata', 'bahasa', 'limit', 'update', 'ai', 'premiumgrammar', 'batas']",48,positive
"saran min,untuk huruf KANJI di setiap tingkat N5 - N1 listnya di buat berurutan seperti kanji khusus angka,hewan,alat rumah dll biar bisa disusun rapi dan agar mudah di hafal juga min 😁😁",saran minuntuk huruf KANJI di setiap tingkat N  N listnya di buat berurutan seperti kanji khusus angkahewanalat rumah dll biar bisa disusun rapi dan agar mudah di hafal juga min,saran minuntuk huruf kanji di setiap tingkat n  n listnya di buat berurutan seperti kanji khusus angkahewanalat rumah dll biar bisa disusun rapi dan agar mudah di hafal juga min,saran minuntuk huruf kanji di setiap tingkat n  n listnya di buat berurutan seperti kanji khusus angkahewanalat rumah dll biar bisa disusun rapi dan agar mudah di hafal juga min,saran minuntuk huruf kanji di setiap tingkat dan dan listnya di buat berurutan seperti kanji khusus angkahewanalat rumah dan lain-lain biar bisa disusun rapi dan agar mudah di hafal juga min,"['saran', 'minuntuk', 'huruf', 'kanji', 'di', 'setiap', 'tingkat', 'dan', 'dan', 'listnya', 'di', 'buat', 'berurutan', 'seperti', 'kanji', 'khusus', 'angkahewanalat', 'rumah', 'dan', 'lain-lain', 'biar', 'bisa', 'disusun', 'rapi', 'dan', 'agar', 'mudah', 'di', 'hafal', 'juga', 'min']","['saran', 'minuntuk', 'huruf', 'kanji', 'di', 'setiap', 'tingkat', 'dan', 'dan', 'listnya', 'di', 'buat', 'berurutan', 'seperti', 'kanji', 'khusus', 'angkahewanalat', 'rumah', 'dan', 'lain-lain', 'biar', 'bisa', 'disusun', 'rapi', 'dan', 'agar', 'mudah', 'di', 'hafal', 'juga', 'min']","['saran', 'minuntuk', 'huruf', 'kanji', 'tingkat', 'listnya', 'berurutan', 'kanji', 'khusus', 'angkahewanalat', 'rumah', 'lain-lain', 'biar', 'disusun', 'rapi', 'mudah', 'hafal', 'min']",saran minuntuk huruf kanji tingkat listnya berurutan kanji khusus angkahewanalat rumah lain-lain biar disusun rapi mudah hafal min,saran minuntuk huruf kanji tingkat listnya rurut kanji khusus angkahewanalat rumah lain biar susun rapi mudah hafal min,"['saran', 'minuntuk', 'huruf', 'kanji', 'tingkat', 'listnya', 'rurut', 'kanji', 'khusus', 'angkahewanalat', 'rumah', 'lain', 'biar', 'susun', 'rapi', 'mudah', 'hafal', 'min']",28,positive
"Asal nya tidak ada kendala dan baik"" saja, tiba tiba apk ini tidak kompatibel di hp saya dan TIDAK BISA DI INSTAL, padahal hp saya poco F5 android 13, padahal saya akun premium di apk mazii ini TOLONG",Asal nya tidak ada kendala dan baik saja tiba tiba apk ini tidak kompatibel di hp saya dan TIDAK BISA DI INSTAL padahal hp saya poco F android  padahal saya akun premium di apk mazii ini TOLONG,asal nya tidak ada kendala dan baik saja tiba tiba apk ini tidak kompatibel di hp saya dan tidak bisa di instal padahal hp saya poco f android  padahal saya akun premium di apk mazii ini tolong,asal nya tidak ada kendala dan baik saja tiba tiba apk ini tidak kompatibel di hp saya dan tidak bisa di instal padahal hp saya poco f android  padahal saya akun premium di apk mazii ini tolong,asal nya tidak ada kendala dan baik saja tiba tiba apk ini tidak kompatibel di hp saya dan tidak bisa di instal padahal hp saya poco f android padahal saya akun premium di apk mazii ini tolong,"['asal', 'nya', 'tidak', 'ada', 'kendala', 'dan', 'baik', 'saja', 'tiba', 'tiba', 'apk', 'ini', 'tidak', 'kompatibel', 'di', 'hp', 'saya', 'dan', 'tidak', 'bisa', 'di', 'instal', 'padahal', 'hp', 'saya', 'poco', 'f', 'android', 'padahal', 'saya', 'akun', 'premium', 'di', 'apk', 'mazii', 'ini', 'tolong']","['asal', 'nya', 'tidak', 'ada', 'kendala', 'dan', 'baik', 'saja', 'tiba', 'tiba', 'apk', 'ini', 'tidak', 'kompatibel', 'di', 'hp', 'saya', 'dan', 'tidak', 'bisa', 'di', 'instal', 'padahal', 'hp', 'saya', 'poco', 'f', 'android', 'padahal', 'saya', 'akun', 'premium', 'di', 'apk', 'mazii', 'ini', 'tolong']","['kendala', 'baik', 'apk', 'kompatibel', 'hp', 'instal', 'hp', 'poco', 'f', 'android', 'akun', 'premium', 'apk', 'mazii', 'tolong']",kendala baik apk kompatibel hp instal hp poco f android akun premium apk mazii tolong,kendala baik apk kompatibel hp instal hp poco f android akun premium apk mazi tolong,"['kendala', 'baik', 'apk', 'kompatibel', 'hp', 'instal', 'hp', 'poco', 'f', 'android', 'akun', 'premium', 'apk', 'mazi', 'tolong']",1,positive
"banyak kotoba yg gue coba crosscheck ga terdaftar alias kotobanya asal-asalan. rugi 200k, mana beli prem nya di luar PS",banyak kotoba yg gue coba crosscheck ga terdaftar alias kotobanya asalasalan rugi k mana beli prem nya di luar PS,banyak kotoba yg gue coba crosscheck ga terdaftar alias kotobanya asalasalan rugi k mana beli prem nya di luar ps,banyak kotoba yg gue coba crosscheck ga terdaftar alias kotobanya asalasalan rugi k mana beli prem nya di luar ps,banyak kotoba yang aku coba crosscheck tidak terdaftar alias kotobanya asalasalan rugi ke mana beli prem nya di luar ps,"['banyak', 'kotoba', 'yang', 'aku', 'coba', 'crosscheck', 'tidak', 'terdaftar', 'alias', 'kotobanya', 'asalasalan', 'rugi', 'ke', 'mana', 'beli', 'prem', 'nya', 'di', 'luar', 'ps']","['banyak', 'kotoba', 'yang', 'aku', 'coba', 'crosscheck', 'tidak', 'terdaftar', 'alias', 'kotobanya', 'asalasalan', 'rugi', 'ke', 'mana', 'beli', 'premium', 'nya', 'di', 'luar', 'ps']","['kotoba', 'coba', 'crosscheck', 'terdaftar', 'alias', 'kotobanya', 'asalasalan', 'rugi', 'beli', 'premium', 'ps']",kotoba coba crosscheck terdaftar alias kotobanya asalasalan rugi beli premium ps,kotoba coba crosscheck daftar alias kotobanya asalasalan rugi beli premium ps,"['kotoba', 'coba', 'crosscheck', 'daftar', 'alias', 'kotobanya', 'asalasalan', 'rugi', 'beli', 'premium', 'ps']",14,positive
"sekarang lebih bagus, dri kamus dan lain2nya sudah banyak perbaikan lebih nyaman di pakainya sekarang 👍",sekarang lebih bagus dri kamus dan lainnya sudah banyak perbaikan lebih nyaman di pakainya sekarang,sekarang lebih bagus dri kamus dan lainnya sudah banyak perbaikan lebih nyaman di pakainya sekarang,sekarang lebih bagus dri kamus dan lainnya sudah banyak perbaikan lebih nyaman di pakainya sekarang,sekarang lebih bagus dari kamus dan lainnya sudah banyak perbaikan lebih nyaman di pakainya sekarang,"['sekarang', 'lebih', 'bagus', 'dari', 'kamus', 'dan', 'lainnya', 'sudah', 'banyak', 'perbaikan', 'lebih', 'nyaman', 'di', 'pakainya', 'sekarang']","['sekarang', 'lebih', 'bagus', 'dari', 'kamus', 'dan', 'lainnya', 'sudah', 'banyak', 'perbaikan', 'lebih', 'nyaman', 'di', 'pakainya', 'sekarang']","['bagus', 'kamus', 'perbaikan', 'nyaman', 'pakainya']",bagus kamus perbaikan nyaman pakainya,bagus kamus baik nyaman pakai,"['bagus', 'kamus', 'baik', 'nyaman', 'pakai']",9,positive
"Aduhh, kapitalis sekali, AI nya cuma dikasih 3 sehari, padahal sebelumnya 10an, kalo premiumnya ramah di kantong pelajar mah aku mau² aja bayar, tapi ini udah kayak prem youtube",Aduhh kapitalis sekali AI nya cuma dikasih  sehari padahal sebelumnya an kalo premiumnya ramah di kantong pelajar mah aku mau aja bayar tapi ini udah kayak prem youtube,aduhh kapitalis sekali ai nya cuma dikasih  sehari padahal sebelumnya an kalo premiumnya ramah di kantong pelajar mah aku mau aja bayar tapi ini udah kayak prem youtube,aduhh kapitalis sekali ai nya cuma dikasih  sehari padahal sebelumnya an kalo premiumnya ramah di kantong pelajar mah aku mau aja bayar ini udah kayak prem youtube,aduhh kapitalis sekali ai nya cuma dikasih sehari padahal sebelumnya an kalau premiumnya ramah di kantong pelajar mah aku mau saja bayar ini sudah kayak prem youtube,"['aduhh', 'kapitalis', 'sekali', 'ai', 'nya', 'cuma', 'dikasih', 'sehari', 'padahal', 'sebelumnya', 'an', 'kalau', 'premiumnya', 'ramah', 'di', 'kantong', 'pelajar', 'mah', 'aku', 'mau', 'saja', 'bayar', 'ini', 'sudah', 'kayak', 'prem', 'youtube']","['aduhh', 'kapitalis', 'sekali', 'ai', 'nya', 'cuma', 'dikasih', 'sehari', 'padahal', 'sebelumnya', 'an', 'kalau', 'premiumnya', 'ramah', 'di', 'kantong', 'pelajar', 'mah', 'aku', 'mau', 'saja', 'bayar', 'ini', 'sudah', 'kayak', 'premium', 'youtube']","['aduhh', 'kapitalis', 'ai', 'dikasih', 'sehari', 'premiumnya', 'ramah', 'kantong', 'pelajar', 'mah', 'bayar', 'kayak', 'premium', 'youtube']",aduhh kapitalis ai dikasih sehari premiumnya ramah kantong pelajar mah bayar kayak premium youtube,aduhh kapitalis ai kasih hari premium ramah kantong ajar mah bayar kayak premium youtube,"['aduhh', 'kapitalis', 'ai', 'kasih', 'hari', 'premium', 'ramah', 'kantong', 'ajar', 'mah', 'bayar', 'kayak', 'premium', 'youtube']",18,positive
