Review,text_clean,text_casefoldingText,text_final_splitted,text_slangwords,text_tokenizingText,text_normalized,text_stopword,text_sentenced,text_final_stemmed
"Aplikasinya sangat bagus. Dari semua aplikasi yang pernah saya pakai, ini terbaik sih. Hanya saja, mohon diperbaiki aplikasinya, soalnya saya mau beli premium ga bisa2 karena loading terus. tolong segera diperbaiki yaa",Aplikasinya sangat bagus Dari semua aplikasi yang pernah saya pakai ini terbaik sih Hanya saja mohon diperbaiki aplikasinya soalnya saya mau beli premium ga bisa karena loading terus tolong segera diperbaiki yaa,aplikasinya sangat bagus dari semua aplikasi yang pernah saya pakai ini terbaik sih hanya saja mohon diperbaiki aplikasinya soalnya saya mau beli premium ga bisa karena loading terus tolong segera diperbaiki yaa,aplikasinya sangat bagus dari semua aplikasi yang pernah saya pakai ini terbaik sih hanya saja mohon diperbaiki aplikasinya soalnya saya mau beli premium ga bisa karena loading terus tolong segera diperbaiki yaa,aplikasinya sangat bagus dari semua aplikasi yang pernah saya pakai ini terbaik sih hanya saja mohon diperbaiki aplikasinya soalnya saya mau beli premium tidak bisa karena loading terus tolong segera diperbaiki yaa,"['aplikasinya', 'sangat', 'bagus', 'dari', 'semua', 'aplikasi', 'yang', 'pernah', 'saya', 'pakai', 'ini', 'terbaik', 'sih', 'hanya', 'saja', 'mohon', 'diperbaiki', 'aplikasinya', 'soalnya', 'saya', 'mau', 'beli', 'premium', 'tidak', 'bisa', 'karena', 'loading', 'terus', 'tolong', 'segera', 'diperbaiki', 'yaa']","['aplikasinya', 'sangat', 'bagus', 'dari', 'semua', 'aplikasi', 'yang', 'pernah', 'saya', 'pakai', 'ini', 'terbaik', 'sih', 'hanya', 'saja', 'mohon', 'diperbaiki', 'aplikasinya', 'soalnya', 'saya', 'mau', 'beli', 'premium', 'tidak', 'bisa', 'karena', 'loading', 'terus', 'tolong', 'segera', 'diperbaiki', 'yaa']","['aplikasinya', 'bagus', 'aplikasi', 'pakai', 'terbaik', 'mohon', 'diperbaiki', 'aplikasinya', 'beli', 'premium', 'loading', 'tolong', 'diperbaiki']",aplikasinya bagus aplikasi pakai terbaik mohon diperbaiki aplikasinya beli premium loading tolong diperbaiki,aplikasi bagus aplikasi pakai baik mohon baik aplikasi beli premium loading tolong baik
"sejauh ini aplikasi ternyaman. Tidak ada iklan tidak jelas, semua pelajaran lengkap, dan premium sekali (tidak perlu berlangganan tiap bulan!) Sepertinya pembuat JAsensei adalah orang baik yang suka bagi ilmu geratis😺",sejauh ini aplikasi ternyaman Tidak ada iklan tidak jelas semua pelajaran lengkap dan premium sekali tidak perlu berlangganan tiap bulan Sepertinya pembuat JAsensei adalah orang baik yang suka bagi ilmu geratis,sejauh ini aplikasi ternyaman tidak ada iklan tidak jelas semua pelajaran lengkap dan premium sekali tidak perlu berlangganan tiap bulan sepertinya pembuat jasensei adalah orang baik yang suka bagi ilmu geratis,sejauh ini aplikasi ternyaman tidak ada iklan tidak jelas semua pelajaran lengkap dan premium sekali tidak perlu berlangganan tiap bulan sepertinya pembuat jasensei adalah orang baik yang suka bagi ilmu geratis,sejauh ini aplikasi ternyaman tidak ada iklan tidak jelas semua pelajaran lengkap dan premium sekali tidak perlu berlangganan tiap bulan sepertinya pembuat jasensei adalah orang baik yang suka bagi ilmu geratis,"['sejauh', 'ini', 'aplikasi', 'ternyaman', 'tidak', 'ada', 'iklan', 'tidak', 'jelas', 'semua', 'pelajaran', 'lengkap', 'dan', 'premium', 'sekali', 'tidak', 'perlu', 'berlangganan', 'tiap', 'bulan', 'sepertinya', 'pembuat', 'jasensei', 'adalah', 'orang', 'baik', 'yang', 'suka', 'bagi', 'ilmu', 'geratis']","['sejauh', 'ini', 'aplikasi', 'ternyaman', 'tidak', 'ada', 'iklan', 'tidak', 'jelas', 'semua', 'pelajaran', 'lengkap', 'dan', 'premium', 'sekali', 'tidak', 'perlu', 'berlangganan', 'tiap', 'bulan', 'sepertinya', 'pembuat', 'jasensei', 'adalah', 'orang', 'baik', 'yang', 'suka', 'bagi', 'ilmu', 'geratis']","['aplikasi', 'ternyaman', 'iklan', 'pelajaran', 'lengkap', 'premium', 'berlangganan', 'pembuat', 'jasensei', 'orang', 'baik', 'suka', 'ilmu', 'geratis']",aplikasi ternyaman iklan pelajaran lengkap premium berlangganan pembuat jasensei orang baik suka ilmu geratis,aplikasi nyaman iklan ajar lengkap premium langgan buat jasensei orang baik suka ilmu gerat
aplikasi nya udah bagus tapi pas saya ingin membuat profil saya tidak bisa membuat nya karena email atau username salah tolong di perbaiki lagi,aplikasi nya udah bagus tapi pas saya ingin membuat profil saya tidak bisa membuat nya karena email atau username salah tolong di perbaiki lagi,aplikasi nya udah bagus tapi pas saya ingin membuat profil saya tidak bisa membuat nya karena email atau username salah tolong di perbaiki lagi,aplikasi nya udah bagus pas saya ingin membuat profil saya tidak bisa membuat nya karena email atau username salah tolong di perbaiki lagi,aplikasi nya sudah bagus pas saya ingin membuat profil saya tidak bisa membuat nya karena email atau username salah tolong di perbaiki lagi,"['aplikasi', 'nya', 'sudah', 'bagus', 'pas', 'saya', 'ingin', 'membuat', 'profil', 'saya', 'tidak', 'bisa', 'membuat', 'nya', 'karena', 'email', 'atau', 'username', 'salah', 'tolong', 'di', 'perbaiki', 'lagi']","['aplikasi', 'nya', 'sudah', 'bagus', 'pas', 'saya', 'ingin', 'membuat', 'profil', 'saya', 'tidak', 'bisa', 'membuat', 'nya', 'karena', 'email', 'atau', 'username', 'salah', 'tolong', 'di', 'perbaiki', 'lagi']","['aplikasi', 'bagus', 'pas', 'profil', 'email', 'username', 'salah', 'tolong', 'perbaiki']",aplikasi bagus pas profil email username salah tolong perbaiki,aplikasi bagus pas profil email username salah tolong baik
paling rekomen banget di antara apk yang lain sumpah ini bener bener bagus,paling rekomen banget di antara apk yang lain sumpah ini bener bener bagus,paling rekomen banget di antara apk yang lain sumpah ini bener bener bagus,paling rekomen banget di antara apk yang lain sumpah ini bener bener bagus,paling rekomen banget di antara apk yang lain sumpah ini benar benar bagus,"['paling', 'rekomen', 'banget', 'di', 'antara', 'apk', 'yang', 'lain', 'sumpah', 'ini', 'benar', 'benar', 'bagus']","['paling', 'rekomen', 'banget', 'di', 'antara', 'apk', 'yang', 'lain', 'sumpah', 'ini', 'benar', 'benar', 'bagus']","['rekomen', 'banget', 'apk', 'sumpah', 'bagus']",rekomen banget apk sumpah bagus,rekomen banget apk sumpah bagus
"Banyak pelajaran lengkap, gratis, dan offline, walaupun banyak juga yang berbayar, tapi worth it sih karena one payment lifetime access untuk semuanya.",Banyak pelajaran lengkap gratis dan offline walaupun banyak juga yang berbayar tapi worth it sih karena one payment lifetime access untuk semuanya,banyak pelajaran lengkap gratis dan offline walaupun banyak juga yang berbayar tapi worth it sih karena one payment lifetime access untuk semuanya,banyak pelajaran lengkap gratis dan offline banyak juga yang berbayar worth it sih karena one payment lifetime access untuk semuanya,banyak pelajaran lengkap gratis dan offline banyak juga yang berbayar worth it sih karena one payment lifetime access untuk semuanya,"['banyak', 'pelajaran', 'lengkap', 'gratis', 'dan', 'offline', 'banyak', 'juga', 'yang', 'berbayar', 'worth', 'it', 'sih', 'karena', 'one', 'payment', 'lifetime', 'access', 'untuk', 'semuanya']","['banyak', 'pelajaran', 'lengkap', 'gratis', 'dan', 'offline', 'banyak', 'juga', 'yang', 'berbayar', 'worth', 'it', 'sih', 'karena', 'one', 'payment', 'lifetime', 'access', 'untuk', 'semuanya']","['pelajaran', 'lengkap', 'gratis', 'offline', 'berbayar', 'worth', 'one', 'payment', 'lifetime', 'access']",pelajaran lengkap gratis offline berbayar worth one payment lifetime access,ajar lengkap gratis offline bayar worth one payment lifetime access
"Materi sangat bervariasi dalam satu aplikasi, mulai dari budaya, kanji, kosakata dsb. Jadi gak ribet pindah aplikasi lain untuk ganti materi. Sudah tersedia dalam bahasa Indonesia juga. Namun masih perlu banyak perbaikan untuk terjemahannya. Tingkatkan terus! -GS2222",Materi sangat bervariasi dalam satu aplikasi mulai dari budaya kanji kosakata dsb Jadi gak ribet pindah aplikasi lain untuk ganti materi Sudah tersedia dalam bahasa Indonesia juga Namun masih perlu banyak perbaikan untuk terjemahannya Tingkatkan terus GS,materi sangat bervariasi dalam satu aplikasi mulai dari budaya kanji kosakata dsb jadi gak ribet pindah aplikasi lain untuk ganti materi sudah tersedia dalam bahasa indonesia juga namun masih perlu banyak perbaikan untuk terjemahannya tingkatkan terus gs,materi sangat bervariasi dalam satu aplikasi mulai dari budaya kanji kosakata dsb jadi gak ribet pindah aplikasi lain untuk ganti materi sudah tersedia dalam bahasa indonesia juga masih perlu banyak perbaikan untuk terjemahannya tingkatkan terus gs,materi sangat bervariasi dalam satu aplikasi mulai dari budaya kanji kosakata dan sebagainya jadi tidak ribet pindah aplikasi lain untuk ganti materi sudah tersedia dalam bahasa indonesia juga masih perlu banyak perbaikan untuk terjemahannya tingkatkan terus gs,"['materi', 'sangat', 'bervariasi', 'dalam', 'satu', 'aplikasi', 'mulai', 'dari', 'budaya', 'kanji', 'kosakata', 'dan', 'sebagainya', 'jadi', 'tidak', 'ribet', 'pindah', 'aplikasi', 'lain', 'untuk', 'ganti', 'materi', 'sudah', 'tersedia', 'dalam', 'bahasa', 'indonesia', 'juga', 'masih', 'perlu', 'banyak', 'perbaikan', 'untuk', 'terjemahannya', 'tingkatkan', 'terus', 'gs']","['materi', 'sangat', 'bervariasi', 'dalam', 'satu', 'aplikasi', 'mulai', 'dari', 'budaya', 'kanji', 'kosakata', 'dan', 'sebagainya', 'jadi', 'tidak', 'ribet', 'pindah', 'aplikasi', 'lain', 'untuk', 'ganti', 'materi', 'sudah', 'tersedia', 'dalam', 'bahasa', 'indonesia', 'juga', 'masih', 'perlu', 'banyak', 'perbaikan', 'untuk', 'terjemahannya', 'tingkatkan', 'terus', 'gs']","['materi', 'bervariasi', 'aplikasi', 'budaya', 'kanji', 'kosakata', 'ribet', 'pindah', 'aplikasi', 'ganti', 'materi', 'tersedia', 'bahasa', 'indonesia', 'perbaikan', 'terjemahannya', 'tingkatkan', 'gs']",materi bervariasi aplikasi budaya kanji kosakata ribet pindah aplikasi ganti materi tersedia bahasa indonesia perbaikan terjemahannya tingkatkan gs,materi variasi aplikasi budaya kanji kosakata ribet pindah aplikasi ganti materi sedia bahasa indonesia baik terjemah tingkat gs
"Pertama, versi bahasa Indonesianya baku tapi gak norak. Salah satu fitur di dalam aplikasi ini bisa kita dijadikan salah satu rujukan kalau kita sedang/ingin berlibur ke Jepang. Fitur lainnya yaitu berupa materi yang terpecerinci dan dilengkapi dengan teks percakapan, tabel, dan gambar visual. Kanjinya bisa diklik kalau ada yang tidak dipahami, nanti diarahkan ke penjelasan. Selain itu, ada modul yang full berbahasa Jepang (ada hiragananya) disertai audio dan penerjemahan per kalimat/kata.",Pertama versi bahasa Indonesianya baku tapi gak norak Salah satu fitur di dalam aplikasi ini bisa kita dijadikan salah satu rujukan kalau kita sedangingin berlibur ke Jepang Fitur lainnya yaitu berupa materi yang terpecerinci dan dilengkapi dengan teks percakapan tabel dan gambar visual Kanjinya bisa diklik kalau ada yang tidak dipahami nanti diarahkan ke penjelasan Selain itu ada modul yang full berbahasa Jepang ada hiragananya disertai audio dan penerjemahan per kalimatkata,pertama versi bahasa indonesianya baku tapi gak norak salah satu fitur di dalam aplikasi ini bisa kita dijadikan salah satu rujukan kalau kita sedangingin berlibur ke jepang fitur lainnya yaitu berupa materi yang terpecerinci dan dilengkapi dengan teks percakapan tabel dan gambar visual kanjinya bisa diklik kalau ada yang tidak dipahami nanti diarahkan ke penjelasan selain itu ada modul yang full berbahasa jepang ada hiragananya disertai audio dan penerjemahan per kalimatkata,pertama versi bahasa indonesianya baku gak norak salah satu fitur di dalam aplikasi ini bisa kita dijadikan salah satu rujukan kalau kita sedangingin berlibur ke jepang fitur lainnya yaitu berupa materi yang terpecerinci dan dilengkapi dengan teks percakapan tabel dan gambar visual kanjinya bisa diklik kalau ada yang tidak dipahami nanti diarahkan ke penjelasan selain itu ada modul yang full berbahasa jepang ada hiragananya di i audio dan penerjemahan per kalimatkata,pertama versi bahasa indonesianya baku tidak norak salah satu fitur di dalam aplikasi ini bisa kita dijadikan salah satu rujukan kalau kita sedangingin berlibur ke jepang fitur lainnya yaitu berupa materi yang terpecerinci dan dilengkapi dengan teks percakapan tabel dan gambar visual kanjinya bisa diklik kalau ada yang tidak dipahami nanti diarahkan ke penjelasan selain itu ada modul yang full berbahasa jepang ada hiragananya di i audio dan penerjemahan per kalimatkata,"['pertama', 'versi', 'bahasa', 'indonesianya', 'baku', 'tidak', 'norak', 'salah', 'satu', 'fitur', 'di', 'dalam', 'aplikasi', 'ini', 'bisa', 'kita', 'dijadikan', 'salah', 'satu', 'rujukan', 'kalau', 'kita', 'sedangingin', 'berlibur', 'ke', 'jepang', 'fitur', 'lainnya', 'yaitu', 'berupa', 'materi', 'yang', 'terpecerinci', 'dan', 'dilengkapi', 'dengan', 'teks', 'percakapan', 'tabel', 'dan', 'gambar', 'visual', 'kanjinya', 'bisa', 'diklik', 'kalau', 'ada', 'yang', 'tidak', 'dipahami', 'nanti', 'diarahkan', 'ke', 'penjelasan', 'selain', 'itu', 'ada', 'modul', 'yang', 'full', 'berbahasa', 'jepang', 'ada', 'hiragananya', 'di', 'i', 'audio', 'dan', 'penerjemahan', 'per', 'kalimatkata']","['pertama', 'versi', 'bahasa', 'indonesianya', 'baku', 'tidak', 'norak', 'salah', 'satu', 'fitur', 'di', 'dalam', 'aplikasi', 'ini', 'bisa', 'kita', 'dijadikan', 'salah', 'satu', 'rujukan', 'kalau', 'kita', 'sedangingin', 'berlibur', 'ke', 'jepang', 'fitur', 'lainnya', 'yaitu', 'berupa', 'materi', 'yang', 'terpecerinci', 'dan', 'dilengkapi', 'dengan', 'teks', 'percakapan', 'tabel', 'dan', 'gambar', 'visual', 'kanjinya', 'bisa', 'diklik', 'kalau', 'ada', 'yang', 'tidak', 'dipahami', 'nanti', 'diarahkan', 'ke', 'penjelasan', 'selain', 'itu', 'ada', 'modul', 'yang', 'full', 'berbahasa', 'jepang', 'ada', 'hiragananya', 'di', 'i', 'audio', 'dan', 'penerjemahan', 'per', 'kalimatkata']","['versi', 'bahasa', 'indonesianya', 'baku', 'norak', 'salah', 'fitur', 'aplikasi', 'dijadikan', 'salah', 'rujukan', 'sedangingin', 'berlibur', 'jepang', 'fitur', 'materi', 'terpecerinci', 'dilengkapi', 'teks', 'percakapan', 'tabel', 'gambar', 'visual', 'kanjinya', 'diklik', 'dipahami', 'diarahkan', 'penjelasan', 'modul', 'full', 'berbahasa', 'jepang', 'hiragananya', 'audio', 'penerjemahan', 'kalimatkata']",versi bahasa indonesianya baku norak salah fitur aplikasi dijadikan salah rujukan sedangingin berlibur jepang fitur materi terpecerinci dilengkapi teks percakapan tabel gambar visual kanjinya diklik dipahami diarahkan penjelasan modul full berbahasa jepang hiragananya audio penerjemahan kalimatkata,versi bahasa indonesia baku norak salah fitur aplikasi jadi salah rujuk sedangingin libur jepang fitur materi terpecerinci lengkap teks cakap tabel gambar visual kanji klik paham arah jelas modul full bahasa jepang hiragananya audio terjemah kalimatkata
"Sangat bagus untuk belajar, namun ada beberapa kata yang ikut diterjemahkan ke bahasa indonesia(karna isi diterjemahkan dari bahasa inggris), misalnya kata jepang ""Go"" diartikan pergi(dianggap dari bahasa inggris), sehingga bisa saja membuat keliru bagi pembaca kalaumereka tidak menyadari bahwa kata itu dari terjemahan bahasa inggris.",Sangat bagus untuk belajar namun ada beberapa kata yang ikut diterjemahkan ke bahasa indonesiakarna isi diterjemahkan dari bahasa inggris misalnya kata jepang Go diartikan pergidianggap dari bahasa inggris sehingga bisa saja membuat keliru bagi pembaca kalaumereka tidak menyadari bahwa kata itu dari terjemahan bahasa inggris,sangat bagus untuk belajar namun ada beberapa kata yang ikut diterjemahkan ke bahasa indonesiakarna isi diterjemahkan dari bahasa inggris misalnya kata jepang go diartikan pergidianggap dari bahasa inggris sehingga bisa saja membuat keliru bagi pembaca kalaumereka tidak menyadari bahwa kata itu dari terjemahan bahasa inggris,sangat bagus untuk belajar ada beberapa kata yang ikut diterjemahkan ke bahasa indonesiakarna isi diterjemahkan dari bahasa inggris misalnya kata jepang go diartikan pergidianggap dari bahasa inggris sehingga bisa saja membuat keliru bagi pembaca kalaumereka tidak menyadari bahwa kata itu dari terjemahan bahasa inggris,sangat bagus untuk belajar ada beberapa kata yang ikut diterjemahkan ke bahasa indonesiakarna isi diterjemahkan dari bahasa inggris misalnya kata jepang go diartikan pergidianggap dari bahasa inggris sehingga bisa saja membuat keliru bagi pembaca kalaumereka tidak menyadari bahwa kata itu dari terjemahan bahasa inggris,"['sangat', 'bagus', 'untuk', 'belajar', 'ada', 'beberapa', 'kata', 'yang', 'ikut', 'diterjemahkan', 'ke', 'bahasa', 'indonesiakarna', 'isi', 'diterjemahkan', 'dari', 'bahasa', 'inggris', 'misalnya', 'kata', 'jepang', 'go', 'diartikan', 'pergidianggap', 'dari', 'bahasa', 'inggris', 'sehingga', 'bisa', 'saja', 'membuat', 'keliru', 'bagi', 'pembaca', 'kalaumereka', 'tidak', 'menyadari', 'bahwa', 'kata', 'itu', 'dari', 'terjemahan', 'bahasa', 'inggris']","['sangat', 'bagus', 'untuk', 'belajar', 'ada', 'beberapa', 'kata', 'yang', 'ikut', 'diterjemahkan', 'ke', 'bahasa', 'indonesiakarna', 'isi', 'diterjemahkan', 'dari', 'bahasa', 'inggris', 'misalnya', 'kata', 'jepang', 'go', 'diartikan', 'pergidianggap', 'dari', 'bahasa', 'inggris', 'sehingga', 'bisa', 'saja', 'membuat', 'keliru', 'bagi', 'pembaca', 'kalaumereka', 'tidak', 'menyadari', 'bahwa', 'kata', 'itu', 'dari', 'terjemahan', 'bahasa', 'inggris']","['bagus', 'belajar', 'diterjemahkan', 'bahasa', 'indonesiakarna', 'isi', 'diterjemahkan', 'bahasa', 'inggris', 'jepang', 'go', 'diartikan', 'pergidianggap', 'bahasa', 'inggris', 'keliru', 'pembaca', 'kalaumereka', 'menyadari', 'terjemahan', 'bahasa', 'inggris']",bagus belajar diterjemahkan bahasa indonesiakarna isi diterjemahkan bahasa inggris jepang go diartikan pergidianggap bahasa inggris keliru pembaca kalaumereka menyadari terjemahan bahasa inggris,bagus ajar terjemah bahasa indonesiakarna isi terjemah bahasa inggris jepang go arti pergidianggap bahasa inggris keliru baca kalaumereka sadar terjemah bahasa inggris
Modul lengkap dengan penjelasan detail. Sangat mudah dipahami.,Modul lengkap dengan penjelasan detail Sangat mudah dipahami,modul lengkap dengan penjelasan detail sangat mudah dipahami,modul lengkap dengan penjelasan detail sangat mudah dipahami,modul lengkap dengan penjelasan detail sangat mudah dipahami,"['modul', 'lengkap', 'dengan', 'penjelasan', 'detail', 'sangat', 'mudah', 'dipahami']","['modul', 'lengkap', 'dengan', 'penjelasan', 'detail', 'sangat', 'mudah', 'dipahami']","['modul', 'lengkap', 'penjelasan', 'detail', 'mudah', 'dipahami']",modul lengkap penjelasan detail mudah dipahami,modul lengkap jelas detail mudah paham
"Aku sangat suka dan penjelasan dari contoh kalimat kalau ada yang tidak mengerti bisa di klik dan ada penjelasannya per kata dan dijelaskan juga partikelnya, tapi ada 1 yang aku nggk suka Kenapa translate bahasa Indonesia nya cuma sebagian saja padahal sebelum berlangganan aku sudah mulai suka dengan apk ini. Lengkap, mudah di pelajari dan penjelasanya Bahasa Indonesia. Dan setelah berlangganan yang di translate bahasa Indonesia malah cuma sebagian dan fitur yang gratis aja, tolong ya!!!",Aku sangat suka dan penjelasan dari contoh kalimat kalau ada yang tidak mengerti bisa di klik dan ada penjelasannya per kata dan dijelaskan juga partikelnya tapi ada  yang aku nggk suka Kenapa translate bahasa Indonesia nya cuma sebagian saja padahal sebelum berlangganan aku sudah mulai suka dengan apk ini Lengkap mudah di pelajari dan penjelasanya Bahasa Indonesia Dan setelah berlangganan yang di translate bahasa Indonesia malah cuma sebagian dan fitur yang gratis aja tolong ya,aku sangat suka dan penjelasan dari contoh kalimat kalau ada yang tidak mengerti bisa di klik dan ada penjelasannya per kata dan dijelaskan juga partikelnya tapi ada  yang aku nggk suka kenapa translate bahasa indonesia nya cuma sebagian saja padahal sebelum berlangganan aku sudah mulai suka dengan apk ini lengkap mudah di pelajari dan penjelasanya bahasa indonesia dan setelah berlangganan yang di translate bahasa indonesia malah cuma sebagian dan fitur yang gratis aja tolong ya,aku sangat suka dan penjelasan dari contoh kalimat kalau ada yang tidak mengerti bisa di klik dan ada penjelasannya per kata dan dijelaskan juga partikelnya ada  yang aku nggk suka kenapa translate bahasa indonesia nya cuma sebagian saja padahal sebelum berlangganan aku sudah mulai suka dengan apk ini lengkap mudah di pelajari dan penjelasanya bahasa indonesia dan setelah berlangganan yang di translate bahasa indonesia malah cuma sebagian dan fitur yang gratis aja tolong ya,aku sangat suka dan penjelasan dari contoh kalimat kalau ada yang tidak mengerti bisa di klik dan ada penjelasannya per kata dan dijelaskan juga partikelnya ada yang aku nggk suka kenapa translate bahasa indonesia nya cuma sebagian saja padahal sebelum berlangganan aku sudah mulai suka dengan apk ini lengkap mudah di pelajari dan penjelasanya bahasa indonesia dan setelah berlangganan yang di translate bahasa indonesia bahkan cuma sebagian dan fitur yang gratis saja tolong iya,"['aku', 'sangat', 'suka', 'dan', 'penjelasan', 'dari', 'contoh', 'kalimat', 'kalau', 'ada', 'yang', 'tidak', 'mengerti', 'bisa', 'di', 'klik', 'dan', 'ada', 'penjelasannya', 'per', 'kata', 'dan', 'dijelaskan', 'juga', 'partikelnya', 'ada', 'yang', 'aku', 'nggk', 'suka', 'kenapa', 'translate', 'bahasa', 'indonesia', 'nya', 'cuma', 'sebagian', 'saja', 'padahal', 'sebelum', 'berlangganan', 'aku', 'sudah', 'mulai', 'suka', 'dengan', 'apk', 'ini', 'lengkap', 'mudah', 'di', 'pelajari', 'dan', 'penjelasanya', 'bahasa', 'indonesia', 'dan', 'setelah', 'berlangganan', 'yang', 'di', 'translate', 'bahasa', 'indonesia', 'bahkan', 'cuma', 'sebagian', 'dan', 'fitur', 'yang', 'gratis', 'saja', 'tolong', 'iya']","['aku', 'sangat', 'suka', 'dan', 'penjelasan', 'dari', 'contoh', 'kalimat', 'kalau', 'ada', 'yang', 'tidak', 'mengerti', 'bisa', 'di', 'klik', 'dan', 'ada', 'penjelasannya', 'per', 'kata', 'dan', 'dijelaskan', 'juga', 'partikelnya', 'ada', 'yang', 'aku', 'nggk', 'suka', 'kenapa', 'translate', 'bahasa', 'indonesia', 'nya', 'cuma', 'sebagian', 'saja', 'padahal', 'sebelum', 'berlangganan', 'aku', 'sudah', 'mulai', 'suka', 'dengan', 'apk', 'ini', 'lengkap', 'mudah', 'di', 'pelajari', 'dan', 'penjelasanya', 'bahasa', 'indonesia', 'dan', 'setelah', 'berlangganan', 'yang', 'di', 'translate', 'bahasa', 'indonesia', 'bahkan', 'cuma', 'sebagian', 'dan', 'fitur', 'yang', 'gratis', 'saja', 'tolong', 'iya']","['suka', 'penjelasan', 'contoh', 'kalimat', 'mengerti', 'klik', 'penjelasannya', 'partikelnya', 'nggk', 'suka', 'translate', 'bahasa', 'indonesia', 'berlangganan', 'suka', 'apk', 'lengkap', 'mudah', 'pelajari', 'penjelasanya', 'bahasa', 'indonesia', 'berlangganan', 'translate', 'bahasa', 'indonesia', 'fitur', 'gratis', 'tolong']",suka penjelasan contoh kalimat mengerti klik penjelasannya partikelnya nggk suka translate bahasa indonesia berlangganan suka apk lengkap mudah pelajari penjelasanya bahasa indonesia berlangganan translate bahasa indonesia fitur gratis tolong,suka jelas contoh kalimat erti klik jelas partikel nggk suka translate bahasa indonesia langgan suka apk lengkap mudah ajar jasa bahasa indonesia langgan translate bahasa indonesia fitur gratis tolong
