Review,text_clean,text_casefoldingText,text_final_splitted,text_slangwords,text_tokenizingText,text_normalized,text_stopword,text_sentenced,text_final_stemmed
"Sangat membantu untuk memahami kanji, desain yang simpel dan elegan bikin belajar jadi gampang",Sangat membantu untuk memahami kanji desain yang simpel dan elegan bikin belajar jadi gampang,sangat membantu untuk memahami kanji desain yang simpel dan elegan bikin belajar jadi gampang,sangat membantu untuk memahami kanji desain yang simpel dan elegan bikin belajar jadi gampang,sangat membantu untuk memahami kanji desain yang simpel dan elegan buat belajar jadi gampang,"['sangat', 'membantu', 'untuk', 'memahami', 'kanji', 'desain', 'yang', 'simpel', 'dan', 'elegan', 'buat', 'belajar', 'jadi', 'gampang']","['sangat', 'membantu', 'untuk', 'memahami', 'kanji', 'desain', 'yang', 'simpel', 'dan', 'elegan', 'buat', 'belajar', 'jadi', 'gampang']","['membantu', 'memahami', 'kanji', 'desain', 'simpel', 'elegan', 'belajar', 'gampang']",membantu memahami kanji desain simpel elegan belajar gampang,bantu paham kanji desain simpel elegan ajar gampang
"aplikasi ini membantu banget buat yang otodidak yg ingin blajar hiragana, kata kana dan kanji N5 dan di kasih waktu untuk mengerjakan nya mantep aplikasi nya",aplikasi ini membantu banget buat yang otodidak yg ingin blajar hiragana kata kana dan kanji N dan di kasih waktu untuk mengerjakan nya mantep aplikasi nya,aplikasi ini membantu banget buat yang otodidak yg ingin blajar hiragana kata kana dan kanji n dan di kasih waktu untuk mengerjakan nya mantep aplikasi nya,aplikasi ini membantu banget buat yang otodidak yg ingin blajar hiragana kata kana dan kanji n dan di kasih waktu untuk mengerjakan nya mantep aplikasi nya,aplikasi ini membantu banget buat yang otodidak yang ingin blajar hiragana kata kana dan kanji dan dan di kasih waktu untuk mengerjakan nya mantap aplikasi nya,"['aplikasi', 'ini', 'membantu', 'banget', 'buat', 'yang', 'otodidak', 'yang', 'ingin', 'blajar', 'hiragana', 'kata', 'kana', 'dan', 'kanji', 'dan', 'dan', 'di', 'kasih', 'waktu', 'untuk', 'mengerjakan', 'nya', 'mantap', 'aplikasi', 'nya']","['aplikasi', 'ini', 'membantu', 'banget', 'buat', 'yang', 'otodidak', 'yang', 'ingin', 'blajar', 'hiragana', 'kata', 'kana', 'dan', 'kanji', 'dan', 'dan', 'di', 'kasih', 'waktu', 'untuk', 'mengerjakan', 'nya', 'mantap', 'aplikasi', 'nya']","['aplikasi', 'membantu', 'banget', 'otodidak', 'blajar', 'hiragana', 'kana', 'kanji', 'kasih', 'mantap', 'aplikasi']",aplikasi membantu banget otodidak blajar hiragana kana kanji kasih mantap aplikasi,aplikasi bantu banget otodidak blajar hiragana kana kanji kasih mantap aplikasi
kurang sambungan misal Kya kyu kyo terus penjelasannya di buat bahasanya Indonesia soalnya aku ga bisa bahasa inggris,kurang sambungan misal Kya kyu kyo terus penjelasannya di buat bahasanya Indonesia soalnya aku ga bisa bahasa inggris,kurang sambungan misal kya kyu kyo terus penjelasannya di buat bahasanya indonesia soalnya aku ga bisa bahasa inggris,kurang sambungan misal kya kyu kyo terus penjelasannya di buat bahasanya indonesia soalnya aku ga bisa bahasa inggris,kurang sambungan misal kya kyu kyo terus penjelasannya di buat bahasanya indonesia soalnya aku tidak bisa bahasa inggris,"['kurang', 'sambungan', 'misal', 'kya', 'kyu', 'kyo', 'terus', 'penjelasannya', 'di', 'buat', 'bahasanya', 'indonesia', 'soalnya', 'aku', 'tidak', 'bisa', 'bahasa', 'inggris']","['kurang', 'sambungan', 'misal', 'kya', 'kyu', 'kyo', 'terus', 'penjelasannya', 'di', 'buat', 'bahasanya', 'indonesia', 'soalnya', 'aku', 'tidak', 'bisa', 'bahasa', 'inggris']","['sambungan', 'kya', 'kyu', 'kyo', 'penjelasannya', 'bahasanya', 'indonesia', 'bahasa', 'inggris']",sambungan kya kyu kyo penjelasannya bahasanya indonesia bahasa inggris,sambung kya kyu kyo jelas bahasa indonesia bahasa inggris
"kanji lengkap, setiap kanji, radikal dan komponen dapat dipelajari secara detail",kanji lengkap setiap kanji radikal dan komponen dapat dipelajari secara detail,kanji lengkap setiap kanji radikal dan komponen dapat dipelajari secara detail,kanji lengkap setiap kanji radikal dan komponen dapat dipelajari secara detail,kanji lengkap setiap kanji radikal dan komponen dapat dipelajari secara detail,"['kanji', 'lengkap', 'setiap', 'kanji', 'radikal', 'dan', 'komponen', 'dapat', 'dipelajari', 'secara', 'detail']","['kanji', 'lengkap', 'setiap', 'kanji', 'radikal', 'dan', 'komponen', 'dapat', 'dipelajari', 'secara', 'detail']","['kanji', 'lengkap', 'kanji', 'radikal', 'komponen', 'dipelajari', 'detail']",kanji lengkap kanji radikal komponen dipelajari detail,kanji lengkap kanji radikal komponen ajar detail
sangat membantu untuk bisa membaca dan mengangkat kata pokonya mantap,sangat membantu untuk bisa membaca dan mengangkat kata pokonya mantap,sangat membantu untuk bisa membaca dan mengangkat kata pokonya mantap,sangat membantu untuk bisa membaca dan mengangkat kata pokonya mantap,sangat membantu untuk bisa membaca dan mengangkat kata pokonya mantap,"['sangat', 'membantu', 'untuk', 'bisa', 'membaca', 'dan', 'mengangkat', 'kata', 'pokonya', 'mantap']","['sangat', 'membantu', 'untuk', 'bisa', 'membaca', 'dan', 'mengangkat', 'kata', 'pokonya', 'mantap']","['membantu', 'membaca', 'mengangkat', 'pokonya', 'mantap']",membantu membaca mengangkat pokonya mantap,bantu baca angkat poko mantap
"Wah dulu saya belajr otodidak disini sampe bisa nulis dasar nya, sekarang udah lulus N3 belajar dari sini. Keren app nya ga ribet sama sekali, sayang nya belum ada di iOS",Wah dulu saya belajr otodidak disini sampe bisa nulis dasar nya sekarang udah lulus N belajar dari sini Keren app nya ga ribet sama sekali sayang nya belum ada di iOS,wah dulu saya belajr otodidak disini sampe bisa nulis dasar nya sekarang udah lulus n belajar dari sini keren app nya ga ribet sama sekali sayang nya belum ada di ios,wah dulu saya belajr otodidak disini sampe bisa nulis dasar nya sekarang udah lulus n belajar dari sini keren app nya ga ribet sama sekali sayang nya belum ada di ios,wah dulu saya belajr otodidak disini sampai bisa nulis dasar nya sekarang sudah lulus dan belajar dari sini keren app nya tidak ribet sama sekali sayang nya belum ada di ios,"['wah', 'dulu', 'saya', 'belajr', 'otodidak', 'disini', 'sampai', 'bisa', 'nulis', 'dasar', 'nya', 'sekarang', 'sudah', 'lulus', 'dan', 'belajar', 'dari', 'sini', 'keren', 'app', 'nya', 'tidak', 'ribet', 'sama', 'sekali', 'sayang', 'nya', 'belum', 'ada', 'di', 'ios']","['wah', 'dulu', 'saya', 'belajr', 'otodidak', 'disini', 'sampai', 'bisa', 'nulis', 'dasar', 'nya', 'sekarang', 'sudah', 'lulus', 'dan', 'belajar', 'dari', 'sini', 'keren', 'app', 'nya', 'tidak', 'ribet', 'sama', 'sekali', 'sayang', 'nya', 'belum', 'ada', 'di', 'ios']","['belajr', 'otodidak', 'nulis', 'dasar', 'lulus', 'belajar', 'keren', 'app', 'ribet', 'sayang', 'ios']",belajr otodidak nulis dasar lulus belajar keren app ribet sayang ios,belajr otodidak nulis dasar lulus ajar keren app ribet sayang ios
Pokoknya Sangat cocok sekali bagi penghafal huruf kanji di aplikasi ini....top bangets 💪😆😆,Pokoknya Sangat cocok sekali bagi penghafal huruf kanji di aplikasi initop bangets,pokoknya sangat cocok sekali bagi penghafal huruf kanji di aplikasi initop bangets,pokoknya sangat cocok sekali bagi penghafal huruf kanji di aplikasi initop bangets,pokoknya sangat cocok sekali bagi penghafal huruf kanji di aplikasi initop bangets,"['pokoknya', 'sangat', 'cocok', 'sekali', 'bagi', 'penghafal', 'huruf', 'kanji', 'di', 'aplikasi', 'initop', 'bangets']","['pokoknya', 'sangat', 'cocok', 'sekali', 'bagi', 'penghafal', 'huruf', 'kanji', 'di', 'aplikasi', 'initop', 'bangets']","['pokoknya', 'cocok', 'penghafal', 'huruf', 'kanji', 'aplikasi', 'initop', 'bangets']",pokoknya cocok penghafal huruf kanji aplikasi initop bangets,pokok cocok hafal huruf kanji aplikasi initop bangets
"sangat mudah di pahami. kanjinya dibagi persepuluh, jadi tidak terlihat banyak dan tefokus persepuluh. dan itu sangat berpengaruh... aplikasi kanji paling kerenlah yang ada di playstore/ lainnya... harus dicoba,,, langsung hafal pokoknya.. saya yakin",sangat mudah di pahami kanjinya dibagi persepuluh jadi tidak terlihat banyak dan tefokus persepuluh dan itu sangat berpengaruh aplikasi kanji paling kerenlah yang ada di playstore lainnya harus dicoba langsung hafal pokoknya saya yakin,sangat mudah di pahami kanjinya dibagi persepuluh jadi tidak terlihat banyak dan tefokus persepuluh dan itu sangat berpengaruh aplikasi kanji paling kerenlah yang ada di playstore lainnya harus dicoba langsung hafal pokoknya saya yakin,sangat mudah di pahami kanjinya dibagi persepuluh jadi tidak terlihat banyak dan tefokus persepuluh dan itu sangat berpengaruh aplikasi kanji paling kerenlah yang ada di playstore lainnya harus dicoba langsung hafal pokoknya saya yakin,sangat mudah di pahami kanjinya dibagi persepuluh jadi tidak terlihat banyak dan tefokus persepuluh dan itu sangat berpengaruh aplikasi kanji paling kerenlah yang ada di playstore lainnya harus dicoba langsung hafal pokoknya saya yakin,"['sangat', 'mudah', 'di', 'pahami', 'kanjinya', 'dibagi', 'persepuluh', 'jadi', 'tidak', 'terlihat', 'banyak', 'dan', 'tefokus', 'persepuluh', 'dan', 'itu', 'sangat', 'berpengaruh', 'aplikasi', 'kanji', 'paling', 'kerenlah', 'yang', 'ada', 'di', 'playstore', 'lainnya', 'harus', 'dicoba', 'langsung', 'hafal', 'pokoknya', 'saya', 'yakin']","['sangat', 'mudah', 'di', 'pahami', 'kanjinya', 'dibagi', 'persepuluh', 'jadi', 'tidak', 'terlihat', 'banyak', 'dan', 'tefokus', 'persepuluh', 'dan', 'itu', 'sangat', 'berpengaruh', 'aplikasi', 'kanji', 'paling', 'kerenlah', 'yang', 'ada', 'di', 'playstore', 'lainnya', 'harus', 'dicoba', 'langsung', 'hafal', 'pokoknya', 'saya', 'yakin']","['mudah', 'pahami', 'kanjinya', 'dibagi', 'persepuluh', 'tefokus', 'persepuluh', 'berpengaruh', 'aplikasi', 'kanji', 'kerenlah', 'playstore', 'dicoba', 'langsung', 'hafal', 'pokoknya']",mudah pahami kanjinya dibagi persepuluh tefokus persepuluh berpengaruh aplikasi kanji kerenlah playstore dicoba langsung hafal pokoknya,mudah paham kanji bagi puluh tefokus puluh pengaruh aplikasi kanji keren playstore coba langsung hafal pokok
"Sangat bagus dan mudah dimengerti. Kalau ada yg protes kenapa tidak semua kata punya makna Bahasa Indonesia dan masih banyak yg bahasa Inggris, biasakan untuk memahami proses dibalik penerjemahan itu yang tidaklah gampang dan perlu banyak waktu. Ente kadang kadang ya bisanya ngeluh, nolongin developernya kagak.",Sangat bagus dan mudah dimengerti Kalau ada yg protes kenapa tidak semua kata punya makna Bahasa Indonesia dan masih banyak yg bahasa Inggris biasakan untuk memahami proses dibalik penerjemahan itu yang tidaklah gampang dan perlu banyak waktu Ente kadang kadang ya bisanya ngeluh nolongin developernya kagak,sangat bagus dan mudah dimengerti kalau ada yg protes kenapa tidak semua kata punya makna bahasa indonesia dan masih banyak yg bahasa inggris biasakan untuk memahami proses dibalik penerjemahan itu yang tidaklah gampang dan perlu banyak waktu ente kadang kadang ya bisanya ngeluh nolongin developernya kagak,sangat bagus dan mudah dimengerti kalau ada yg protes kenapa tidak semua kata punya makna bahasa indonesia dan masih banyak yg bahasa inggris biasakan untuk memahami proses dibalik penerjemahan itu yang tidaklah gampang dan perlu banyak waktu ente kadang kadang ya bisanya ngeluh nolongin developernya kagak,sangat bagus dan mudah dimengerti kalau ada yang protes kenapa tidak semua kata punya makna bahasa indonesia dan masih banyak yang bahasa inggris biasakan untuk memahami proses dibalik penerjemahan itu yang tidaklah gampang dan perlu banyak waktu ente kadang kadang iya bisanya ngeluh nolongin developernya tidak,"['sangat', 'bagus', 'dan', 'mudah', 'dimengerti', 'kalau', 'ada', 'yang', 'protes', 'kenapa', 'tidak', 'semua', 'kata', 'punya', 'makna', 'bahasa', 'indonesia', 'dan', 'masih', 'banyak', 'yang', 'bahasa', 'inggris', 'biasakan', 'untuk', 'memahami', 'proses', 'dibalik', 'penerjemahan', 'itu', 'yang', 'tidaklah', 'gampang', 'dan', 'perlu', 'banyak', 'waktu', 'ente', 'kadang', 'kadang', 'iya', 'bisanya', 'ngeluh', 'nolongin', 'developernya', 'tidak']","['sangat', 'bagus', 'dan', 'mudah', 'dimengerti', 'kalau', 'ada', 'yang', 'protes', 'kenapa', 'tidak', 'semua', 'kata', 'punya', 'makna', 'bahasa', 'indonesia', 'dan', 'masih', 'banyak', 'yang', 'bahasa', 'inggris', 'biasakan', 'untuk', 'memahami', 'proses', 'dibalik', 'penerjemahan', 'itu', 'yang', 'tidaklah', 'gampang', 'dan', 'perlu', 'banyak', 'waktu', 'ente', 'kadang', 'kadang', 'iya', 'bisanya', 'ngeluh', 'nolongin', 'developernya', 'tidak']","['bagus', 'mudah', 'dimengerti', 'protes', 'makna', 'bahasa', 'indonesia', 'bahasa', 'inggris', 'biasakan', 'memahami', 'proses', 'dibalik', 'penerjemahan', 'gampang', 'ente', 'kadang', 'kadang', 'bisanya', 'ngeluh', 'nolongin', 'developernya']",bagus mudah dimengerti protes makna bahasa indonesia bahasa inggris biasakan memahami proses dibalik penerjemahan gampang ente kadang kadang bisanya ngeluh nolongin developernya,bagus mudah erti protes makna bahasa indonesia bahasa inggris biasa paham proses balik terjemah gampang ente kadang kadang bisa ngeluh nolongin developer
"Jujur apk ini sangat membantu dan mudah dipahami, aku dapat membedakan onyomi dan kunyomi berkat aplikasi ini, minusnya cuma 1 di bagian arti kalimat contoh nya bahasa inggris, selebih itu gaada masalah. apk ini Cocok banget buat yang lagi belajar bahasa jepang kanji. TERIMA KASIH KANJI STUDY",Jujur apk ini sangat membantu dan mudah dipahami aku dapat membedakan onyomi dan kunyomi berkat aplikasi ini minusnya cuma  di bagian arti kalimat contoh nya bahasa inggris selebih itu gaada masalah apk ini Cocok banget buat yang lagi belajar bahasa jepang kanji TERIMA KASIH KANJI STUDY,jujur apk ini sangat membantu dan mudah dipahami aku dapat membedakan onyomi dan kunyomi berkat aplikasi ini minusnya cuma  di bagian arti kalimat contoh nya bahasa inggris selebih itu gaada masalah apk ini cocok banget buat yang lagi belajar bahasa jepang kanji terima kasih kanji study,jujur apk ini sangat membantu dan mudah dipahami aku dapat membedakan onyomi dan kunyomi berkat aplikasi ini minusnya cuma  di bagian arti kalimat contoh nya bahasa inggris selebih itu gaada masalah apk ini cocok banget buat yang lagi belajar bahasa jepang kanji terima kasih kanji study,jujur apk ini sangat membantu dan mudah dipahami aku dapat membedakan onyomi dan kunyomi berkat aplikasi ini minusnya cuma di bagian arti kalimat contoh nya bahasa inggris selebih itu tidak ada masalah apk ini cocok banget buat yang lagi belajar bahasa jepang kanji terima kasih kanji study,"['jujur', 'apk', 'ini', 'sangat', 'membantu', 'dan', 'mudah', 'dipahami', 'aku', 'dapat', 'membedakan', 'onyomi', 'dan', 'kunyomi', 'berkat', 'aplikasi', 'ini', 'minusnya', 'cuma', 'di', 'bagian', 'arti', 'kalimat', 'contoh', 'nya', 'bahasa', 'inggris', 'selebih', 'itu', 'tidak', 'ada', 'masalah', 'apk', 'ini', 'cocok', 'banget', 'buat', 'yang', 'lagi', 'belajar', 'bahasa', 'jepang', 'kanji', 'terima', 'kasih', 'kanji', 'study']","['jujur', 'apk', 'ini', 'sangat', 'membantu', 'dan', 'mudah', 'dipahami', 'aku', 'dapat', 'membedakan', 'onyomi', 'dan', 'kunyomi', 'berkat', 'aplikasi', 'ini', 'minusnya', 'cuma', 'di', 'bagian', 'arti', 'kalimat', 'contoh', 'nya', 'bahasa', 'inggris', 'selebih', 'itu', 'tidak', 'ada', 'masalah', 'apk', 'ini', 'cocok', 'banget', 'buat', 'yang', 'lagi', 'belajar', 'bahasa', 'jepang', 'kanji', 'terima', 'kasih', 'kanji', 'study']","['jujur', 'apk', 'membantu', 'mudah', 'dipahami', 'membedakan', 'onyomi', 'kunyomi', 'berkat', 'aplikasi', 'minusnya', 'arti', 'kalimat', 'contoh', 'bahasa', 'inggris', 'selebih', 'apk', 'cocok', 'banget', 'belajar', 'bahasa', 'jepang', 'kanji', 'terima', 'kasih', 'kanji', 'study']",jujur apk membantu mudah dipahami membedakan onyomi kunyomi berkat aplikasi minusnya arti kalimat contoh bahasa inggris selebih apk cocok banget belajar bahasa jepang kanji terima kasih kanji study,jujur apk bantu mudah paham beda onyomi kunyomi berkat aplikasi minus arti kalimat contoh bahasa inggris lebih apk cocok banget ajar bahasa jepang kanji terima kasih kanji study
