Review,text_clean,text_casefoldingText,text_final_splitted,text_slangwords,text_tokenizingText,text_normalized,text_stopword,text_sentenced,text_final_stemmed
bagus banget buat pemula yang mau belajar bahasa jepang,bagus banget buat pemula yang mau belajar bahasa jepang,bagus banget buat pemula yang mau belajar bahasa jepang,bagus banget buat pemula yang mau belajar bahasa jepang,bagus banget buat pemula yang mau belajar bahasa jepang,"['bagus', 'banget', 'buat', 'pemula', 'yang', 'mau', 'belajar', 'bahasa', 'jepang']","['bagus', 'banget', 'buat', 'pemula', 'yang', 'mau', 'belajar', 'bahasa', 'jepang']","['bagus', 'banget', 'pemula', 'belajar', 'bahasa', 'jepang']",bagus banget pemula belajar bahasa jepang,bagus banget mula ajar bahasa jepang
"sebenarnya cakep banget aplikasinya, tapi untuk bagian materi kosa kata kenapa acak? bukankah lebih nyaman jika digolongkan misal kosa kata untuk subjek, properti, atau lainnya. karena saya lebih suka belajar kosa kata yang terorganisir sebab lebih mudah dalam menghafalkannya tapi mungkin penerapan di migii ini kenapa kosa katanya acak adalah untuk membiasakan diri dalam hafalan yg acak, biar ngga terlalu kaku? mungkin begitu. tapi gapapa si, aku masih bisa menerapkan sistem yg dikasih migii",sebenarnya cakep banget aplikasinya tapi untuk bagian materi kosa kata kenapa acak bukankah lebih nyaman jika digolongkan misal kosa kata untuk subjek properti atau lainnya karena saya lebih suka belajar kosa kata yang terorganisir sebab lebih mudah dalam menghafalkannya tapi mungkin penerapan di migii ini kenapa kosa katanya acak adalah untuk membiasakan diri dalam hafalan yg acak biar ngga terlalu kaku mungkin begitu tapi gapapa si aku masih bisa menerapkan sistem yg dikasih migii,sebenarnya cakep banget aplikasinya tapi untuk bagian materi kosa kata kenapa acak bukankah lebih nyaman jika digolongkan misal kosa kata untuk subjek properti atau lainnya karena saya lebih suka belajar kosa kata yang terorganisir sebab lebih mudah dalam menghafalkannya tapi mungkin penerapan di migii ini kenapa kosa katanya acak adalah untuk membiasakan diri dalam hafalan yg acak biar ngga terlalu kaku mungkin begitu tapi gapapa si aku masih bisa menerapkan sistem yg dikasih migii,sebenarnya cakep banget aplikasinya untuk bagian materi kosa kata kenapa acak bukankah lebih nyaman jika digolongkan misal kosa kata untuk subjek properti atau lainnya karena saya lebih suka belajar kosa kata yang terorganisir sebab lebih mudah dalam menghafalkannya mungkin penerapan di migii ini kenapa kosa katanya acak adalah untuk membiasakan diri dalam hafalan yg acak biar ngga terlalu kaku mungkin begitu gapapa si aku masih bisa menerapkan sistem yg dikasih migii,sebenarnya cakep banget aplikasinya untuk bagian materi kosa kata kenapa acak bukankah lebih nyaman jika digolongkan misal kosa kata untuk subjek properti atau lainnya karena saya lebih suka belajar kosa kata yang terorganisir sebab lebih mudah dalam menghafalkannya mungkin penerapan di migii ini kenapa kosa katanya acak adalah untuk membiasakan diri dalam hafalan yang acak biar tidak terlalu kaku mungkin begitu tidak apa-apa si aku masih bisa menerapkan sistem yang dikasih migii,"['sebenarnya', 'cakep', 'banget', 'aplikasinya', 'untuk', 'bagian', 'materi', 'kosa', 'kata', 'kenapa', 'acak', 'bukankah', 'lebih', 'nyaman', 'jika', 'digolongkan', 'misal', 'kosa', 'kata', 'untuk', 'subjek', 'properti', 'atau', 'lainnya', 'karena', 'saya', 'lebih', 'suka', 'belajar', 'kosa', 'kata', 'yang', 'terorganisir', 'sebab', 'lebih', 'mudah', 'dalam', 'menghafalkannya', 'mungkin', 'penerapan', 'di', 'migii', 'ini', 'kenapa', 'kosa', 'katanya', 'acak', 'adalah', 'untuk', 'membiasakan', 'diri', 'dalam', 'hafalan', 'yang', 'acak', 'biar', 'tidak', 'terlalu', 'kaku', 'mungkin', 'begitu', 'tidak', 'apa-apa', 'si', 'aku', 'masih', 'bisa', 'menerapkan', 'sistem', 'yang', 'dikasih', 'migii']","['sebenarnya', 'cakep', 'banget', 'aplikasinya', 'untuk', 'bagian', 'materi', 'kosa', 'kata', 'kenapa', 'acak', 'bukankah', 'lebih', 'nyaman', 'jika', 'digolongkan', 'misal', 'kosa', 'kata', 'untuk', 'subjek', 'properti', 'atau', 'lainnya', 'karena', 'saya', 'lebih', 'suka', 'belajar', 'kosa', 'kata', 'yang', 'terorganisir', 'sebab', 'lebih', 'mudah', 'dalam', 'menghafalkannya', 'mungkin', 'penerapan', 'di', 'migii', 'ini', 'kenapa', 'kosa', 'katanya', 'acak', 'adalah', 'untuk', 'membiasakan', 'diri', 'dalam', 'hafalan', 'yang', 'acak', 'biar', 'tidak', 'terlalu', 'kaku', 'mungkin', 'begitu', 'tidak', 'apa-apa', 'si', 'aku', 'masih', 'bisa', 'menerapkan', 'sistem', 'yang', 'dikasih', 'migii']","['cakep', 'banget', 'aplikasinya', 'materi', 'kosa', 'acak', 'nyaman', 'digolongkan', 'kosa', 'subjek', 'properti', 'suka', 'belajar', 'kosa', 'terorganisir', 'mudah', 'menghafalkannya', 'penerapan', 'migii', 'kosa', 'acak', 'membiasakan', 'hafalan', 'acak', 'biar', 'kaku', 'apa-apa', 'si', 'menerapkan', 'sistem', 'dikasih', 'migii']",cakep banget aplikasinya materi kosa acak nyaman digolongkan kosa subjek properti suka belajar kosa terorganisir mudah menghafalkannya penerapan migii kosa acak membiasakan hafalan acak biar kaku apa-apa si menerapkan sistem dikasih migii,cakep banget aplikasi materi kosa acak nyaman golong kosa subjek properti suka ajar kosa organisir mudah hafal terap migii kosa acak biasa hafal acak biar kaku apa si terap sistem kasih migii
mantap,mantap,mantap,mantap,mantap,['mantap'],['mantap'],['mantap'],mantap,mantap
ばぐsばんげt,st,st,,,[],[],[],,
sangat membantu untuk latihan soal,sangat membantu untuk latihan soal,sangat membantu untuk latihan soal,sangat membantu untuk latihan soal,sangat membantu untuk latihan soal,"['sangat', 'membantu', 'untuk', 'latihan', 'soal']","['sangat', 'membantu', 'untuk', 'latihan', 'soal']","['membantu', 'latihan']",membantu latihan,bantu latih
"bagus banget aplikasi nya, jadi pengen cepet fasih bahasa Jepang. makasih ya developer udah bikin aplikasi ini:)",bagus banget aplikasi nya jadi pengen cepet fasih bahasa Jepang makasih ya developer udah bikin aplikasi ini,bagus banget aplikasi nya jadi pengen cepet fasih bahasa jepang makasih ya developer udah bikin aplikasi ini,bagus banget aplikasi nya jadi pengen cepet fasih bahasa jepang makasih ya developer udah bikin aplikasi ini,bagus banget aplikasi nya jadi ingin cepat fasih bahasa jepang terima kasih iya developer sudah bikin aplikasi ini,"['bagus', 'banget', 'aplikasi', 'nya', 'jadi', 'ingin', 'cepat', 'fasih', 'bahasa', 'jepang', 'terima', 'kasih', 'iya', 'developer', 'sudah', 'bikin', 'aplikasi', 'ini']","['bagus', 'banget', 'aplikasi', 'nya', 'jadi', 'ingin', 'cepat', 'fasih', 'bahasa', 'jepang', 'terima', 'kasih', 'iya', 'developer', 'sudah', 'bikin', 'aplikasi', 'ini']","['bagus', 'banget', 'aplikasi', 'cepat', 'fasih', 'bahasa', 'jepang', 'terima', 'kasih', 'developer', 'bikin', 'aplikasi']",bagus banget aplikasi cepat fasih bahasa jepang terima kasih developer bikin aplikasi,bagus banget aplikasi cepat fasih bahasa jepang terima kasih developer bikin aplikasi
gak jelas login gak bisa tapi minta premium. untuk orang yang sama sekali gak paham dibikin bingung,gak jelas login gak bisa tapi minta premium untuk orang yang sama sekali gak paham dibikin bingung,gak jelas login gak bisa tapi minta premium untuk orang yang sama sekali gak paham dibikin bingung,gak jelas login gak bisa minta premium untuk orang yang sama sekali gak paham dibikin bingung,tidak jelas login tidak bisa minta premium untuk orang yang sama sekali tidak paham dibikin bingung,"['tidak', 'jelas', 'login', 'tidak', 'bisa', 'minta', 'premium', 'untuk', 'orang', 'yang', 'sama', 'sekali', 'tidak', 'paham', 'dibikin', 'bingung']","['tidak', 'jelas', 'login', 'tidak', 'bisa', 'minta', 'premium', 'untuk', 'orang', 'yang', 'sama', 'sekali', 'tidak', 'paham', 'dibikin', 'bingung']","['login', 'premium', 'orang', 'paham', 'dibikin', 'bingung']",login premium orang paham dibikin bingung,login premium orang paham bikin bingung
"bagus, mudah dipahami",bagus mudah dipahami,bagus mudah dipahami,bagus mudah dipahami,bagus mudah dipahami,"['bagus', 'mudah', 'dipahami']","['bagus', 'mudah', 'dipahami']","['bagus', 'mudah', 'dipahami']",bagus mudah dipahami,bagus mudah paham
Pelajaran Hiragana Katakana untuk pemula tidak adaa,Pelajaran Hiragana Katakana untuk pemula tidak adaa,pelajaran hiragana katakana untuk pemula tidak adaa,pelajaran hiragana katakana untuk pemula tidak adaa,pelajaran hiragana katakana untuk pemula tidak adaa,"['pelajaran', 'hiragana', 'katakana', 'untuk', 'pemula', 'tidak', 'adaa']","['pelajaran', 'hiragana', 'katakana', 'untuk', 'pemula', 'tidak', 'adaa']","['pelajaran', 'hiragana', 'katakana', 'pemula', 'adaa']",pelajaran hiragana katakana pemula adaa,ajar hiragana katakana mula adaa
recommend,recommend,recommend,recommend,recommend,['recommend'],['recommend'],['recommend'],recommend,recommend
