Review,text_clean,text_casefoldingText,text_final_splitted,text_slangwords,text_tokenizingText,text_normalized,text_stopword,text_sentenced,text_final_stemmed,fitur_terdeteksi
sangat bermanfaat sekali. berkat aplikasi ini saya bisa memahami kosakata Jepang,sangat bermanfaat sekali berkat aplikasi ini saya bisa memahami kosakata Jepang,sangat bermanfaat sekali berkat aplikasi ini saya bisa memahami kosakata jepang,sangat bermanfaat sekali berkat aplikasi ini saya bisa memahami kosakata jepang,sangat bermanfaat sekali berkat aplikasi ini saya bisa memahami kosakata jepang,"['sangat', 'bermanfaat', 'sekali', 'berkat', 'aplikasi', 'ini', 'saya', 'bisa', 'memahami', 'kosakata', 'jepang']","['sangat', 'bermanfaat', 'sekali', 'berkat', 'aplikasi', 'ini', 'saya', 'bisa', 'memahami', 'kosakata', 'jepang']","['bermanfaat', 'berkat', 'aplikasi', 'memahami', 'kosakata', 'jepang']",bermanfaat berkat aplikasi memahami kosakata jepang,manfaat berkat aplikasi paham kosakata jepang,kotoba
"hebat gara"" apk ini aku bisa menghafal huruf hiragan dan katakana Dengan capat",hebat gara apk ini aku bisa menghafal huruf hiragan dan katakana Dengan capat,hebat gara apk ini aku bisa menghafal huruf hiragan dan katakana dengan capat,hebat gara apk ini aku bisa menghafal huruf hiragan dan katakana dengan capat,hebat gara apk ini aku bisa menghafal huruf hiragan dan katakana dengan capat,"['hebat', 'gara', 'apk', 'ini', 'aku', 'bisa', 'menghafal', 'huruf', 'hiragan', 'dan', 'katakana', 'dengan', 'capat']","['hebat', 'gara', 'apk', 'ini', 'aku', 'bisa', 'menghafal', 'huruf', 'hiragan', 'dan', 'katakana', 'dengan', 'capat']","['hebat', 'gara', 'apk', 'menghafal', 'huruf', 'hiragan', 'katakana', 'capat']",hebat gara apk menghafal huruf hiragan katakana capat,hebat gara apk hafal huruf hiragan katakana capat,kotoba
"bagussss bangett.. ini lengkap banget huruf kanji atau yg lain lain semua udah di sini.. cuma masalahnya agak susah di pahami sihh bagi aku tapi mungkin yang lain bisa paham.. ini yg gak tau sama sekali bisa belajar dari sini, aku juga dulu Masih gak tau apa apa, tapi sekarang udah tau lah yaa dikit dikit.. pokoknya kalo emang mau serius download aja apk ini di jamin 2 Minggu belajar disini udah bisa berbicara bhs Japan.. bye byeee selamat belajar",bagussss bangett ini lengkap banget huruf kanji atau yg lain lain semua udah di sini cuma masalahnya agak susah di pahami sihh bagi aku tapi mungkin yang lain bisa paham ini yg gak tau sama sekali bisa belajar dari sini aku juga dulu Masih gak tau apa apa tapi sekarang udah tau lah yaa dikit dikit pokoknya kalo emang mau serius download aja apk ini di jamin  Minggu belajar disini udah bisa berbicara bhs Japan bye byeee selamat belajar,bagussss bangett ini lengkap banget huruf kanji atau yg lain lain semua udah di sini cuma masalahnya agak susah di pahami sihh bagi aku tapi mungkin yang lain bisa paham ini yg gak tau sama sekali bisa belajar dari sini aku juga dulu masih gak tau apa apa tapi sekarang udah tau lah yaa dikit dikit pokoknya kalo emang mau serius download aja apk ini di jamin  minggu belajar disini udah bisa berbicara bhs japan bye byeee selamat belajar,bagussss bangett ini lengkap banget huruf kanji atau yg lain lain semua udah di sini cuma masalahnya agak susah di pahami sihh bagi aku mungkin yang lain bisa paham ini yg gak tau sama sekali bisa belajar dari sini aku juga dulu masih gak tau apa apa sekarang udah tau lah yaa dikit dikit pokoknya kalo emang mau serius download aja apk ini di jamin  minggu belajar disini udah bisa berbicara bhs japan bye byeee selamat belajar,bagussss bangett ini lengkap banget huruf kanji atau yang lain lain semua sudah di sini cuma masalahnya agak susah di pahami sihh bagi aku mungkin yang lain bisa paham ini yang tidak tahu sama sekali bisa belajar dari sini aku juga dulu masih tidak tahu apa apa sekarang sudah tahu lah yaa dikit dikit pokoknya kalau memang mau serius download saja apk ini di jamin minggu belajar disini sudah bisa berbicara bhs japan bye byeee selamat belajar,"['bagussss', 'bangett', 'ini', 'lengkap', 'banget', 'huruf', 'kanji', 'atau', 'yang', 'lain', 'lain', 'semua', 'sudah', 'di', 'sini', 'cuma', 'masalahnya', 'agak', 'susah', 'di', 'pahami', 'sihh', 'bagi', 'aku', 'mungkin', 'yang', 'lain', 'bisa', 'paham', 'ini', 'yang', 'tidak', 'tahu', 'sama', 'sekali', 'bisa', 'belajar', 'dari', 'sini', 'aku', 'juga', 'dulu', 'masih', 'tidak', 'tahu', 'apa', 'apa', 'sekarang', 'sudah', 'tahu', 'lah', 'yaa', 'dikit', 'dikit', 'pokoknya', 'kalau', 'memang', 'mau', 'serius', 'download', 'saja', 'apk', 'ini', 'di', 'jamin', 'minggu', 'belajar', 'disini', 'sudah', 'bisa', 'berbicara', 'bhs', 'japan', 'bye', 'byeee', 'selamat', 'belajar']","['bagus', 'banget', 'ini', 'lengkap', 'banget', 'huruf', 'kanji', 'atau', 'yang', 'lain', 'lain', 'semua', 'sudah', 'di', 'sini', 'cuma', 'masalahnya', 'agak', 'susah', 'di', 'pahami', 'sihh', 'bagi', 'aku', 'mungkin', 'yang', 'lain', 'bisa', 'paham', 'ini', 'yang', 'tidak', 'tahu', 'sama', 'sekali', 'bisa', 'belajar', 'dari', 'sini', 'aku', 'juga', 'dulu', 'masih', 'tidak', 'tahu', 'apa', 'apa', 'sekarang', 'sudah', 'tahu', 'lah', 'yaa', 'dikit', 'dikit', 'pokoknya', 'kalau', 'memang', 'mau', 'serius', 'download', 'saja', 'apk', 'ini', 'di', 'jamin', 'minggu', 'belajar', 'disini', 'sudah', 'bisa', 'berbicara', 'bhs', 'japan', 'bye', 'byeee', 'selamat', 'belajar']","['bagus', 'banget', 'lengkap', 'banget', 'huruf', 'kanji', 'susah', 'pahami', 'sihh', 'paham', 'belajar', 'dikit', 'dikit', 'pokoknya', 'serius', 'download', 'apk', 'jamin', 'minggu', 'belajar', 'berbicara', 'bhs', 'japan', 'bye', 'byeee', 'selamat', 'belajar']",bagus banget lengkap banget huruf kanji susah pahami sihh paham belajar dikit dikit pokoknya serius download apk jamin minggu belajar berbicara bhs japan bye byeee selamat belajar,bagus banget lengkap banget huruf kanji susah paham sihh paham ajar dikit dikit pokok serius download apk jamin minggu ajar bicara bhs japan bye byeee selamat ajar,kanji
apk nya bagus aku jadi bisa belajar Jepang dan belajar Kanji,apk nya bagus aku jadi bisa belajar Jepang dan belajar Kanji,apk nya bagus aku jadi bisa belajar jepang dan belajar kanji,apk nya bagus aku jadi bisa belajar jepang dan belajar kanji,apk nya bagus aku jadi bisa belajar jepang dan belajar kanji,"['apk', 'nya', 'bagus', 'aku', 'jadi', 'bisa', 'belajar', 'jepang', 'dan', 'belajar', 'kanji']","['apk', 'nya', 'bagus', 'aku', 'jadi', 'bisa', 'belajar', 'jepang', 'dan', 'belajar', 'kanji']","['apk', 'bagus', 'belajar', 'jepang', 'belajar', 'kanji']",apk bagus belajar jepang belajar kanji,apk bagus ajar jepang ajar kanji,kanji
"sangat membantu, belajar menulis, membaca, tata bahasa, dan kanji",sangat membantu belajar menulis membaca tata bahasa dan kanji,sangat membantu belajar menulis membaca tata bahasa dan kanji,sangat membantu belajar menulis membaca tata bahasa dan kanji,sangat membantu belajar menulis membaca tata bahasa dan kanji,"['sangat', 'membantu', 'belajar', 'menulis', 'membaca', 'tata', 'bahasa', 'dan', 'kanji']","['sangat', 'membantu', 'belajar', 'menulis', 'membaca', 'tata', 'bahasa', 'dan', 'kanji']","['membantu', 'belajar', 'menulis', 'membaca', 'tata', 'bahasa', 'kanji']",membantu belajar menulis membaca tata bahasa kanji,bantu ajar tulis baca tata bahasa kanji,"bunpou,kanji"
"bagus, mengajarkan kanji sejak awal, tapi ternyata harus berlangganan premium",bagus mengajarkan kanji sejak awal tapi ternyata harus berlangganan premium,bagus mengajarkan kanji sejak awal tapi ternyata harus berlangganan premium,bagus mengajarkan kanji sejak awal ternyata harus berlangganan premium,bagus mengajarkan kanji sejak awal ternyata harus berlangganan premium,"['bagus', 'mengajarkan', 'kanji', 'sejak', 'awal', 'ternyata', 'harus', 'berlangganan', 'premium']","['bagus', 'mengajarkan', 'kanji', 'sejak', 'awal', 'ternyata', 'harus', 'berlangganan', 'premium']","['bagus', 'mengajarkan', 'kanji', 'berlangganan', 'premium']",bagus mengajarkan kanji berlangganan premium,bagus ajar kanji langgan premium,kanji
I got an error and cannot download the data for katakana content. Please fix it so I can continue learning the katakana content,I got an error and cannot download the data for katakana content Please fix it so I can continue learning the katakana content,i got an error and cannot download the data for katakana content please fix it so i can continue learning the katakana content,i got an error and cannot download the data for katakana content please fix it so i can continue learning the katakana content,i got an error and cannot download the data for katakana content please fix it so i belum continue learning the katakana content,"['i', 'got', 'an', 'error', 'and', 'can', 'not', 'download', 'the', 'data', 'for', 'katakana', 'content', 'please', 'fix', 'it', 'so', 'i', 'belum', 'continue', 'learning', 'the', 'katakana', 'content']","['i', 'got', 'an', 'error', 'and', 'can', 'not', 'download', 'the', 'data', 'for', 'katakana', 'content', 'please', 'fix', 'it', 'so', 'i', 'belum', 'continue', 'learning', 'the', 'katakana', 'content']","['got', 'error', 'download', 'data', 'katakana', 'content', 'please', 'fix', 'continue', 'learning', 'katakana', 'content']",got error download data katakana content please fix continue learning katakana content,got error download data katakana content please fix continue learning katakana content,kotoba
"bagus bgt apk nyaaa, aku jadi gampang hapal bahasa+huruf2 jepangg",bagus bgt apk nyaaa aku jadi gampang hapal bahasahuruf jepangg,bagus bgt apk nyaaa aku jadi gampang hapal bahasahuruf jepangg,bagus bgt apk nyaaa aku jadi gampang hapal bahasahuruf jepangg,bagus banget apk nyaaa aku jadi gampang hapal bahasahuruf jepangg,"['bagus', 'banget', 'apk', 'nyaaa', 'aku', 'jadi', 'gampang', 'hapal', 'bahasahuruf', 'jepangg']","['bagus', 'banget', 'apk', 'nyaaa', 'aku', 'jadi', 'gampang', 'hapal', 'bahasahuruf', 'jepangg']","['bagus', 'banget', 'apk', 'nyaaa', 'gampang', 'hapal', 'bahasahuruf', 'jepangg']",bagus banget apk nyaaa gampang hapal bahasahuruf jepangg,bagus banget apk nyaaa gampang hapal bahasahuruf jepangg,kanji
"seru banget di ajarin katakana, hiragana dan sejenisnya",seru banget di ajarin katakana hiragana dan sejenisnya,seru banget di ajarin katakana hiragana dan sejenisnya,seru banget di ajarin katakana hiragana dan sejenisnya,seru banget di ajarin katakana hiragana dan sejenisnya,"['seru', 'banget', 'di', 'ajarin', 'katakana', 'hiragana', 'dan', 'sejenisnya']","['seru', 'banget', 'di', 'ajarin', 'katakana', 'hiragana', 'dan', 'sejenisnya']","['seru', 'banget', 'ajarin', 'katakana', 'hiragana', 'sejenisnya']",seru banget ajarin katakana hiragana sejenisnya,seru banget ajarin katakana hiragana jenis,kotoba
"untuk aku pribadi sih, aplikasinya bagus yah dan mendukung banget buat belajar kosakata bahasa jepang😁👍🏻",untuk aku pribadi sih aplikasinya bagus yah dan mendukung banget buat belajar kosakata bahasa jepang,untuk aku pribadi sih aplikasinya bagus yah dan mendukung banget buat belajar kosakata bahasa jepang,untuk aku pribadi sih aplikasinya bagus yah dan mendukung banget buat belajar kosakata bahasa jepang,untuk aku pribadi sih aplikasinya bagus yah dan mendukung banget buat belajar kosakata bahasa jepang,"['untuk', 'aku', 'pribadi', 'sih', 'aplikasinya', 'bagus', 'yah', 'dan', 'mendukung', 'banget', 'buat', 'belajar', 'kosakata', 'bahasa', 'jepang']","['untuk', 'aku', 'pribadi', 'sih', 'aplikasinya', 'bagus', 'yah', 'dan', 'mendukung', 'banget', 'buat', 'belajar', 'kosakata', 'bahasa', 'jepang']","['pribadi', 'aplikasinya', 'bagus', 'yah', 'mendukung', 'banget', 'belajar', 'kosakata', 'bahasa', 'jepang']",pribadi aplikasinya bagus yah mendukung banget belajar kosakata bahasa jepang,pribadi aplikasi bagus yah dukung banget ajar kosakata bahasa jepang,kotoba
mantap bisa sambil menghafal kosakata bagus untuk pemula,mantap bisa sambil menghafal kosakata bagus untuk pemula,mantap bisa sambil menghafal kosakata bagus untuk pemula,mantap bisa sambil menghafal kosakata bagus untuk pemula,mantap bisa sambil menghafal kosakata bagus untuk pemula,"['mantap', 'bisa', 'sambil', 'menghafal', 'kosakata', 'bagus', 'untuk', 'pemula']","['mantap', 'bisa', 'sambil', 'menghafal', 'kosakata', 'bagus', 'untuk', 'pemula']","['mantap', 'menghafal', 'kosakata', 'bagus', 'pemula']",mantap menghafal kosakata bagus pemula,mantap hafal kosakata bagus mula,kotoba
saya sangat menarik dengan aplikasi nya ini karena kata kata nya membuat kosakata menambah,saya sangat menarik dengan aplikasi nya ini karena kata kata nya membuat kosakata menambah,saya sangat menarik dengan aplikasi nya ini karena kata kata nya membuat kosakata menambah,saya sangat menarik dengan aplikasi nya ini karena kata kata nya membuat kosakata menambah,saya sangat menarik dengan aplikasi nya ini karena kata kata nya membuat kosakata menambah,"['saya', 'sangat', 'menarik', 'dengan', 'aplikasi', 'nya', 'ini', 'karena', 'kata', 'kata', 'nya', 'membuat', 'kosakata', 'menambah']","['saya', 'sangat', 'menarik', 'dengan', 'aplikasi', 'nya', 'ini', 'karena', 'kata', 'kata', 'nya', 'membuat', 'kosakata', 'menambah']","['menarik', 'aplikasi', 'kosakata', 'menambah']",menarik aplikasi kosakata menambah,tarik aplikasi kosakata tambah,kotoba
sekarang saya jadi inget semua huruf jepang,sekarang saya jadi inget semua huruf jepang,sekarang saya jadi inget semua huruf jepang,sekarang saya jadi inget semua huruf jepang,sekarang saya jadi inget semua huruf jepang,"['sekarang', 'saya', 'jadi', 'inget', 'semua', 'huruf', 'jepang']","['sekarang', 'saya', 'jadi', 'inget', 'semua', 'huruf', 'jepang']","['inget', 'huruf', 'jepang']",inget huruf jepang,inget huruf jepang,kanji
"Saya nggak mau panjang panjang jelasinnya. Intinya apk nya bagus dan dapat dengan mudah menghafal huruf dan kosakata Jepang, saya sebenernya baru pemula dan baru ada download nih apk. Yang saya rasakan ketika belajar bahasa Jepang pake akp ini rasanya tuh beda dari apk yang lain. Saya sudah 2 jam pake apk ini dan tidak merasa bosan sama sekali, karena saya menganggap apk ini seperti game, jadinya bisa belajar sambil bermain. (Singkat saja😁)",Saya nggak mau panjang panjang jelasinnya Intinya apk nya bagus dan dapat dengan mudah menghafal huruf dan kosakata Jepang saya sebenernya baru pemula dan baru ada download nih apk Yang saya rasakan ketika belajar bahasa Jepang pake akp ini rasanya tuh beda dari apk yang lain Saya sudah  jam pake apk ini dan tidak merasa bosan sama sekali karena saya menganggap apk ini seperti game jadinya bisa belajar sambil bermain Singkat saja,saya nggak mau panjang panjang jelasinnya intinya apk nya bagus dan dapat dengan mudah menghafal huruf dan kosakata jepang saya sebenernya baru pemula dan baru ada download nih apk yang saya rasakan ketika belajar bahasa jepang pake akp ini rasanya tuh beda dari apk yang lain saya sudah  jam pake apk ini dan tidak merasa bosan sama sekali karena saya menganggap apk ini seperti game jadinya bisa belajar sambil bermain singkat saja,saya nggak mau panjang panjang jelasinnya intinya apk nya bagus dan dapat dengan mudah menghafal huruf dan kosakata jepang saya sebenernya baru pemula dan baru ada download nih apk yang saya rasakan ketika belajar bahasa jepang pake akp ini rasanya tuh beda dari apk yang lain saya sudah  jam pake apk ini dan tidak merasa bosan sama sekali karena saya menganggap apk ini seperti game jadinya bisa belajar sambil bermain singkat saja,saya tidak mau panjang panjang jelasinnya intinya apk nya bagus dan dapat dengan mudah menghafal huruf dan kosakata jepang saya sebenernya baru pemula dan baru ada download ini apk yang saya rasakan ketika belajar bahasa jepang pakai akp ini rasanya itu beda dari apk yang lain saya sudah jam pakai apk ini dan tidak merasa bosan sama sekali karena saya menganggap apk ini seperti game jadinya bisa belajar sambil bermain singkat saja,"['saya', 'tidak', 'mau', 'panjang', 'panjang', 'jelasinnya', 'intinya', 'apk', 'nya', 'bagus', 'dan', 'dapat', 'dengan', 'mudah', 'menghafal', 'huruf', 'dan', 'kosakata', 'jepang', 'saya', 'sebenernya', 'baru', 'pemula', 'dan', 'baru', 'ada', 'download', 'ini', 'apk', 'yang', 'saya', 'rasakan', 'ketika', 'belajar', 'bahasa', 'jepang', 'pakai', 'akp', 'ini', 'rasanya', 'itu', 'beda', 'dari', 'apk', 'yang', 'lain', 'saya', 'sudah', 'jam', 'pakai', 'apk', 'ini', 'dan', 'tidak', 'merasa', 'bosan', 'sama', 'sekali', 'karena', 'saya', 'menganggap', 'apk', 'ini', 'seperti', 'game', 'jadinya', 'bisa', 'belajar', 'sambil', 'bermain', 'singkat', 'saja']","['saya', 'tidak', 'mau', 'panjang', 'panjang', 'jelasinnya', 'intinya', 'apk', 'nya', 'bagus', 'dan', 'dapat', 'dengan', 'mudah', 'menghafal', 'huruf', 'dan', 'kosakata', 'jepang', 'saya', 'sebenernya', 'baru', 'pemula', 'dan', 'baru', 'ada', 'download', 'ini', 'apk', 'yang', 'saya', 'rasakan', 'ketika', 'belajar', 'bahasa', 'jepang', 'pakai', 'akp', 'ini', 'rasanya', 'itu', 'beda', 'dari', 'apk', 'yang', 'lain', 'saya', 'sudah', 'jam', 'pakai', 'apk', 'ini', 'dan', 'tidak', 'merasa', 'bosan', 'sama', 'sekali', 'karena', 'saya', 'menganggap', 'apk', 'ini', 'seperti', 'game', 'jadinya', 'bisa', 'belajar', 'sambil', 'bermain', 'singkat', 'saja']","['jelasinnya', 'intinya', 'apk', 'bagus', 'mudah', 'menghafal', 'huruf', 'kosakata', 'jepang', 'sebenernya', 'pemula', 'download', 'apk', 'rasakan', 'belajar', 'bahasa', 'jepang', 'pakai', 'akp', 'beda', 'apk', 'jam', 'pakai', 'apk', 'bosan', 'menganggap', 'apk', 'game', 'belajar', 'bermain', 'singkat']",jelasinnya intinya apk bagus mudah menghafal huruf kosakata jepang sebenernya pemula download apk rasakan belajar bahasa jepang pakai akp beda apk jam pakai apk bosan menganggap apk game belajar bermain singkat,jelasinnya inti apk bagus mudah hafal huruf kosakata jepang sebenernya mula download apk rasa ajar bahasa jepang pakai akp beda apk jam pakai apk bosan anggap apk game ajar main singkat,kotoba
