Review,text_clean,text_casefoldingText,text_final_splitted,text_slangwords,text_tokenizingText,text_normalized,text_stopword,text_sentenced,text_final_stemmed
bagus lah yaa,bagus lah yaa,bagus lah yaa,bagus lah yaa,bagus lah yaa,"['bagus', 'lah', 'yaa']","['bagus', 'lah', 'yaa']",['bagus'],bagus,bagus
bagus,bagus,bagus,bagus,bagus,['bagus'],['bagus'],['bagus'],bagus,bagus
lumayan mudah sih tapi seru bgtt menurutku,lumayan mudah sih tapi seru bgtt menurutku,lumayan mudah sih tapi seru bgtt menurutku,lumayan mudah sih seru bgtt menurutku,lumayan mudah sih seru bgtt menurutku,"['lumayan', 'mudah', 'sih', 'seru', 'bgtt', 'menurutku']","['lumayan', 'mudah', 'sih', 'seru', 'bgtt', 'menurutku']","['lumayan', 'mudah', 'seru', 'bgtt', 'menurutku']",lumayan mudah seru bgtt menurutku,lumayan mudah seru bgtt turut
oke,oke,oke,,,[],[],[],,
"shiba inu nya lucu dan aku sekarang bisa bahasa jepang!,wajib di download yang pencinta wibu!",shiba inu nya lucu dan aku sekarang bisa bahasa jepangwajib di download yang pencinta wibu,shiba inu nya lucu dan aku sekarang bisa bahasa jepangwajib di download yang pencinta wibu,shiba inu nya lucu dan aku sekarang bisa bahasa jepangwajib di download yang pencinta wibu,shiba inu nya lucu dan aku sekarang bisa bahasa jepangwajib di download yang pencinta wibu,"['shiba', 'inu', 'nya', 'lucu', 'dan', 'aku', 'sekarang', 'bisa', 'bahasa', 'jepangwajib', 'di', 'download', 'yang', 'pencinta', 'wibu']","['shiba', 'inu', 'nya', 'lucu', 'dan', 'aku', 'sekarang', 'bisa', 'bahasa', 'jepangwajib', 'di', 'download', 'yang', 'pencinta', 'wibu']","['shiba', 'inu', 'lucu', 'bahasa', 'jepangwajib', 'download', 'pencinta', 'wibu']",shiba inu lucu bahasa jepangwajib download pencinta wibu,shiba inu lucu bahasa jepangwajib download cinta wibu
membantu,membantu,membantu,membantu,membantu,['membantu'],['membantu'],['membantu'],membantu,bantu
mantap,mantap,mantap,mantap,mantap,['mantap'],['mantap'],['mantap'],mantap,mantap
ini bagus buat kamu yang mau belajar bahasa jepang,ini bagus buat kamu yang mau belajar bahasa jepang,ini bagus buat kamu yang mau belajar bahasa jepang,ini bagus buat kamu yang mau belajar bahasa jepang,ini bagus buat kamu yang mau belajar bahasa jepang,"['ini', 'bagus', 'buat', 'kamu', 'yang', 'mau', 'belajar', 'bahasa', 'jepang']","['ini', 'bagus', 'buat', 'kamu', 'yang', 'mau', 'belajar', 'bahasa', 'jepang']","['bagus', 'belajar', 'bahasa', 'jepang']",bagus belajar bahasa jepang,bagus ajar bahasa jepang
bagus membantu dan ada tata cara penulisannya tapi sayangnya tentang penjelasannya sangat baku dan saya kurang bisa memahami nya tapi bagus banget untuk pemula ada alfabet yg bisa bantu menghafal dan menunjukkan cara bunyi nya,bagus membantu dan ada tata cara penulisannya tapi sayangnya tentang penjelasannya sangat baku dan saya kurang bisa memahami nya tapi bagus banget untuk pemula ada alfabet yg bisa bantu menghafal dan menunjukkan cara bunyi nya,bagus membantu dan ada tata cara penulisannya tapi sayangnya tentang penjelasannya sangat baku dan saya kurang bisa memahami nya tapi bagus banget untuk pemula ada alfabet yg bisa bantu menghafal dan menunjukkan cara bunyi nya,bagus membantu dan ada tata cara penulisannya sayangnya tentang penjelasannya sangat baku dan saya kurang bisa memahami nya bagus banget untuk pemula ada alfabet yg bisa bantu menghafal dan menunjukkan cara bunyi nya,bagus membantu dan ada tata cara penulisannya sayangnya tentang penjelasannya sangat baku dan saya kurang bisa memahami nya bagus banget untuk pemula ada alfabet yang bisa bantu menghafal dan menunjukkan cara bunyi nya,"['bagus', 'membantu', 'dan', 'ada', 'tata', 'cara', 'penulisannya', 'sayangnya', 'tentang', 'penjelasannya', 'sangat', 'baku', 'dan', 'saya', 'kurang', 'bisa', 'memahami', 'nya', 'bagus', 'banget', 'untuk', 'pemula', 'ada', 'alfabet', 'yang', 'bisa', 'bantu', 'menghafal', 'dan', 'menunjukkan', 'cara', 'bunyi', 'nya']","['bagus', 'membantu', 'dan', 'ada', 'tata', 'cara', 'penulisannya', 'sayangnya', 'tentang', 'penjelasannya', 'sangat', 'baku', 'dan', 'saya', 'kurang', 'bisa', 'memahami', 'nya', 'bagus', 'banget', 'untuk', 'pemula', 'ada', 'alfabet', 'yang', 'bisa', 'bantu', 'menghafal', 'dan', 'menunjukkan', 'cara', 'bunyi', 'nya']","['bagus', 'membantu', 'tata', 'penulisannya', 'sayangnya', 'penjelasannya', 'baku', 'memahami', 'bagus', 'banget', 'pemula', 'alfabet', 'bantu', 'menghafal', 'bunyi']",bagus membantu tata penulisannya sayangnya penjelasannya baku memahami bagus banget pemula alfabet bantu menghafal bunyi,bagus bantu tata tulis sayang jelas baku paham bagus banget mula alfabet bantu hafal bunyi
suka memudahkan para pemula,suka memudahkan para pemula,suka memudahkan para pemula,suka memudahkan para pemula,suka memudahkan para pemula,"['suka', 'memudahkan', 'para', 'pemula']","['suka', 'memudahkan', 'para', 'pemula']","['suka', 'memudahkan', 'pemula']",suka memudahkan pemula,suka mudah mula
"apknya cukup memuaskan dan dapat belajar dengan santai,normal,dan cepat (tergantung penggunanya)",apknya cukup memuaskan dan dapat belajar dengan santainormaldan cepat tergantung penggunanya,apknya cukup memuaskan dan dapat belajar dengan santainormaldan cepat tergantung penggunanya,apknya cukup memuaskan dan dapat belajar dengan santainormaldan cepat tergantung penggunanya,apknya cukup memuaskan dan dapat belajar dengan santainormaldan cepat tergantung penggunanya,"['apknya', 'cukup', 'memuaskan', 'dan', 'dapat', 'belajar', 'dengan', 'santainormaldan', 'cepat', 'tergantung', 'penggunanya']","['apknya', 'cukup', 'memuaskan', 'dan', 'dapat', 'belajar', 'dengan', 'santainormaldan', 'cepat', 'tergantung', 'penggunanya']","['apknya', 'memuaskan', 'belajar', 'santainormaldan', 'cepat', 'tergantung', 'penggunanya']",apknya memuaskan belajar santainormaldan cepat tergantung penggunanya,apknya muas ajar santainormaldan cepat gantung guna
sangat membantu,sangat membantu,sangat membantu,sangat membantu,sangat membantu,"['sangat', 'membantu']","['sangat', 'membantu']",['membantu'],membantu,bantu
keren,keren,keren,keren,keren,['keren'],['keren'],['keren'],keren,keren
🙏🏻,,,,,[],[],[],,
good,good,good,good,bagus,['bagus'],['bagus'],['bagus'],bagus,bagus
baguss anzayyy,baguss anzayyy,baguss anzayyy,baguss anzayyy,baguss anzayyy,"['baguss', 'anzayyy']","['baguss', 'anzayyy']","['baguss', 'anzayyy']",baguss anzayyy,baguss anzayyy
bagus banget..jadi semangat belajar,bagus bangetjadi semangat belajar,bagus bangetjadi semangat belajar,bagus bangetjadi semangat belajar,bagus bangetjadi semangat belajar,"['bagus', 'bangetjadi', 'semangat', 'belajar']","['bagus', 'bangetjadi', 'semangat', 'belajar']","['bagus', 'bangetjadi', 'semangat', 'belajar']",bagus bangetjadi semangat belajar,bagus bangetjadi semangat ajar
