Review,text_clean,text_casefoldingText,text_final_splitted,text_slangwords,text_tokenizingText,text_normalized,text_stopword,text_sentenced,text_final_stemmed,fitur_terdeteksi,sentiment_pred
"overall buat latihan kanji atau kotoba nya okelah. tpi buat tes N5-N1 udh di plot jawaban testnya. wlpun jawab udh bener, tpi dr sistem apl sendiri diganti jwbnnya dan dibuat salah. so, percuma latihan tes tapi buat score testnya udh di plot ke jwbn salah wkwk aneh.",overall buat latihan kanji atau kotoba nya okelah tpi buat tes NN udh di plot jawaban testnya wlpun jawab udh bener tpi dr sistem apl sendiri diganti jwbnnya dan dibuat salah so percuma latihan tes tapi buat score testnya udh di plot ke jwbn salah wkwk aneh,overall buat latihan kanji atau kotoba nya okelah tpi buat tes nn udh di plot jawaban testnya wlpun jawab udh bener tpi dr sistem apl sendiri diganti jwbnnya dan dibuat salah so percuma latihan tes tapi buat score testnya udh di plot ke jwbn salah wkwk aneh,overall buat latihan kanji atau kotoba nya okelah tpi buat tes nn udh di plot jawaban testnya wlpun jawab udh bener tpi dr sistem apl sendiri diganti jwbnnya dan dibuat salah so percuma latihan tes buat score testnya udh di plot ke jwbn salah wkwk aneh,overall buat latihan kanji atau kotoba nya okelah tapi buat tes nn sudah di plot jawaban testnya wlpun jawab sudah benar tapi dari sistem apl sendiri diganti jwbnnya dan dibuat salah so percuma latihan tes buat score testnya sudah di plot ke jwbn salah tertawa aneh,"['overall', 'buat', 'latihan', 'kanji', 'atau', 'kotoba', 'nya', 'okelah', 'tapi', 'buat', 'tes', 'nn', 'sudah', 'di', 'plot', 'jawaban', 'testnya', 'wlpun', 'jawab', 'sudah', 'benar', 'tapi', 'dari', 'sistem', 'apl', 'sendiri', 'diganti', 'jwbnnya', 'dan', 'dibuat', 'salah', 'so', 'percuma', 'latihan', 'tes', 'buat', 'score', 'testnya', 'sudah', 'di', 'plot', 'ke', 'jwbn', 'salah', 'tertawa', 'aneh']","['overall', 'buat', 'latihan', 'kanji', 'atau', 'kotoba', 'nya', 'okelah', 'tapi', 'buat', 'tes', 'nn', 'sudah', 'di', 'plot', 'jawaban', 'testnya', 'wlpun', 'jawab', 'sudah', 'benar', 'tapi', 'dari', 'sistem', 'apl', 'sendiri', 'diganti', 'jwbnnya', 'dan', 'dibuat', 'salah', 'so', 'percuma', 'latihan', 'tes', 'buat', 'score', 'testnya', 'sudah', 'di', 'plot', 'ke', 'jwbn', 'salah', 'tertawa', 'aneh']","['overall', 'latihan', 'kanji', 'kotoba', 'okelah', 'tes', 'nn', 'plot', 'testnya', 'wlpun', 'sistem', 'apl', 'diganti', 'jwbnnya', 'salah', 'latihan', 'tes', 'score', 'testnya', 'plot', 'jwbn', 'salah', 'tertawa', 'aneh']",overall latihan kanji kotoba okelah tes nn plot testnya wlpun sistem apl diganti jwbnnya salah latihan tes score testnya plot jwbn salah tertawa aneh,overall latih kanji kotoba oke tes nn plot testnya wlpun sistem apl ganti jwbnnya salah latih tes score testnya plot jwbn salah tertawa aneh,"kanji,kotoba",positive
"setelah beberapa hari premium seumur hidup lalu update fitur cek grammar di pindah ke ai premium mantab 1 fitur premium pergi ke ai yang nggak berguna bikin nggak mood belajar soalnya harus beli ai premium kalau nggak grammar nya jadi limit padahal sebelum update ai, premium=grammar tidak terbatas👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍",setelah beberapa hari premium seumur hidup lalu update fitur cek grammar di pindah ke ai premium mantab  fitur premium pergi ke ai yang nggak berguna bikin nggak mood belajar soalnya harus beli ai premium kalau nggak grammar nya jadi limit padahal sebelum update ai premiumgrammar tidak terbatas,setelah beberapa hari premium seumur hidup lalu update fitur cek grammar di pindah ke ai premium mantab  fitur premium pergi ke ai yang nggak berguna bikin nggak mood belajar soalnya harus beli ai premium kalau nggak grammar nya jadi limit padahal sebelum update ai premiumgrammar tidak terbatas,setelah beberapa hari premium seumur hidup lalu update fitur cek grammar di pindah ke ai premium mantab  fitur premium pergi ke ai yang nggak berguna bikin nggak mood belajar soalnya harus beli ai premium kalau nggak grammar nya jadi limit padahal sebelum update ai premiumgrammar tidak terbatas,setelah beberapa hari premium seumur hidup lalu update fitur cek tata bahasa di pindah ke ai premium mantab fitur premium pergi ke ai yang tidak berguna buat tidak mood belajar soalnya harus beli ai premium kalau tidak tata bahasa nya jadi limit padahal sebelum update ai premiumgrammar tidak terbatas,"['setelah', 'beberapa', 'hari', 'premium', 'seumur', 'hidup', 'lalu', 'update', 'fitur', 'cek', 'tata', 'bahasa', 'di', 'pindah', 'ke', 'ai', 'premium', 'mantab', 'fitur', 'premium', 'pergi', 'ke', 'ai', 'yang', 'tidak', 'berguna', 'buat', 'tidak', 'mood', 'belajar', 'soalnya', 'harus', 'beli', 'ai', 'premium', 'kalau', 'tidak', 'tata', 'bahasa', 'nya', 'jadi', 'limit', 'padahal', 'sebelum', 'update', 'ai', 'premiumgrammar', 'tidak', 'terbatas']","['setelah', 'beberapa', 'hari', 'premium', 'seumur', 'hidup', 'lalu', 'update', 'fitur', 'cek', 'tata', 'bahasa', 'di', 'pindah', 'ke', 'ai', 'premium', 'mantab', 'fitur', 'premium', 'pergi', 'ke', 'ai', 'yang', 'tidak', 'berguna', 'buat', 'tidak', 'mood', 'belajar', 'soalnya', 'harus', 'beli', 'ai', 'premium', 'kalau', 'tidak', 'tata', 'bahasa', 'nya', 'jadi', 'limit', 'padahal', 'sebelum', 'update', 'ai', 'premiumgrammar', 'tidak', 'terbatas']","['premium', 'seumur', 'hidup', 'update', 'fitur', 'cek', 'tata', 'bahasa', 'pindah', 'ai', 'premium', 'mantab', 'fitur', 'premium', 'pergi', 'ai', 'berguna', 'mood', 'belajar', 'beli', 'ai', 'premium', 'tata', 'bahasa', 'limit', 'update', 'ai', 'premiumgrammar', 'terbatas']",premium seumur hidup update fitur cek tata bahasa pindah ai premium mantab fitur premium pergi ai berguna mood belajar beli ai premium tata bahasa limit update ai premiumgrammar terbatas,premium umur hidup update fitur cek tata bahasa pindah ai premium mantab fitur premium pergi ai guna mood ajar beli ai premium tata bahasa limit update ai premiumgrammar batas,bunpou,positive
"saran min,untuk huruf KANJI di setiap tingkat N5 - N1 listnya di buat berurutan seperti kanji khusus angka,hewan,alat rumah dll biar bisa disusun rapi dan agar mudah di hafal juga min 😁😁",saran minuntuk huruf KANJI di setiap tingkat N  N listnya di buat berurutan seperti kanji khusus angkahewanalat rumah dll biar bisa disusun rapi dan agar mudah di hafal juga min,saran minuntuk huruf kanji di setiap tingkat n  n listnya di buat berurutan seperti kanji khusus angkahewanalat rumah dll biar bisa disusun rapi dan agar mudah di hafal juga min,saran minuntuk huruf kanji di setiap tingkat n  n listnya di buat berurutan seperti kanji khusus angkahewanalat rumah dll biar bisa disusun rapi dan agar mudah di hafal juga min,saran minuntuk huruf kanji di setiap tingkat dan dan listnya di buat berurutan seperti kanji khusus angkahewanalat rumah dan lain-lain biar bisa disusun rapi dan agar mudah di hafal juga min,"['saran', 'minuntuk', 'huruf', 'kanji', 'di', 'setiap', 'tingkat', 'dan', 'dan', 'listnya', 'di', 'buat', 'berurutan', 'seperti', 'kanji', 'khusus', 'angkahewanalat', 'rumah', 'dan', 'lain-lain', 'biar', 'bisa', 'disusun', 'rapi', 'dan', 'agar', 'mudah', 'di', 'hafal', 'juga', 'min']","['saran', 'minuntuk', 'huruf', 'kanji', 'di', 'setiap', 'tingkat', 'dan', 'dan', 'listnya', 'di', 'buat', 'berurutan', 'seperti', 'kanji', 'khusus', 'angkahewanalat', 'rumah', 'dan', 'lain-lain', 'biar', 'bisa', 'disusun', 'rapi', 'dan', 'agar', 'mudah', 'di', 'hafal', 'juga', 'min']","['saran', 'minuntuk', 'huruf', 'kanji', 'tingkat', 'listnya', 'berurutan', 'kanji', 'khusus', 'angkahewanalat', 'rumah', 'lain-lain', 'biar', 'disusun', 'rapi', 'mudah', 'hafal', 'min']",saran minuntuk huruf kanji tingkat listnya berurutan kanji khusus angkahewanalat rumah lain-lain biar disusun rapi mudah hafal min,saran minuntuk huruf kanji tingkat listnya rurut kanji khusus angkahewanalat rumah lain biar susun rapi mudah hafal min,kanji,positive
"banyak kotoba yg gue coba crosscheck ga terdaftar alias kotobanya asal-asalan. rugi 200k, mana beli prem nya di luar PS",banyak kotoba yg gue coba crosscheck ga terdaftar alias kotobanya asalasalan rugi k mana beli prem nya di luar PS,banyak kotoba yg gue coba crosscheck ga terdaftar alias kotobanya asalasalan rugi k mana beli prem nya di luar ps,banyak kotoba yg gue coba crosscheck ga terdaftar alias kotobanya asalasalan rugi k mana beli prem nya di luar ps,banyak kotoba yang aku coba crosscheck tidak terdaftar alias kotobanya asalasalan rugi ke mana beli prem nya di luar ps,"['banyak', 'kotoba', 'yang', 'aku', 'coba', 'crosscheck', 'tidak', 'terdaftar', 'alias', 'kotobanya', 'asalasalan', 'rugi', 'ke', 'mana', 'beli', 'prem', 'nya', 'di', 'luar', 'ps']","['banyak', 'kotoba', 'yang', 'aku', 'coba', 'crosscheck', 'tidak', 'terdaftar', 'alias', 'kotobanya', 'asalasalan', 'rugi', 'ke', 'mana', 'beli', 'premium', 'nya', 'di', 'luar', 'ps']","['kotoba', 'coba', 'crosscheck', 'terdaftar', 'alias', 'kotobanya', 'asalasalan', 'rugi', 'beli', 'premium', 'ps']",kotoba coba crosscheck terdaftar alias kotobanya asalasalan rugi beli premium ps,kotoba coba crosscheck daftar alias kotobanya asalasalan rugi beli premium ps,kotoba,positive
keren banget aplikasinya tapi sayangnya kalo mau latihan menulis kosakata harus pake sistem pembayaran,keren banget aplikasinya tapi sayangnya kalo mau latihan menulis kosakata harus pake sistem pembayaran,keren banget aplikasinya tapi sayangnya kalo mau latihan menulis kosakata harus pake sistem pembayaran,keren banget aplikasinya sayangnya kalo mau latihan menulis kosakata harus pake sistem pembayaran,keren banget aplikasinya sayangnya kalau mau latihan menulis kosakata harus pakai sistem pembayaran,"['keren', 'banget', 'aplikasinya', 'sayangnya', 'kalau', 'mau', 'latihan', 'menulis', 'kosakata', 'harus', 'pakai', 'sistem', 'pembayaran']","['keren', 'banget', 'aplikasinya', 'sayangnya', 'kalau', 'mau', 'latihan', 'menulis', 'kosakata', 'harus', 'pakai', 'sistem', 'pembayaran']","['keren', 'banget', 'aplikasinya', 'sayangnya', 'latihan', 'menulis', 'kosakata', 'pakai', 'sistem', 'pembayaran']",keren banget aplikasinya sayangnya latihan menulis kosakata pakai sistem pembayaran,keren banget aplikasi sayang latih tulis kosakata pakai sistem bayar,kotoba,positive
"Terimakasih sudah menciptakan aplikasi yang bermanfaat, saya sedang bljr bhs jepang , didalam aplikasi ini kita bisa mengoreksi pola kalimat yang kiranya kita udah bener ,ternyata masih ada yang salah, sehingga aplikasi ini bisa memberitahu 👍🙂",Terimakasih sudah menciptakan aplikasi yang bermanfaat saya sedang bljr bhs jepang  didalam aplikasi ini kita bisa mengoreksi pola kalimat yang kiranya kita udah bener ternyata masih ada yang salah sehingga aplikasi ini bisa memberitahu,terimakasih sudah menciptakan aplikasi yang bermanfaat saya sedang bljr bhs jepang  didalam aplikasi ini kita bisa mengoreksi pola kalimat yang kiranya kita udah bener ternyata masih ada yang salah sehingga aplikasi ini bisa memberitahu,terimakasih sudah menciptakan aplikasi yang bermanfaat saya sedang bljr bhs jepang  didalam aplikasi ini kita bisa mengoreksi pola kalimat yang kiranya kita udah bener ternyata masih ada yang salah sehingga aplikasi ini bisa memberitahu,terimakasih sudah menciptakan aplikasi yang bermanfaat saya sedang bljr bhs jepang didalam aplikasi ini kita bisa mengoreksi pola kalimat yang kiranya kita sudah benar ternyata masih ada yang salah sehingga aplikasi ini bisa memberitahu,"['terimakasih', 'sudah', 'menciptakan', 'aplikasi', 'yang', 'bermanfaat', 'saya', 'sedang', 'bljr', 'bhs', 'jepang', 'didalam', 'aplikasi', 'ini', 'kita', 'bisa', 'mengoreksi', 'pola', 'kalimat', 'yang', 'kiranya', 'kita', 'sudah', 'benar', 'ternyata', 'masih', 'ada', 'yang', 'salah', 'sehingga', 'aplikasi', 'ini', 'bisa', 'memberitahu']","['terimakasih', 'sudah', 'menciptakan', 'aplikasi', 'yang', 'bermanfaat', 'saya', 'sedang', 'bljr', 'bhs', 'jepang', 'didalam', 'aplikasi', 'ini', 'kita', 'bisa', 'mengoreksi', 'pola', 'kalimat', 'yang', 'kiranya', 'kita', 'sudah', 'benar', 'ternyata', 'masih', 'ada', 'yang', 'salah', 'sehingga', 'aplikasi', 'ini', 'bisa', 'memberitahu']","['terimakasih', 'menciptakan', 'aplikasi', 'bermanfaat', 'bljr', 'bhs', 'jepang', 'didalam', 'aplikasi', 'mengoreksi', 'pola', 'kalimat', 'salah', 'aplikasi', 'memberitahu']",terimakasih menciptakan aplikasi bermanfaat bljr bhs jepang didalam aplikasi mengoreksi pola kalimat salah aplikasi memberitahu,terimakasih cipta aplikasi manfaat bljr bhs jepang dalam aplikasi koreksi pola kalimat salah aplikasi memberitahu,bunpou,positive
dapat mengetahui urutan menulis setiap kanji secara jelas.,dapat mengetahui urutan menulis setiap kanji secara jelas,dapat mengetahui urutan menulis setiap kanji secara jelas,dapat mengetahui urutan menulis setiap kanji secara jelas,dapat mengetahui urutan menulis setiap kanji secara jelas,"['dapat', 'mengetahui', 'urutan', 'menulis', 'setiap', 'kanji', 'secara', 'jelas']","['dapat', 'mengetahui', 'urutan', 'menulis', 'setiap', 'kanji', 'secara', 'jelas']","['urutan', 'menulis', 'kanji']",urutan menulis kanji,urut tulis kanji,kanji,positive
sangat berguna dan membantu buat proses belajar menulis dan menghafal kanji,sangat berguna dan membantu buat proses belajar menulis dan menghafal kanji,sangat berguna dan membantu buat proses belajar menulis dan menghafal kanji,sangat berguna dan membantu buat proses belajar menulis dan menghafal kanji,sangat berguna dan membantu buat proses belajar menulis dan menghafal kanji,"['sangat', 'berguna', 'dan', 'membantu', 'buat', 'proses', 'belajar', 'menulis', 'dan', 'menghafal', 'kanji']","['sangat', 'berguna', 'dan', 'membantu', 'buat', 'proses', 'belajar', 'menulis', 'dan', 'menghafal', 'kanji']","['berguna', 'membantu', 'proses', 'belajar', 'menulis', 'menghafal', 'kanji']",berguna membantu proses belajar menulis menghafal kanji,guna bantu proses ajar tulis hafal kanji,kanji,positive
"Halo Tim Developer Mazii, Saya mengalami beberapa masalah pada aplikasi Mazii: 1. Setelah login, aplikasi sering kembali ke tampilan awal untuk memilih bahasa, sehingga saya harus login ulang setiap kali membuka aplikasi. 2. Fitur urutan untuk menulis kanji yang sebelumnya tersedia juga tidak muncul lagi. Mohon bantuannya untuk memperbaiki masalah ini, karena fitur tersebut sangat membantu dalam pembelajaran.",Halo Tim Developer Mazii Saya mengalami beberapa masalah pada aplikasi Mazii  Setelah login aplikasi sering kembali ke tampilan awal untuk memilih bahasa sehingga saya harus login ulang setiap kali membuka aplikasi  Fitur urutan untuk menulis kanji yang sebelumnya tersedia juga tidak muncul lagi Mohon bantuannya untuk memperbaiki masalah ini karena fitur tersebut sangat membantu dalam pembelajaran,halo tim developer mazii saya mengalami beberapa masalah pada aplikasi mazii  setelah login aplikasi sering kembali ke tampilan awal untuk memilih bahasa sehingga saya harus login ulang setiap kali membuka aplikasi  fitur urutan untuk menulis kanji yang sebelumnya tersedia juga tidak muncul lagi mohon bantuannya untuk memperbaiki masalah ini karena fitur tersebut sangat membantu dalam pembelajaran,halo tim developer mazii saya mengalami beberapa masalah pada aplikasi mazii  setelah login aplikasi sering kembali ke tampilan awal untuk memilih bahasa sehingga saya harus login ulang setiap kali membuka aplikasi  fitur urutan untuk menulis kanji yang sebelumnya tersedia juga tidak muncul lagi mohon bantuannya untuk memperbaiki masalah ini karena fitur tersebut sangat membantu dalam pembelajaran,halo tim developer mazii saya mengalami beberapa masalah pada aplikasi mazii setelah login aplikasi sering kembali ke tampilan awal untuk memilih bahasa sehingga saya harus login ulang setiap kali membuka aplikasi fitur urutan untuk menulis kanji yang sebelumnya tersedia juga tidak muncul lagi mohon bantuannya untuk memperbaiki masalah ini karena fitur tersebut sangat membantu dalam pembelajaran,"['halo', 'tim', 'developer', 'mazii', 'saya', 'mengalami', 'beberapa', 'masalah', 'pada', 'aplikasi', 'mazii', 'setelah', 'login', 'aplikasi', 'sering', 'kembali', 'ke', 'tampilan', 'awal', 'untuk', 'memilih', 'bahasa', 'sehingga', 'saya', 'harus', 'login', 'ulang', 'setiap', 'kali', 'membuka', 'aplikasi', 'fitur', 'urutan', 'untuk', 'menulis', 'kanji', 'yang', 'sebelumnya', 'tersedia', 'juga', 'tidak', 'muncul', 'lagi', 'mohon', 'bantuannya', 'untuk', 'memperbaiki', 'masalah', 'ini', 'karena', 'fitur', 'tersebut', 'sangat', 'membantu', 'dalam', 'pembelajaran']","['halo', 'tim', 'developer', 'mazii', 'saya', 'mengalami', 'beberapa', 'masalah', 'pada', 'aplikasi', 'mazii', 'setelah', 'login', 'aplikasi', 'sering', 'kembali', 'ke', 'tampilan', 'awal', 'untuk', 'memilih', 'bahasa', 'sehingga', 'saya', 'harus', 'login', 'ulang', 'setiap', 'kali', 'membuka', 'aplikasi', 'fitur', 'urutan', 'untuk', 'menulis', 'kanji', 'yang', 'sebelumnya', 'tersedia', 'juga', 'tidak', 'muncul', 'lagi', 'mohon', 'bantuannya', 'untuk', 'memperbaiki', 'masalah', 'ini', 'karena', 'fitur', 'tersebut', 'sangat', 'membantu', 'dalam', 'pembelajaran']","['halo', 'tim', 'developer', 'mazii', 'mengalami', 'aplikasi', 'mazii', 'login', 'aplikasi', 'tampilan', 'memilih', 'bahasa', 'login', 'ulang', 'kali', 'membuka', 'aplikasi', 'fitur', 'urutan', 'menulis', 'kanji', 'tersedia', 'muncul', 'mohon', 'bantuannya', 'memperbaiki', 'fitur', 'membantu', 'pembelajaran']",halo tim developer mazii mengalami aplikasi mazii login aplikasi tampilan memilih bahasa login ulang kali membuka aplikasi fitur urutan menulis kanji tersedia muncul mohon bantuannya memperbaiki fitur membantu pembelajaran,halo tim developer mazi alami aplikasi mazi login aplikasi tampil pilih bahasa login ulang kali buka aplikasi fitur urut tulis kanji sedia muncul mohon bantu baik fitur bantu ajar,kanji,positive
"apkikasi bahasa jepang yang sangat membantu sekali, gampang mencari kanji dan artinya",apkikasi bahasa jepang yang sangat membantu sekali gampang mencari kanji dan artinya,apkikasi bahasa jepang yang sangat membantu sekali gampang mencari kanji dan artinya,apkikasi bahasa jepang yang sangat membantu sekali gampang mencari kanji dan artinya,apkikasi bahasa jepang yang sangat membantu sekali gampang mencari kanji dan artinya,"['apkikasi', 'bahasa', 'jepang', 'yang', 'sangat', 'membantu', 'sekali', 'gampang', 'mencari', 'kanji', 'dan', 'artinya']","['apkikasi', 'bahasa', 'jepang', 'yang', 'sangat', 'membantu', 'sekali', 'gampang', 'mencari', 'kanji', 'dan', 'artinya']","['apkikasi', 'bahasa', 'jepang', 'membantu', 'gampang', 'mencari', 'kanji']",apkikasi bahasa jepang membantu gampang mencari kanji,apkikasi bahasa jepang bantu gampang cari kanji,kanji,positive
