Review,text_clean,text_casefoldingText,text_final_splitted,text_slangwords,text_tokenizingText,text_normalized,text_stopword,text_sentenced,text_final_stemmed,fitur_terdeteksi,sentiment_pred
Pelajaran Hiragana Katakana untuk pemula tidak adaa,Pelajaran Hiragana Katakana untuk pemula tidak adaa,pelajaran hiragana katakana untuk pemula tidak adaa,pelajaran hiragana katakana untuk pemula tidak adaa,pelajaran hiragana katakana untuk pemula tidak adaa,"['pelajaran', 'hiragana', 'katakana', 'untuk', 'pemula', 'tidak', 'adaa']","['pelajaran', 'hiragana', 'katakana', 'untuk', 'pemula', 'tidak', 'adaa']","['pelajaran', 'hiragana', 'katakana', 'pemula', 'adaa']",pelajaran hiragana katakana pemula adaa,ajar hiragana katakana mula adaa,kotoba,positive
"aplikasi ini sangat membantu dalam latihan bahasa jepang, udh belajar kanji,kosakata sama bunpou di yt sama buku tapi bingung latihannya dimana, kebetulan ketemu iklan ni aplikasi dan pas aku cobain behhh membantu banget bisa latihan latihan soal, bintang 5 dah pokoknya 👍👍✨✨🔥🔥",aplikasi ini sangat membantu dalam latihan bahasa jepang udh belajar kanjikosakata sama bunpou di yt sama buku tapi bingung latihannya dimana kebetulan ketemu iklan ni aplikasi dan pas aku cobain behhh membantu banget bisa latihan latihan soal bintang  dah pokoknya,aplikasi ini sangat membantu dalam latihan bahasa jepang udh belajar kanjikosakata sama bunpou di yt sama buku tapi bingung latihannya dimana kebetulan ketemu iklan ni aplikasi dan pas aku cobain behhh membantu banget bisa latihan latihan soal bintang  dah pokoknya,aplikasi ini sangat membantu dalam latihan bahasa jepang udh belajar kanjikosakata sama bunpou di yt sama buku bingung latihannya dimana kebetulan ketemu iklan ni aplikasi dan pas aku cobain behhh membantu banget bisa latihan latihan soal bintang  dah pokoknya,aplikasi ini sangat membantu dalam latihan bahasa jepang sudah belajar kanjikosakata sama bunpou di yt sama buku bingung latihannya dimana kebetulan ketemu iklan ini aplikasi dan pas aku cobain behhh membantu banget bisa latihan latihan soal bintang deh pokoknya,"['aplikasi', 'ini', 'sangat', 'membantu', 'dalam', 'latihan', 'bahasa', 'jepang', 'sudah', 'belajar', 'kanjikosakata', 'sama', 'bunpou', 'di', 'yt', 'sama', 'buku', 'bingung', 'latihannya', 'dimana', 'kebetulan', 'ketemu', 'iklan', 'ini', 'aplikasi', 'dan', 'pas', 'aku', 'cobain', 'behhh', 'membantu', 'banget', 'bisa', 'latihan', 'latihan', 'soal', 'bintang', 'deh', 'pokoknya']","['aplikasi', 'ini', 'sangat', 'membantu', 'dalam', 'latihan', 'bahasa', 'jepang', 'sudah', 'belajar', 'kanjikosakata', 'sama', 'bunpou', 'di', 'yt', 'sama', 'buku', 'bingung', 'latihannya', 'dimana', 'kebetulan', 'ketemu', 'iklan', 'ini', 'aplikasi', 'dan', 'pas', 'aku', 'cobain', 'behhh', 'membantu', 'banget', 'bisa', 'latihan', 'latihan', 'soal', 'bintang', 'deh', 'pokoknya']","['aplikasi', 'membantu', 'latihan', 'bahasa', 'jepang', 'belajar', 'kanjikosakata', 'bunpou', 'yt', 'buku', 'bingung', 'latihannya', 'dimana', 'ketemu', 'iklan', 'aplikasi', 'pas', 'cobain', 'behhh', 'membantu', 'banget', 'latihan', 'latihan', 'bintang', 'deh', 'pokoknya']",aplikasi membantu latihan bahasa jepang belajar kanjikosakata bunpou yt buku bingung latihannya dimana ketemu iklan aplikasi pas cobain behhh membantu banget latihan latihan bintang deh pokoknya,aplikasi bantu latih bahasa jepang ajar kanjikosakata bunpou yt buku bingung latih mana ketemu iklan aplikasi pas cobain behhh bantu banget latih latih bintang deh pokok,"bunpou,kanji,kotoba",positive
Aku apk migi ini kotoba nya ku jadikan patokan utama walaupun otodidak dan gak ada niatan masuk jlpt ada yang sama gak sih🗿,Aku apk migi ini kotoba nya ku jadikan patokan utama walaupun otodidak dan gak ada niatan masuk jlpt ada yang sama gak sih,aku apk migi ini kotoba nya ku jadikan patokan utama walaupun otodidak dan gak ada niatan masuk jlpt ada yang sama gak sih,aku apk migi ini kotoba nya ku jadikan patokan utama otodidak dan gak ada niatan masuk jlpt ada yang sama gak sih,aku apk migi ini kotoba nya ku jadikan patokan utama otodidak dan tidak ada niatan masuk jlpt ada yang sama tidak sih,"['aku', 'apk', 'migi', 'ini', 'kotoba', 'nya', 'ku', 'jadikan', 'patokan', 'utama', 'otodidak', 'dan', 'tidak', 'ada', 'niatan', 'masuk', 'jlpt', 'ada', 'yang', 'sama', 'tidak', 'sih']","['aku', 'apk', 'migi', 'ini', 'kotoba', 'nya', 'ku', 'jadikan', 'patokan', 'utama', 'otodidak', 'dan', 'tidak', 'ada', 'niatan', 'masuk', 'jlpt', 'ada', 'yang', 'sama', 'tidak', 'sih']","['apk', 'migi', 'kotoba', 'jadikan', 'patokan', 'utama', 'otodidak', 'niatan', 'masuk', 'jlpt']",apk migi kotoba jadikan patokan utama otodidak niatan masuk jlpt,apk migi kotoba jadi patok utama otodidak niat masuk jlpt,kotoba,positive
"It's a very good app, possible to make a roadmap to plan your daily study with predetermined goal. It covers all aspect of JLPT (Kanji, Bunpou, Goi, Dokkai, Choukai), and the mock exam helps to check your readiness and build confidence. It helped me get the N2 certificate, and the premium plan is cheap and worth it. The customer service is very fast and prompt, responding to my E-Mail request to unlink device in just around two hours (not mention on weekends).",Its a very good app possible to make a roadmap to plan your daily study with predetermined goal It covers all aspect of JLPT Kanji Bunpou Goi Dokkai Choukai and the mock exam helps to check your readiness and build confidence It helped me get the N certificate and the premium plan is cheap and worth it The customer service is very fast and prompt responding to my EMail request to unlink device in just around two hours not mention on weekends,its a very good app possible to make a roadmap to plan your daily study with predetermined goal it covers all aspect of jlpt kanji bunpou goi dokkai choukai and the mock exam helps to check your readiness and build confidence it helped me get the n certificate and the premium plan is cheap and worth it the customer service is very fast and prompt responding to my email request to unlink device in just around two hours not mention on weekends,its a very good app possible to make a roadmap to plan your daily study with predetermined goal it covers all aspect of jlpt kanji bunpou goi dokkai choukai and the mock exam helps to check your readiness and build confidence it helped me get the n certificate and the premium plan is cheap and worth it the customer service is very fast and prompt responding to my email request to unlink device in just around two hours not mention on weekends,its a very bagus app possible to make a roadmap to plan your daily study with predetermined goal it covers all aspect of jlpt kanji bunpou goi dokkai choukai and the mock exam helps to check your readiness and build confidence it helped me get the dan certificate and the premium plan is cheap and worth it the customer service is very fast and prompt responding to my email request to unlink device in just around two hours not mention on weekends,"['its', 'a', 'very', 'bagus', 'app', 'possible', 'to', 'make', 'a', 'roadmap', 'to', 'plan', 'your', 'daily', 'study', 'with', 'predetermined', 'goal', 'it', 'covers', 'all', 'aspect', 'of', 'jlpt', 'kanji', 'bunpou', 'goi', 'dokkai', 'choukai', 'and', 'the', 'mock', 'exam', 'helps', 'to', 'check', 'your', 'readiness', 'and', 'build', 'confidence', 'it', 'helped', 'me', 'get', 'the', 'dan', 'certificate', 'and', 'the', 'premium', 'plan', 'is', 'cheap', 'and', 'worth', 'it', 'the', 'customer', 'service', 'is', 'very', 'fast', 'and', 'prompt', 'responding', 'to', 'my', 'email', 'request', 'to', 'unlink', 'device', 'in', 'just', 'around', 'two', 'hours', 'not', 'mention', 'on', 'weekends']","['its', 'a', 'very', 'bagus', 'app', 'possible', 'to', 'make', 'a', 'roadmap', 'to', 'plan', 'your', 'daily', 'study', 'with', 'predetermined', 'goal', 'it', 'covers', 'all', 'aspect', 'of', 'jlpt', 'kanji', 'bunpou', 'goi', 'dokkai', 'choukai', 'and', 'the', 'mock', 'exam', 'helps', 'to', 'check', 'your', 'readiness', 'and', 'build', 'confidence', 'it', 'helped', 'me', 'get', 'the', 'dan', 'certificate', 'and', 'the', 'premium', 'plan', 'is', 'cheap', 'and', 'worth', 'it', 'the', 'customer', 'service', 'is', 'very', 'fast', 'and', 'prompt', 'responding', 'to', 'my', 'email', 'request', 'to', 'unlink', 'device', 'in', 'just', 'around', 'two', 'hours', 'not', 'mention', 'on', 'weekends']","['bagus', 'app', 'possible', 'make', 'roadmap', 'plan', 'daily', 'study', 'predetermined', 'goal', 'covers', 'aspect', 'jlpt', 'kanji', 'bunpou', 'goi', 'dokkai', 'choukai', 'mock', 'exam', 'helps', 'check', 'readiness', 'build', 'confidence', 'helped', 'get', 'certificate', 'premium', 'plan', 'cheap', 'worth', 'customer', 'service', 'fast', 'prompt', 'responding', 'email', 'request', 'unlink', 'device', 'around', 'two', 'hours', 'mention', 'weekends']",bagus app possible make roadmap plan daily study predetermined goal covers aspect jlpt kanji bunpou goi dokkai choukai mock exam helps check readiness build confidence helped get certificate premium plan cheap worth customer service fast prompt responding email request unlink device around two hours mention weekends,bagus app possible make roadmap plan daily study predetermined goal covers aspect jlpt kanji bunpou goi dokkai choukai mock exam helps check readiness build confidence helped get certificate premium plan cheap worth customer service fast prompt responding email request unlink device around two hours mention weekends,"bunpou,kanji",positive
"sangat bagus buat me-review ulang kanji, kosakata dan latihan JLPT",sangat bagus buat mereview ulang kanji kosakata dan latihan JLPT,sangat bagus buat mereview ulang kanji kosakata dan latihan jlpt,sangat bagus buat mereview ulang kanji kosakata dan latihan jlpt,sangat bagus buat mereview ulang kanji kosakata dan latihan jlpt,"['sangat', 'bagus', 'buat', 'mereview', 'ulang', 'kanji', 'kosakata', 'dan', 'latihan', 'jlpt']","['sangat', 'bagus', 'buat', 'mereview', 'ulang', 'kanji', 'kosakata', 'dan', 'latihan', 'jlpt']","['bagus', 'mereview', 'ulang', 'kanji', 'kosakata', 'latihan', 'jlpt']",bagus mereview ulang kanji kosakata latihan jlpt,bagus mereview ulang kanji kosakata latih jlpt,"kanji,kotoba",positive
"pas ngga premium sih bagus, tapi kok pas nyoba premium banyak kotoba yang artinya ngga sesuai. kadang ada juga yang ngga diterjemahin, tolong diperbaiki juga sistemnya",pas ngga premium sih bagus tapi kok pas nyoba premium banyak kotoba yang artinya ngga sesuai kadang ada juga yang ngga diterjemahin tolong diperbaiki juga sistemnya,pas ngga premium sih bagus tapi kok pas nyoba premium banyak kotoba yang artinya ngga sesuai kadang ada juga yang ngga diterjemahin tolong diperbaiki juga sistemnya,pas ngga premium sih bagus kok pas nyoba premium banyak kotoba yang artinya ngga sesuai kadang ada juga yang ngga diterjemahin tolong diperbaiki juga sistemnya,pas tidak premium sih bagus kok pas nyoba premium banyak kotoba yang artinya tidak sesuai kadang ada juga yang tidak diterjemahin tolong diperbaiki juga sistemnya,"['pas', 'tidak', 'premium', 'sih', 'bagus', 'kok', 'pas', 'nyoba', 'premium', 'banyak', 'kotoba', 'yang', 'artinya', 'tidak', 'sesuai', 'kadang', 'ada', 'juga', 'yang', 'tidak', 'diterjemahin', 'tolong', 'diperbaiki', 'juga', 'sistemnya']","['pas', 'tidak', 'premium', 'sih', 'bagus', 'kok', 'pas', 'nyoba', 'premium', 'banyak', 'kotoba', 'yang', 'artinya', 'tidak', 'sesuai', 'kadang', 'ada', 'juga', 'yang', 'tidak', 'diterjemahin', 'tolong', 'diperbaiki', 'juga', 'sistemnya']","['pas', 'premium', 'bagus', 'pas', 'nyoba', 'premium', 'kotoba', 'sesuai', 'kadang', 'diterjemahin', 'tolong', 'diperbaiki', 'sistemnya']",pas premium bagus pas nyoba premium kotoba sesuai kadang diterjemahin tolong diperbaiki sistemnya,pas premium bagus pas nyoba premium kotoba sesuai kadang diterjemahin tolong baik sistem,kotoba,positive
"Tolong perbaiki arti dari kosakatanya, terkadang ada arti yang tidak muncul dan salah",Tolong perbaiki arti dari kosakatanya terkadang ada arti yang tidak muncul dan salah,tolong perbaiki arti dari kosakatanya terkadang ada arti yang tidak muncul dan salah,tolong perbaiki arti dari kosakatanya terkadang ada arti yang tidak muncul dan salah,tolong perbaiki arti dari kosakatanya terkadang ada arti yang tidak muncul dan salah,"['tolong', 'perbaiki', 'arti', 'dari', 'kosakatanya', 'terkadang', 'ada', 'arti', 'yang', 'tidak', 'muncul', 'dan', 'salah']","['tolong', 'perbaiki', 'arti', 'dari', 'kosakatanya', 'terkadang', 'ada', 'arti', 'yang', 'tidak', 'muncul', 'dan', 'salah']","['tolong', 'perbaiki', 'arti', 'kosakatanya', 'terkadang', 'arti', 'muncul', 'salah']",tolong perbaiki arti kosakatanya terkadang arti muncul salah,tolong baik arti kosakata terkadang arti muncul salah,kotoba,positive
"Saya harap ada lebih banyak dan beragam pada bagian teori, seperti contoh kalimat pada seksi kanji atau tata bahasa.. untuk sekarang seksi teori terkesan sedikit dan kurang lengkap, juga ada banyak contoh kalimat yang berulang terutama di seksi kanji..",Saya harap ada lebih banyak dan beragam pada bagian teori seperti contoh kalimat pada seksi kanji atau tata bahasa untuk sekarang seksi teori terkesan sedikit dan kurang lengkap juga ada banyak contoh kalimat yang berulang terutama di seksi kanji,saya harap ada lebih banyak dan beragam pada bagian teori seperti contoh kalimat pada seksi kanji atau tata bahasa untuk sekarang seksi teori terkesan sedikit dan kurang lengkap juga ada banyak contoh kalimat yang berulang terutama di seksi kanji,saya harap ada lebih banyak dan beragam pada bagian teori seperti contoh kalimat pada seksi kanji atau tata bahasa untuk sekarang seksi teori terkesan sedikit dan kurang lengkap juga ada banyak contoh kalimat yang berulang terutama di seksi kanji,saya harap ada lebih banyak dan beragam pada bagian teori seperti contoh kalimat pada seksi kanji atau tata bahasa untuk sekarang seksi teori terkesan sedikit dan kurang lengkap juga ada banyak contoh kalimat yang berulang terutama di seksi kanji,"['saya', 'harap', 'ada', 'lebih', 'banyak', 'dan', 'beragam', 'pada', 'bagian', 'teori', 'seperti', 'contoh', 'kalimat', 'pada', 'seksi', 'kanji', 'atau', 'tata', 'bahasa', 'untuk', 'sekarang', 'seksi', 'teori', 'terkesan', 'sedikit', 'dan', 'kurang', 'lengkap', 'juga', 'ada', 'banyak', 'contoh', 'kalimat', 'yang', 'berulang', 'terutama', 'di', 'seksi', 'kanji']","['saya', 'harap', 'ada', 'lebih', 'banyak', 'dan', 'beragam', 'pada', 'bagian', 'teori', 'seperti', 'contoh', 'kalimat', 'pada', 'seksi', 'kanji', 'atau', 'tata', 'bahasa', 'untuk', 'sekarang', 'seksi', 'teori', 'terkesan', 'sedikit', 'dan', 'kurang', 'lengkap', 'juga', 'ada', 'banyak', 'contoh', 'kalimat', 'yang', 'berulang', 'terutama', 'di', 'seksi', 'kanji']","['harap', 'beragam', 'teori', 'contoh', 'kalimat', 'seksi', 'kanji', 'tata', 'bahasa', 'seksi', 'teori', 'terkesan', 'lengkap', 'contoh', 'kalimat', 'berulang', 'seksi', 'kanji']",harap beragam teori contoh kalimat seksi kanji tata bahasa seksi teori terkesan lengkap contoh kalimat berulang seksi kanji,harap agam teori contoh kalimat seksi kanji tata bahasa seksi teori kes lengkap contoh kalimat ulang seksi kanji,"bunpou,kanji",positive
"sangat membantu bagi pemula yang sedang belajar kanji,semoga bermanfaat",sangat membantu bagi pemula yang sedang belajar kanjisemoga bermanfaat,sangat membantu bagi pemula yang sedang belajar kanjisemoga bermanfaat,sangat membantu bagi pemula yang sedang belajar kanjisemoga bermanfaat,sangat membantu bagi pemula yang sedang belajar kanjisemoga bermanfaat,"['sangat', 'membantu', 'bagi', 'pemula', 'yang', 'sedang', 'belajar', 'kanjisemoga', 'bermanfaat']","['sangat', 'membantu', 'bagi', 'pemula', 'yang', 'sedang', 'belajar', 'kanjisemoga', 'bermanfaat']","['membantu', 'pemula', 'belajar', 'kanjisemoga', 'bermanfaat']",membantu pemula belajar kanjisemoga bermanfaat,bantu mula ajar kanjisemoga manfaat,kanji,positive
enak buat belajar kanji,enak buat belajar kanji,enak buat belajar kanji,enak buat belajar kanji,enak buat belajar kanji,"['enak', 'buat', 'belajar', 'kanji']","['enak', 'buat', 'belajar', 'kanji']","['enak', 'belajar', 'kanji']",enak belajar kanji,enak ajar kanji,kanji,positive
