Review,text_clean,text_casefoldingText,text_final_splitted,text_slangwords,text_tokenizingText,text_normalized,text_stopword,text_sentenced,text_final_stemmed,fitur_terdeteksi,text_final_stemmed_tokenized,polarity_score,polarity
bagus lah yaa,bagus lah yaa,bagus lah yaa,bagus lah yaa,bagus lah yaa,"['bagus', 'lah', 'yaa']","['bagus', 'lah', 'yaa']",['bagus'],bagus,bagus,,['bagus'],4,positive
bagus,bagus,bagus,bagus,bagus,['bagus'],['bagus'],['bagus'],bagus,bagus,,['bagus'],4,positive
lumayan mudah sih tapi seru bgtt menurutku,lumayan mudah sih tapi seru bgtt menurutku,lumayan mudah sih tapi seru bgtt menurutku,lumayan mudah sih seru bgtt menurutku,lumayan mudah sih seru bgtt menurutku,"['lumayan', 'mudah', 'sih', 'seru', 'bgtt', 'menurutku']","['lumayan', 'mudah', 'sih', 'seru', 'bgtt', 'menurutku']","['lumayan', 'mudah', 'seru', 'bgtt', 'menurutku']",lumayan mudah seru bgtt menurutku,lumayan mudah seru bgtt turut,,"['lumayan', 'mudah', 'seru', 'bgtt', 'turut']",11,positive
"shiba inu nya lucu dan aku sekarang bisa bahasa jepang!,wajib di download yang pencinta wibu!",shiba inu nya lucu dan aku sekarang bisa bahasa jepangwajib di download yang pencinta wibu,shiba inu nya lucu dan aku sekarang bisa bahasa jepangwajib di download yang pencinta wibu,shiba inu nya lucu dan aku sekarang bisa bahasa jepangwajib di download yang pencinta wibu,shiba inu nya lucu dan aku sekarang bisa bahasa jepangwajib di download yang pencinta wibu,"['shiba', 'inu', 'nya', 'lucu', 'dan', 'aku', 'sekarang', 'bisa', 'bahasa', 'jepangwajib', 'di', 'download', 'yang', 'pencinta', 'wibu']","['shiba', 'inu', 'nya', 'lucu', 'dan', 'aku', 'sekarang', 'bisa', 'bahasa', 'jepangwajib', 'di', 'download', 'yang', 'pencinta', 'wibu']","['shiba', 'inu', 'lucu', 'bahasa', 'jepangwajib', 'download', 'pencinta', 'wibu']",shiba inu lucu bahasa jepangwajib download pencinta wibu,shiba inu lucu bahasa jepangwajib download cinta wibu,,"['shiba', 'inu', 'lucu', 'bahasa', 'jepangwajib', 'download', 'cinta', 'wibu']",7,positive
membantu,membantu,membantu,membantu,membantu,['membantu'],['membantu'],['membantu'],membantu,bantu,,['bantu'],4,positive
mantap,mantap,mantap,mantap,mantap,['mantap'],['mantap'],['mantap'],mantap,mantap,,['mantap'],2,positive
ini bagus buat kamu yang mau belajar bahasa jepang,ini bagus buat kamu yang mau belajar bahasa jepang,ini bagus buat kamu yang mau belajar bahasa jepang,ini bagus buat kamu yang mau belajar bahasa jepang,ini bagus buat kamu yang mau belajar bahasa jepang,"['ini', 'bagus', 'buat', 'kamu', 'yang', 'mau', 'belajar', 'bahasa', 'jepang']","['ini', 'bagus', 'buat', 'kamu', 'yang', 'mau', 'belajar', 'bahasa', 'jepang']","['bagus', 'belajar', 'bahasa', 'jepang']",bagus belajar bahasa jepang,bagus ajar bahasa jepang,,"['bagus', 'ajar', 'bahasa', 'jepang']",11,positive
bagus membantu dan ada tata cara penulisannya tapi sayangnya tentang penjelasannya sangat baku dan saya kurang bisa memahami nya tapi bagus banget untuk pemula ada alfabet yg bisa bantu menghafal dan menunjukkan cara bunyi nya,bagus membantu dan ada tata cara penulisannya tapi sayangnya tentang penjelasannya sangat baku dan saya kurang bisa memahami nya tapi bagus banget untuk pemula ada alfabet yg bisa bantu menghafal dan menunjukkan cara bunyi nya,bagus membantu dan ada tata cara penulisannya tapi sayangnya tentang penjelasannya sangat baku dan saya kurang bisa memahami nya tapi bagus banget untuk pemula ada alfabet yg bisa bantu menghafal dan menunjukkan cara bunyi nya,bagus membantu dan ada tata cara penulisannya sayangnya tentang penjelasannya sangat baku dan saya kurang bisa memahami nya bagus banget untuk pemula ada alfabet yg bisa bantu menghafal dan menunjukkan cara bunyi nya,bagus membantu dan ada tata cara penulisannya sayangnya tentang penjelasannya sangat baku dan saya kurang bisa memahami nya bagus banget untuk pemula ada alfabet yang bisa bantu menghafal dan menunjukkan cara bunyi nya,"['bagus', 'membantu', 'dan', 'ada', 'tata', 'cara', 'penulisannya', 'sayangnya', 'tentang', 'penjelasannya', 'sangat', 'baku', 'dan', 'saya', 'kurang', 'bisa', 'memahami', 'nya', 'bagus', 'banget', 'untuk', 'pemula', 'ada', 'alfabet', 'yang', 'bisa', 'bantu', 'menghafal', 'dan', 'menunjukkan', 'cara', 'bunyi', 'nya']","['bagus', 'membantu', 'dan', 'ada', 'tata', 'cara', 'penulisannya', 'sayangnya', 'tentang', 'penjelasannya', 'sangat', 'baku', 'dan', 'saya', 'kurang', 'bisa', 'memahami', 'nya', 'bagus', 'banget', 'untuk', 'pemula', 'ada', 'alfabet', 'yang', 'bisa', 'bantu', 'menghafal', 'dan', 'menunjukkan', 'cara', 'bunyi', 'nya']","['bagus', 'membantu', 'tata', 'penulisannya', 'sayangnya', 'penjelasannya', 'baku', 'memahami', 'bagus', 'banget', 'pemula', 'alfabet', 'bantu', 'menghafal', 'bunyi']",bagus membantu tata penulisannya sayangnya penjelasannya baku memahami bagus banget pemula alfabet bantu menghafal bunyi,bagus bantu tata tulis sayang jelas baku paham bagus banget mula alfabet bantu hafal bunyi,,"['bagus', 'bantu', 'tata', 'tulis', 'sayang', 'jelas', 'baku', 'paham', 'bagus', 'banget', 'mula', 'alfabet', 'bantu', 'hafal', 'bunyi']",32,positive
suka memudahkan para pemula,suka memudahkan para pemula,suka memudahkan para pemula,suka memudahkan para pemula,suka memudahkan para pemula,"['suka', 'memudahkan', 'para', 'pemula']","['suka', 'memudahkan', 'para', 'pemula']","['suka', 'memudahkan', 'pemula']",suka memudahkan pemula,suka mudah mula,,"['suka', 'mudah', 'mula']",5,positive
"apknya cukup memuaskan dan dapat belajar dengan santai,normal,dan cepat (tergantung penggunanya)",apknya cukup memuaskan dan dapat belajar dengan santainormaldan cepat tergantung penggunanya,apknya cukup memuaskan dan dapat belajar dengan santainormaldan cepat tergantung penggunanya,apknya cukup memuaskan dan dapat belajar dengan santainormaldan cepat tergantung penggunanya,apknya cukup memuaskan dan dapat belajar dengan santainormaldan cepat tergantung penggunanya,"['apknya', 'cukup', 'memuaskan', 'dan', 'dapat', 'belajar', 'dengan', 'santainormaldan', 'cepat', 'tergantung', 'penggunanya']","['apknya', 'cukup', 'memuaskan', 'dan', 'dapat', 'belajar', 'dengan', 'santainormaldan', 'cepat', 'tergantung', 'penggunanya']","['apknya', 'memuaskan', 'belajar', 'santainormaldan', 'cepat', 'tergantung', 'penggunanya']",apknya memuaskan belajar santainormaldan cepat tergantung penggunanya,apknya muas ajar santainormaldan cepat gantung guna,,"['apknya', 'muas', 'ajar', 'santainormaldan', 'cepat', 'gantung', 'guna']",15,positive
sangat membantu,sangat membantu,sangat membantu,sangat membantu,sangat membantu,"['sangat', 'membantu']","['sangat', 'membantu']",['membantu'],membantu,bantu,,['bantu'],4,positive
keren,keren,keren,keren,keren,['keren'],['keren'],['keren'],keren,keren,,['keren'],2,positive
