Review,text_clean,text_casefoldingText,text_slangwords,text_tokenizingText,text_stopword,text_sentenced,text_final_stemmed,fitur_terdeteksi
"Sangat membantu untuk memahami kanji, desain yang simpel dan elegan bikin belajar jadi gampang",Sangat membantu untuk memahami kanji desain yang simpel dan elegan bikin belajar jadi gampang,sangat membantu untuk memahami kanji desain yang simpel dan elegan bikin belajar jadi gampang,sangat membantu untuk memahami kanji desain yang simpel dan elegan buat belajar jadi gampang,"['sangat', 'membantu', 'untuk', 'memahami', 'kanji', 'desain', 'yang', 'simpel', 'dan', 'elegan', 'buat', 'belajar', 'jadi', 'gampang']","['membantu', 'memahami', 'kanji', 'desain', 'simpel', 'elegan', 'belajar', 'gampang']",membantu memahami kanji desain simpel elegan belajar gampang,bantu paham kanji desain simpel elegan ajar gampang,kanji
"aplikasi ini membantu banget buat yang otodidak yg ingin blajar hiragana, kata kana dan kanji N5 dan di kasih waktu untuk mengerjakan nya mantep aplikasi nya",aplikasi ini membantu banget buat yang otodidak yg ingin blajar hiragana kata kana dan kanji N dan di kasih waktu untuk mengerjakan nya mantep aplikasi nya,aplikasi ini membantu banget buat yang otodidak yg ingin blajar hiragana kata kana dan kanji n dan di kasih waktu untuk mengerjakan nya mantep aplikasi nya,aplikasi ini membantu banget buat yang otodidak yang ingin blajar hiragana kata kana dan kanji dan dan di kasih waktu untuk mengerjakan nya mantap aplikasi nya,"['aplikasi', 'ini', 'membantu', 'banget', 'buat', 'yang', 'otodidak', 'yang', 'ingin', 'blajar', 'hiragana', 'kata', 'kana', 'dan', 'kanji', 'dan', 'dan', 'di', 'kasih', 'waktu', 'untuk', 'mengerjakan', 'nya', 'mantap', 'aplikasi', 'nya']","['aplikasi', 'membantu', 'banget', 'otodidak', 'blajar', 'hiragana', 'kana', 'kanji', 'kasih', 'mantap', 'aplikasi']",aplikasi membantu banget otodidak blajar hiragana kana kanji kasih mantap aplikasi,aplikasi bantu banget otodidak blajar hiragana kana kanji kasih mantap aplikasi,kanji
"kanji lengkap, setiap kanji, radikal dan komponen dapat dipelajari secara detail",kanji lengkap setiap kanji radikal dan komponen dapat dipelajari secara detail,kanji lengkap setiap kanji radikal dan komponen dapat dipelajari secara detail,kanji lengkap setiap kanji radikal dan komponen dapat dipelajari secara detail,"['kanji', 'lengkap', 'setiap', 'kanji', 'radikal', 'dan', 'komponen', 'dapat', 'dipelajari', 'secara', 'detail']","['kanji', 'lengkap', 'kanji', 'radikal', 'komponen', 'dipelajari', 'detail']",kanji lengkap kanji radikal komponen dipelajari detail,kanji lengkap kanji radikal komponen ajar detail,kanji
"Aplikasi ini bagus tapi 200rb rupiah mahal, tidak worth it dibeli kalau seharga 50-75rb rupiah worth it. Versi free kita belajar kanji dan kosakata mungkin berguna. Belajar dari radikal saja ketemu kanji free learning. Aku sarankan dicoba dulu sebelum dibeli karena takutnya kecewa berat. Semoga anda dapat rezeki melimpah dengan rahmat tuhan",Aplikasi ini bagus tapi rb rupiah mahal tidak worth it dibeli kalau seharga rb rupiah worth it Versi free kita belajar kanji dan kosakata mungkin berguna Belajar dari radikal saja ketemu kanji free learning Aku sarankan dicoba dulu sebelum dibeli karena takutnya kecewa berat Semoga anda dapat rezeki melimpah dengan rahmat tuhan,aplikasi ini bagus tapi rb rupiah mahal tidak worth it dibeli kalau seharga rb rupiah worth it versi free kita belajar kanji dan kosakata mungkin berguna belajar dari radikal saja ketemu kanji free learning aku sarankan dicoba dulu sebelum dibeli karena takutnya kecewa berat semoga anda dapat rezeki melimpah dengan rahmat tuhan,aplikasi ini bagus tapi rb rupiah mahal tidak worth it dibeli kalau seharga rb rupiah worth it versi free kita belajar kanji dan kosakata mungkin berguna belajar dari radikal saja ketemu kanji free learning aku sarankan dicoba dulu sebelum dibeli karena takutnya kecewa berat semoga anda dapat rezeki melimpah dengan rahmat tuhan,"['aplikasi', 'ini', 'bagus', 'tapi', 'rb', 'rupiah', 'mahal', 'tidak', 'worth', 'it', 'dibeli', 'kalau', 'seharga', 'rb', 'rupiah', 'worth', 'it', 'versi', 'free', 'kita', 'belajar', 'kanji', 'dan', 'kosakata', 'mungkin', 'berguna', 'belajar', 'dari', 'radikal', 'saja', 'ketemu', 'kanji', 'free', 'learning', 'aku', 'sarankan', 'dicoba', 'dulu', 'sebelum', 'dibeli', 'karena', 'takutnya', 'kecewa', 'berat', 'semoga', 'anda', 'dapat', 'rezeki', 'melimpah', 'dengan', 'rahmat', 'tuhan']","['aplikasi', 'bagus', 'rb', 'rupiah', 'mahal', 'worth', 'dibeli', 'seharga', 'rb', 'rupiah', 'worth', 'versi', 'free', 'belajar', 'kanji', 'kosakata', 'berguna', 'belajar', 'radikal', 'ketemu', 'kanji', 'free', 'learning', 'sarankan', 'dicoba', 'dibeli', 'takutnya', 'kecewa', 'berat', 'semoga', 'rezeki', 'melimpah', 'rahmat', 'tuhan']",aplikasi bagus rb rupiah mahal worth dibeli seharga rb rupiah worth versi free belajar kanji kosakata berguna belajar radikal ketemu kanji free learning sarankan dicoba dibeli takutnya kecewa berat semoga rezeki melimpah rahmat tuhan,aplikasi bagus rb rupiah mahal worth beli harga rb rupiah worth versi free ajar kanji kosakata guna ajar radikal ketemu kanji free learning saran coba beli takut kecewa berat moga rezeki limpah rahmat tuhan,"kanji,kotoba"
Pokoknya Sangat cocok sekali bagi penghafal huruf kanji di aplikasi ini....top bangets 💪😆😆,Pokoknya Sangat cocok sekali bagi penghafal huruf kanji di aplikasi initop bangets,pokoknya sangat cocok sekali bagi penghafal huruf kanji di aplikasi initop bangets,pokoknya sangat cocok sekali bagi penghafal huruf kanji di aplikasi initop bangets,"['pokoknya', 'sangat', 'cocok', 'sekali', 'bagi', 'penghafal', 'huruf', 'kanji', 'di', 'aplikasi', 'initop', 'bangets']","['pokoknya', 'cocok', 'penghafal', 'huruf', 'kanji', 'aplikasi', 'initop', 'bangets']",pokoknya cocok penghafal huruf kanji aplikasi initop bangets,pokok cocok hafal huruf kanji aplikasi initop bangets,kanji
"sangat mudah di pahami. kanjinya dibagi persepuluh, jadi tidak terlihat banyak dan tefokus persepuluh. dan itu sangat berpengaruh... aplikasi kanji paling kerenlah yang ada di playstore/ lainnya... harus dicoba,,, langsung hafal pokoknya.. saya yakin",sangat mudah di pahami kanjinya dibagi persepuluh jadi tidak terlihat banyak dan tefokus persepuluh dan itu sangat berpengaruh aplikasi kanji paling kerenlah yang ada di playstore lainnya harus dicoba langsung hafal pokoknya saya yakin,sangat mudah di pahami kanjinya dibagi persepuluh jadi tidak terlihat banyak dan tefokus persepuluh dan itu sangat berpengaruh aplikasi kanji paling kerenlah yang ada di playstore lainnya harus dicoba langsung hafal pokoknya saya yakin,sangat mudah di pahami kanjinya dibagi persepuluh jadi tidak terlihat banyak dan tefokus persepuluh dan itu sangat berpengaruh aplikasi kanji paling kerenlah yang ada di playstore lainnya harus dicoba langsung hafal pokoknya saya yakin,"['sangat', 'mudah', 'di', 'pahami', 'kanjinya', 'dibagi', 'persepuluh', 'jadi', 'tidak', 'terlihat', 'banyak', 'dan', 'tefokus', 'persepuluh', 'dan', 'itu', 'sangat', 'berpengaruh', 'aplikasi', 'kanji', 'paling', 'kerenlah', 'yang', 'ada', 'di', 'playstore', 'lainnya', 'harus', 'dicoba', 'langsung', 'hafal', 'pokoknya', 'saya', 'yakin']","['mudah', 'pahami', 'kanjinya', 'dibagi', 'persepuluh', 'tefokus', 'persepuluh', 'berpengaruh', 'aplikasi', 'kanji', 'kerenlah', 'playstore', 'dicoba', 'langsung', 'hafal', 'pokoknya']",mudah pahami kanjinya dibagi persepuluh tefokus persepuluh berpengaruh aplikasi kanji kerenlah playstore dicoba langsung hafal pokoknya,mudah paham kanji bagi puluh tefokus puluh pengaruh aplikasi kanji keren playstore coba langsung hafal pokok,kanji
"Jujur apk ini sangat membantu dan mudah dipahami, aku dapat membedakan onyomi dan kunyomi berkat aplikasi ini, minusnya cuma 1 di bagian arti kalimat contoh nya bahasa inggris, selebih itu gaada masalah. apk ini Cocok banget buat yang lagi belajar bahasa jepang kanji. TERIMA KASIH KANJI STUDY",Jujur apk ini sangat membantu dan mudah dipahami aku dapat membedakan onyomi dan kunyomi berkat aplikasi ini minusnya cuma  di bagian arti kalimat contoh nya bahasa inggris selebih itu gaada masalah apk ini Cocok banget buat yang lagi belajar bahasa jepang kanji TERIMA KASIH KANJI STUDY,jujur apk ini sangat membantu dan mudah dipahami aku dapat membedakan onyomi dan kunyomi berkat aplikasi ini minusnya cuma  di bagian arti kalimat contoh nya bahasa inggris selebih itu gaada masalah apk ini cocok banget buat yang lagi belajar bahasa jepang kanji terima kasih kanji study,jujur apk ini sangat membantu dan mudah dipahami aku dapat membedakan onyomi dan kunyomi berkat aplikasi ini minusnya cuma di bagian arti kalimat contoh nya bahasa inggris selebih itu tidak ada masalah apk ini cocok banget buat yang lagi belajar bahasa jepang kanji terima kasih kanji study,"['jujur', 'apk', 'ini', 'sangat', 'membantu', 'dan', 'mudah', 'dipahami', 'aku', 'dapat', 'membedakan', 'onyomi', 'dan', 'kunyomi', 'berkat', 'aplikasi', 'ini', 'minusnya', 'cuma', 'di', 'bagian', 'arti', 'kalimat', 'contoh', 'nya', 'bahasa', 'inggris', 'selebih', 'itu', 'tidak', 'ada', 'masalah', 'apk', 'ini', 'cocok', 'banget', 'buat', 'yang', 'lagi', 'belajar', 'bahasa', 'jepang', 'kanji', 'terima', 'kasih', 'kanji', 'study']","['jujur', 'apk', 'membantu', 'mudah', 'dipahami', 'membedakan', 'onyomi', 'kunyomi', 'berkat', 'aplikasi', 'minusnya', 'arti', 'kalimat', 'contoh', 'bahasa', 'inggris', 'selebih', 'apk', 'cocok', 'banget', 'belajar', 'bahasa', 'jepang', 'kanji', 'terima', 'kasih', 'kanji', 'study']",jujur apk membantu mudah dipahami membedakan onyomi kunyomi berkat aplikasi minusnya arti kalimat contoh bahasa inggris selebih apk cocok banget belajar bahasa jepang kanji terima kasih kanji study,jujur apk bantu mudah paham beda onyomi kunyomi berkat aplikasi minus arti kalimat contoh bahasa inggris lebih apk cocok banget ajar bahasa jepang kanji terima kasih kanji study,"bunpou,kanji"
"if I update this app, should I re-pay it for the newest version or free, answer me please...? alhamdulilah ,ini aplikasi komplit banget, mulai dari hiragana, katakana,kanji, semua ada, tapi sayang nya gak gratis dan gak semua kanji nya di kunci, dan harus ada pembayaran buat ngebuka semua level kanjinya, tapi mau bayarnya bingung gak punya kartu kredit/atm.e-money gak punya, tapi kalau pake pulsa provider seluler bisa gak yah,kalau bisa pake pulsa hp enak.",if I update this app should I repay it for the newest version or free answer me please alhamdulilah ini aplikasi komplit banget mulai dari hiragana katakanakanji semua ada tapi sayang nya gak gratis dan gak semua kanji nya di kunci dan harus ada pembayaran buat ngebuka semua level kanjinya tapi mau bayarnya bingung gak punya kartu kreditatmemoney gak punya tapi kalau pake pulsa provider seluler bisa gak yahkalau bisa pake pulsa hp enak,if i update this app should i repay it for the newest version or free answer me please alhamdulilah ini aplikasi komplit banget mulai dari hiragana katakanakanji semua ada tapi sayang nya gak gratis dan gak semua kanji nya di kunci dan harus ada pembayaran buat ngebuka semua level kanjinya tapi mau bayarnya bingung gak punya kartu kreditatmemoney gak punya tapi kalau pake pulsa provider seluler bisa gak yahkalau bisa pake pulsa hp enak,if i update this app should i repay it for the newest version atau free answer me please alhamdulilah ini aplikasi komplit banget mulai dari hiragana katakanakanji semua ada tapi sayang nya tidak gratis dan tidak semua kanji nya di kunci dan harus ada pembayaran buat ngebuka semua level kanjinya tapi mau bayarnya bingung tidak punya kartu kreditatmemoney tidak punya tapi kalau pakai pulsa provider seluler bisa tidak yahkalau bisa pakai pulsa hp enak,"['if', 'i', 'update', 'this', 'app', 'should', 'i', 'repay', 'it', 'for', 'the', 'newest', 'version', 'atau', 'free', 'answer', 'me', 'please', 'alhamdulilah', 'ini', 'aplikasi', 'komplit', 'banget', 'mulai', 'dari', 'hiragana', 'katakanakanji', 'semua', 'ada', 'tapi', 'sayang', 'nya', 'tidak', 'gratis', 'dan', 'tidak', 'semua', 'kanji', 'nya', 'di', 'kunci', 'dan', 'harus', 'ada', 'pembayaran', 'buat', 'ngebuka', 'semua', 'level', 'kanjinya', 'tapi', 'mau', 'bayarnya', 'bingung', 'tidak', 'punya', 'kartu', 'kreditatmemoney', 'tidak', 'punya', 'tapi', 'kalau', 'pakai', 'pulsa', 'provider', 'seluler', 'bisa', 'tidak', 'yahkalau', 'bisa', 'pakai', 'pulsa', 'hp', 'enak']","['update', 'app', 'repay', 'newest', 'version', 'free', 'answer', 'please', 'alhamdulilah', 'aplikasi', 'komplit', 'banget', 'hiragana', 'katakanakanji', 'sayang', 'gratis', 'kanji', 'kunci', 'pembayaran', 'ngebuka', 'level', 'kanjinya', 'bayarnya', 'bingung', 'kartu', 'kreditatmemoney', 'pakai', 'pulsa', 'provider', 'seluler', 'yahkalau', 'pakai', 'pulsa', 'hp', 'enak']",update app repay newest version free answer please alhamdulilah aplikasi komplit banget hiragana katakanakanji sayang gratis kanji kunci pembayaran ngebuka level kanjinya bayarnya bingung kartu kreditatmemoney pakai pulsa provider seluler yahkalau pakai pulsa hp enak,update app repay newest version free answer please alhamdulilah aplikasi komplit banget hiragana katakanakanji sayang gratis kanji kunci bayar ngebuka level kanji bayar bingung kartu kreditatmemoney pakai pulsa provider seluler yahkalau pakai pulsa hp enak,"kanji,kotoba"
"Kanjiny lengkap dan penjelasannya detail, dilengkapi dengan cara penulisan, bacaan, radikal, contoh kalimat, hingga mode kuis beragam yang dapat dikostumisasi. Penggunaan serta pencarian kanji sangat mudah. Harga untuk upgrade ke premium juga bagus, saya sangat puas. Sangat saya rekomendasikan!",Kanjiny lengkap dan penjelasannya detail dilengkapi dengan cara penulisan bacaan radikal contoh kalimat hingga mode kuis beragam yang dapat dikostumisasi Penggunaan serta pencarian kanji sangat mudah Harga untuk upgrade ke premium juga bagus saya sangat puas Sangat saya rekomendasikan,kanjiny lengkap dan penjelasannya detail dilengkapi dengan cara penulisan bacaan radikal contoh kalimat hingga mode kuis beragam yang dapat dikostumisasi penggunaan serta pencarian kanji sangat mudah harga untuk upgrade ke premium juga bagus saya sangat puas sangat saya rekomendasikan,kanjiny lengkap dan penjelasannya detail dilengkapi dengan cara penulisan bacaan radikal contoh kalimat hingga mode kuis beragam yang dapat dikostumisasi penggunaan serta pencarian kanji sangat mudah harga untuk upgrade ke premium juga bagus saya sangat puas sangat saya rekomendasikan,"['kanjiny', 'lengkap', 'dan', 'penjelasannya', 'detail', 'dilengkapi', 'dengan', 'cara', 'penulisan', 'bacaan', 'radikal', 'contoh', 'kalimat', 'hingga', 'mode', 'kuis', 'beragam', 'yang', 'dapat', 'dikostumisasi', 'penggunaan', 'serta', 'pencarian', 'kanji', 'sangat', 'mudah', 'harga', 'untuk', 'upgrade', 'ke', 'premium', 'juga', 'bagus', 'saya', 'sangat', 'puas', 'sangat', 'saya', 'rekomendasikan']","['kanjiny', 'lengkap', 'penjelasannya', 'detail', 'dilengkapi', 'penulisan', 'bacaan', 'radikal', 'contoh', 'kalimat', 'mode', 'kuis', 'beragam', 'dikostumisasi', 'penggunaan', 'pencarian', 'kanji', 'mudah', 'harga', 'upgrade', 'premium', 'bagus', 'puas', 'rekomendasikan']",kanjiny lengkap penjelasannya detail dilengkapi penulisan bacaan radikal contoh kalimat mode kuis beragam dikostumisasi penggunaan pencarian kanji mudah harga upgrade premium bagus puas rekomendasikan,kanjiny lengkap jelas detail lengkap tulis baca radikal contoh kalimat mode kuis agam kostum guna cari kanji mudah harga upgrade premium bagus puas rekomendasi,"bunpou,kanji"
"Sangat menarik dan mempermudah dalam mempelajari kanji. Saya yang awalnya tidak suka belajar kanji karena sulit, tapi dengan aplikasi ini kanji terasa lebih mudah di pahami. Karena ada rating dalam penguasaan kanji, saya merasa ini seperti game yang menyenangkan. Saya ingin membeli untuk upgrade belajar semua kanji, namun sayangnya terjadi masalah dengan playstore terkait negara di akun saya. Saya harap bisa membelinya di kemudian hari setelah masalah ini bisa diperbaiki.",Sangat menarik dan mempermudah dalam mempelajari kanji Saya yang awalnya tidak suka belajar kanji karena sulit tapi dengan aplikasi ini kanji terasa lebih mudah di pahami Karena ada rating dalam penguasaan kanji saya merasa ini seperti game yang menyenangkan Saya ingin membeli untuk upgrade belajar semua kanji namun sayangnya terjadi masalah dengan playstore terkait negara di akun saya Saya harap bisa membelinya di kemudian hari setelah masalah ini bisa diperbaiki,sangat menarik dan mempermudah dalam mempelajari kanji saya yang awalnya tidak suka belajar kanji karena sulit tapi dengan aplikasi ini kanji terasa lebih mudah di pahami karena ada rating dalam penguasaan kanji saya merasa ini seperti game yang menyenangkan saya ingin membeli untuk upgrade belajar semua kanji namun sayangnya terjadi masalah dengan playstore terkait negara di akun saya saya harap bisa membelinya di kemudian hari setelah masalah ini bisa diperbaiki,sangat menarik dan mempermudah dalam mempelajari kanji saya yang awalnya tidak suka belajar kanji karena sulit tapi dengan aplikasi ini kanji terasa lebih mudah di pahami karena ada rating dalam penguasaan kanji saya merasa ini seperti game yang menyenangkan saya ingin membeli untuk upgrade belajar semua kanji namun sayangnya terjadi masalah dengan playstore terkait negara di akun saya saya harap bisa membelinya di kemudian hari setelah masalah ini bisa diperbaiki,"['sangat', 'menarik', 'dan', 'mempermudah', 'dalam', 'mempelajari', 'kanji', 'saya', 'yang', 'awalnya', 'tidak', 'suka', 'belajar', 'kanji', 'karena', 'sulit', 'tapi', 'dengan', 'aplikasi', 'ini', 'kanji', 'terasa', 'lebih', 'mudah', 'di', 'pahami', 'karena', 'ada', 'rating', 'dalam', 'penguasaan', 'kanji', 'saya', 'merasa', 'ini', 'seperti', 'game', 'yang', 'menyenangkan', 'saya', 'ingin', 'membeli', 'untuk', 'upgrade', 'belajar', 'semua', 'kanji', 'namun', 'sayangnya', 'terjadi', 'masalah', 'dengan', 'playstore', 'terkait', 'negara', 'di', 'akun', 'saya', 'saya', 'harap', 'bisa', 'membelinya', 'di', 'kemudian', 'hari', 'setelah', 'masalah', 'ini', 'bisa', 'diperbaiki']","['menarik', 'mempermudah', 'mempelajari', 'kanji', 'suka', 'belajar', 'kanji', 'sulit', 'aplikasi', 'kanji', 'mudah', 'pahami', 'rating', 'penguasaan', 'kanji', 'game', 'menyenangkan', 'membeli', 'upgrade', 'belajar', 'kanji', 'sayangnya', 'playstore', 'terkait', 'negara', 'akun', 'harap', 'membelinya', 'diperbaiki']",menarik mempermudah mempelajari kanji suka belajar kanji sulit aplikasi kanji mudah pahami rating penguasaan kanji game menyenangkan membeli upgrade belajar kanji sayangnya playstore terkait negara akun harap membelinya diperbaiki,tarik mudah ajar kanji suka ajar kanji sulit aplikasi kanji mudah paham rating kuasa kanji game senang beli upgrade ajar kanji sayang playstore kait negara akun harap bel baik,kanji
