Review,text_clean,text_casefoldingText,text_final_splitted,text_slangwords,text_tokenizingText,text_normalized,text_stopword,text_sentenced,text_final_stemmed,fitur_terdeteksi
"Overall sudah bagus semua nya. Kurang diterjemahan bahasa indonesia nya. Alangkah sebaik nya ditambahkan untuk bahasa indonesia juga, agar kita yang tidak bisa bahasa inggris, bisa mengerti penjelasan atau arti dari suatu kata atau kalimat.",Overall sudah bagus semua nya Kurang diterjemahan bahasa indonesia nya Alangkah sebaik nya ditambahkan untuk bahasa indonesia juga agar kita yang tidak bisa bahasa inggris bisa mengerti penjelasan atau arti dari suatu kata atau kalimat,overall sudah bagus semua nya kurang diterjemahan bahasa indonesia nya alangkah sebaik nya ditambahkan untuk bahasa indonesia juga agar kita yang tidak bisa bahasa inggris bisa mengerti penjelasan atau arti dari suatu kata atau kalimat,overall sudah bagus semua nya kurang diterjemahan bahasa indonesia nya alangkah sebaik nya ditambahkan untuk bahasa indonesia juga agar kita yang tidak bisa bahasa inggris bisa mengerti penjelasan atau arti dari suatu kata atau kalimat,overall sudah bagus semua nya kurang diterjemahan bahasa indonesia nya alangkah sebaik nya ditambahkan untuk bahasa indonesia juga agar kita yang tidak bisa bahasa inggris bisa mengerti penjelasan atau arti dari suatu kata atau kalimat,"['overall', 'sudah', 'bagus', 'semua', 'nya', 'kurang', 'diterjemahan', 'bahasa', 'indonesia', 'nya', 'alangkah', 'sebaik', 'nya', 'ditambahkan', 'untuk', 'bahasa', 'indonesia', 'juga', 'agar', 'kita', 'yang', 'tidak', 'bisa', 'bahasa', 'inggris', 'bisa', 'mengerti', 'penjelasan', 'atau', 'arti', 'dari', 'suatu', 'kata', 'atau', 'kalimat']","['overall', 'sudah', 'bagus', 'semua', 'nya', 'kurang', 'diterjemahan', 'bahasa', 'indonesia', 'nya', 'alangkah', 'sebaik', 'nya', 'ditambahkan', 'untuk', 'bahasa', 'indonesia', 'juga', 'agar', 'kita', 'yang', 'tidak', 'bisa', 'bahasa', 'inggris', 'bisa', 'mengerti', 'penjelasan', 'atau', 'arti', 'dari', 'suatu', 'kata', 'atau', 'kalimat']","['overall', 'bagus', 'diterjemahan', 'bahasa', 'indonesia', 'alangkah', 'bahasa', 'indonesia', 'bahasa', 'inggris', 'mengerti', 'penjelasan', 'arti', 'kalimat']",overall bagus diterjemahan bahasa indonesia alangkah bahasa indonesia bahasa inggris mengerti penjelasan arti kalimat,overall bagus terjemah bahasa indonesia alangkah bahasa indonesia bahasa inggris erti jelas arti kalimat,bunpou
"Sangat membantu, banyak sekali pilihan quiz mulai dari kana,kanji, sampe vocab dari N5-N1. UI juga mudah dinavigasi selain itu ada fitur stroke order yang sangat membantu. ありがとございます",Sangat membantu banyak sekali pilihan quiz mulai dari kanakanji sampe vocab dari NN UI juga mudah dinavigasi selain itu ada fitur stroke order yang sangat membantu,sangat membantu banyak sekali pilihan quiz mulai dari kanakanji sampe vocab dari nn ui juga mudah dinavigasi selain itu ada fitur stroke order yang sangat membantu,sangat membantu banyak sekali pilihan quiz mulai dari kanakanji sampe vocab dari nn ui juga mudah dinavigasi selain itu ada fitur stroke order yang sangat membantu,sangat membantu banyak sekali pilihan quiz mulai dari kanakanji sampai vocab dari nn ui juga mudah dinavigasi selain itu ada fitur stroke order yang sangat membantu,"['sangat', 'membantu', 'banyak', 'sekali', 'pilihan', 'quiz', 'mulai', 'dari', 'kanakanji', 'sampai', 'vocab', 'dari', 'nn', 'ui', 'juga', 'mudah', 'dinavigasi', 'selain', 'itu', 'ada', 'fitur', 'stroke', 'order', 'yang', 'sangat', 'membantu']","['sangat', 'membantu', 'banyak', 'sekali', 'pilihan', 'quiz', 'mulai', 'dari', 'kanakanji', 'sampai', 'vocab', 'dari', 'nn', 'ui', 'juga', 'mudah', 'dinavigasi', 'selain', 'itu', 'ada', 'fitur', 'stroke', 'order', 'yang', 'sangat', 'membantu']","['membantu', 'pilihan', 'quiz', 'kanakanji', 'vocab', 'nn', 'ui', 'mudah', 'dinavigasi', 'fitur', 'stroke', 'order', 'membantu']",membantu pilihan quiz kanakanji vocab nn ui mudah dinavigasi fitur stroke order membantu,bantu pilih quiz kanakanji vocab nn ui mudah navigasi fitur stroke order bantu,"kanji,kotoba"
"Applikasi ini bagus untuk belajar dr awal banget. Pengenalannya lengkap dr mulai huruf hiragana, katakana, kanji, angka, partikel, grammar. Hingga tes2nya. Tapi sayangnya ga ada bahasa Indonesianya. Tolong ditambahkan bahasa Indonesia, pasti akan lebih baik. Terimakasih",Applikasi ini bagus untuk belajar dr awal banget Pengenalannya lengkap dr mulai huruf hiragana katakana kanji angka partikel grammar Hingga tesnya Tapi sayangnya ga ada bahasa Indonesianya Tolong ditambahkan bahasa Indonesia pasti akan lebih baik Terimakasih,applikasi ini bagus untuk belajar dr awal banget pengenalannya lengkap dr mulai huruf hiragana katakana kanji angka partikel grammar hingga tesnya tapi sayangnya ga ada bahasa indonesianya tolong ditambahkan bahasa indonesia pasti akan lebih baik terimakasih,applikasi ini bagus untuk belajar dr awal banget pengenalannya lengkap dr mulai huruf hiragana katakana kanji angka partikel grammar hingga tesnya sayangnya ga ada bahasa indonesianya tolong ditambahkan bahasa indonesia pasti akan lebih baik terimakasih,applikasi ini bagus untuk belajar dari awal banget pengenalannya lengkap dari mulai huruf hiragana katakana kanji angka partikel tata bahasa hingga tesnya sayangnya tidak ada bahasa indonesianya tolong ditambahkan bahasa indonesia pasti akan lebih baik terimakasih,"['applikasi', 'ini', 'bagus', 'untuk', 'belajar', 'dari', 'awal', 'banget', 'pengenalannya', 'lengkap', 'dari', 'mulai', 'huruf', 'hiragana', 'katakana', 'kanji', 'angka', 'partikel', 'tata', 'bahasa', 'hingga', 'tesnya', 'sayangnya', 'tidak', 'ada', 'bahasa', 'indonesianya', 'tolong', 'ditambahkan', 'bahasa', 'indonesia', 'pasti', 'akan', 'lebih', 'baik', 'terimakasih']","['applikasi', 'ini', 'bagus', 'untuk', 'belajar', 'dari', 'awal', 'banget', 'pengenalannya', 'lengkap', 'dari', 'mulai', 'huruf', 'hiragana', 'katakana', 'kanji', 'angka', 'partikel', 'tata', 'bahasa', 'hingga', 'tesnya', 'sayangnya', 'tidak', 'ada', 'bahasa', 'indonesianya', 'tolong', 'ditambahkan', 'bahasa', 'indonesia', 'pasti', 'akan', 'lebih', 'baik', 'terimakasih']","['applikasi', 'bagus', 'belajar', 'banget', 'pengenalannya', 'lengkap', 'huruf', 'hiragana', 'katakana', 'kanji', 'angka', 'partikel', 'tata', 'bahasa', 'tesnya', 'sayangnya', 'bahasa', 'indonesianya', 'tolong', 'bahasa', 'indonesia', 'baik', 'terimakasih']",applikasi bagus belajar banget pengenalannya lengkap huruf hiragana katakana kanji angka partikel tata bahasa tesnya sayangnya bahasa indonesianya tolong bahasa indonesia baik terimakasih,applikasi bagus ajar banget kenal lengkap huruf hiragana katakana kanji angka partikel tata bahasa tes sayang bahasa indonesia tolong bahasa indonesia baik terimakasih,"bunpou,kanji,kotoba"
"Tolong dong ada pilihan bahasa Indonesia nya jadi bingung kalau tes bukannya ga tau kanji nya tapi malah ga tau arti Inggris nya Mohon di lengkapi pilihan bahasa Indonesia nya ya, agar lebih mudah dipelajari Terima kasih Nanti kalau sudah ada bahasa Indonesia nya saya kasih bintang 5",Tolong dong ada pilihan bahasa Indonesia nya jadi bingung kalau tes bukannya ga tau kanji nya tapi malah ga tau arti Inggris nya Mohon di lengkapi pilihan bahasa Indonesia nya ya agar lebih mudah dipelajari Terima kasih Nanti kalau sudah ada bahasa Indonesia nya saya kasih bintang,tolong dong ada pilihan bahasa indonesia nya jadi bingung kalau tes bukannya ga tau kanji nya tapi malah ga tau arti inggris nya mohon di lengkapi pilihan bahasa indonesia nya ya agar lebih mudah dipelajari terima kasih nanti kalau sudah ada bahasa indonesia nya saya kasih bintang,tolong dong ada pilihan bahasa indonesia nya jadi bingung kalau tes bukannya ga tau kanji nya malah ga tau arti inggris nya mohon di lengkapi pilihan bahasa indonesia nya ya agar lebih mudah dipelajari terima kasih nanti kalau sudah ada bahasa indonesia nya saya kasih bintang,tolong dong ada pilihan bahasa indonesia nya jadi bingung kalau tes bukannya tidak tahu kanji nya bahkan tidak tahu arti inggris nya mohon di lengkapi pilihan bahasa indonesia nya iya agar lebih mudah dipelajari terima kasih nanti kalau sudah ada bahasa indonesia nya saya kasih bintang,"['tolong', 'dong', 'ada', 'pilihan', 'bahasa', 'indonesia', 'nya', 'jadi', 'bingung', 'kalau', 'tes', 'bukannya', 'tidak', 'tahu', 'kanji', 'nya', 'bahkan', 'tidak', 'tahu', 'arti', 'inggris', 'nya', 'mohon', 'di', 'lengkapi', 'pilihan', 'bahasa', 'indonesia', 'nya', 'iya', 'agar', 'lebih', 'mudah', 'dipelajari', 'terima', 'kasih', 'nanti', 'kalau', 'sudah', 'ada', 'bahasa', 'indonesia', 'nya', 'saya', 'kasih', 'bintang']","['tolong', 'dong', 'ada', 'pilihan', 'bahasa', 'indonesia', 'nya', 'jadi', 'bingung', 'kalau', 'tes', 'bukannya', 'tidak', 'tahu', 'kanji', 'nya', 'bahkan', 'tidak', 'tahu', 'arti', 'inggris', 'nya', 'mohon', 'di', 'lengkapi', 'pilihan', 'bahasa', 'indonesia', 'nya', 'iya', 'agar', 'lebih', 'mudah', 'dipelajari', 'terima', 'kasih', 'nanti', 'kalau', 'sudah', 'ada', 'bahasa', 'indonesia', 'nya', 'saya', 'kasih', 'bintang']","['tolong', 'pilihan', 'bahasa', 'indonesia', 'bingung', 'tes', 'kanji', 'arti', 'inggris', 'mohon', 'lengkapi', 'pilihan', 'bahasa', 'indonesia', 'mudah', 'dipelajari', 'terima', 'kasih', 'bahasa', 'indonesia', 'kasih', 'bintang']",tolong pilihan bahasa indonesia bingung tes kanji arti inggris mohon lengkapi pilihan bahasa indonesia mudah dipelajari terima kasih bahasa indonesia kasih bintang,tolong pilih bahasa indonesia bingung tes kanji arti inggris mohon lengkap pilih bahasa indonesia mudah ajar terima kasih bahasa indonesia kasih bintang,kanji
"Sangat tidak merekomendasikan aplikasi ini, saya mengerjakan soal angka kanji/hiragana dianggap salah(padahal bener, di google juga bener), ya mungkin hanya itu kesalahannya, tapi setelah ku ulangi atau mulai dari awal tetep aja ada yg seperti itu.... Sesat!!!!!! Pokoknya jangan didownload!!!",Sangat tidak merekomendasikan aplikasi ini saya mengerjakan soal angka kanjihiragana dianggap salahpadahal bener di google juga bener ya mungkin hanya itu kesalahannya tapi setelah ku ulangi atau mulai dari awal tetep aja ada yg seperti itu Sesat Pokoknya jangan didownload,sangat tidak merekomendasikan aplikasi ini saya mengerjakan soal angka kanjihiragana dianggap salahpadahal bener di google juga bener ya mungkin hanya itu kesalahannya tapi setelah ku ulangi atau mulai dari awal tetep aja ada yg seperti itu sesat pokoknya jangan didownload,sangat tidak merekomendasikan aplikasi ini saya mengerjakan soal angka kanjihiragana dianggap salahpadahal bener di google juga bener ya mungkin hanya itu kesalahannya setelah ku ulangi atau mulai dari awal tetep aja ada yg seperti itu sesat pokoknya jangan didownload,sangat tidak merekomendasikan aplikasi ini saya mengerjakan soal angka kanjihiragana dianggap salahpadahal benar di google juga benar iya mungkin hanya itu kesalahannya setelah ku ulangi atau mulai dari awal tetep saja ada yang seperti itu sesat pokoknya jangan didownload,"['sangat', 'tidak', 'merekomendasikan', 'aplikasi', 'ini', 'saya', 'mengerjakan', 'soal', 'angka', 'kanjihiragana', 'dianggap', 'salahpadahal', 'benar', 'di', 'google', 'juga', 'benar', 'iya', 'mungkin', 'hanya', 'itu', 'kesalahannya', 'setelah', 'ku', 'ulangi', 'atau', 'mulai', 'dari', 'awal', 'tetep', 'saja', 'ada', 'yang', 'seperti', 'itu', 'sesat', 'pokoknya', 'jangan', 'didownload']","['sangat', 'tidak', 'merekomendasikan', 'aplikasi', 'ini', 'saya', 'mengerjakan', 'soal', 'angka', 'kanjihiragana', 'dianggap', 'salahpadahal', 'benar', 'di', 'google', 'juga', 'benar', 'iya', 'mungkin', 'hanya', 'itu', 'kesalahannya', 'setelah', 'ku', 'ulangi', 'atau', 'mulai', 'dari', 'awal', 'tetep', 'saja', 'ada', 'yang', 'seperti', 'itu', 'sesat', 'pokoknya', 'jangan', 'didownload']","['merekomendasikan', 'aplikasi', 'angka', 'kanjihiragana', 'dianggap', 'salahpadahal', 'google', 'kesalahannya', 'ulangi', 'tetep', 'sesat', 'pokoknya', 'didownload']",merekomendasikan aplikasi angka kanjihiragana dianggap salahpadahal google kesalahannya ulangi tetep sesat pokoknya didownload,rekomendasi aplikasi angka kanjihiragana anggap salahpadahal google salah ulang tetep sesat pokok didownload,kanji
"Mantap jiwa dah, keren, untuk belajar bahasa Jepang, hiragana, katakana, kanji, kosakata, tata kalimat, dll, semuanya lengkap.",Mantap jiwa dah keren untuk belajar bahasa Jepang hiragana katakana kanji kosakata tata kalimat dll semuanya lengkap,mantap jiwa dah keren untuk belajar bahasa jepang hiragana katakana kanji kosakata tata kalimat dll semuanya lengkap,mantap jiwa dah keren untuk belajar bahasa jepang hiragana katakana kanji kosakata tata kalimat dll semuanya lengkap,mantap jiwa deh keren untuk belajar bahasa jepang hiragana katakana kanji kosakata tata kalimat dan lain-lain semuanya lengkap,"['mantap', 'jiwa', 'deh', 'keren', 'untuk', 'belajar', 'bahasa', 'jepang', 'hiragana', 'katakana', 'kanji', 'kosakata', 'tata', 'kalimat', 'dan', 'lain-lain', 'semuanya', 'lengkap']","['mantap', 'jiwa', 'deh', 'keren', 'untuk', 'belajar', 'bahasa', 'jepang', 'hiragana', 'katakana', 'kanji', 'kosakata', 'tata', 'kalimat', 'dan', 'lain-lain', 'semuanya', 'lengkap']","['mantap', 'jiwa', 'deh', 'keren', 'belajar', 'bahasa', 'jepang', 'hiragana', 'katakana', 'kanji', 'kosakata', 'tata', 'kalimat', 'lain-lain', 'lengkap']",mantap jiwa deh keren belajar bahasa jepang hiragana katakana kanji kosakata tata kalimat lain-lain lengkap,mantap jiwa deh keren ajar bahasa jepang hiragana katakana kanji kosakata tata kalimat lain lengkap,"bunpou,kanji,kotoba"
"Ngebantu banget buatku yg kadang suka lupa huruf kanji, katakana, atau hiragana nya hehe ° 3 °",Ngebantu banget buatku yg kadang suka lupa huruf kanji katakana atau hiragana nya hehe,ngebantu banget buatku yg kadang suka lupa huruf kanji katakana atau hiragana nya hehe,ngebantu banget buatku yg kadang suka lupa huruf kanji katakana atau hiragana nya hehe,ngebantu banget buatku yang kadang suka lupa huruf kanji katakana atau hiragana nya he,"['ngebantu', 'banget', 'buatku', 'yang', 'kadang', 'suka', 'lupa', 'huruf', 'kanji', 'katakana', 'atau', 'hiragana', 'nya', 'he']","['ngebantu', 'banget', 'buatku', 'yang', 'kadang', 'suka', 'lupa', 'huruf', 'kanji', 'katakana', 'atau', 'hiragana', 'nya', 'he']","['ngebantu', 'banget', 'buatku', 'kadang', 'suka', 'lupa', 'huruf', 'kanji', 'katakana', 'hiragana']",ngebantu banget buatku kadang suka lupa huruf kanji katakana hiragana,ngebantu banget buat kadang suka lupa huruf kanji katakana hiragana,"kanji,kotoba"
"Bagus sekali saya suka, bagi saya mudah belajar/menghafal kanji diaplikasi ini",Bagus sekali saya suka bagi saya mudah belajarmenghafal kanji diaplikasi ini,bagus sekali saya suka bagi saya mudah belajarmenghafal kanji diaplikasi ini,bagus sekali saya suka bagi saya mudah belajarmenghafal kanji diaplikasi ini,bagus sekali saya suka bagi saya mudah belajarmenghafal kanji diaplikasi ini,"['bagus', 'sekali', 'saya', 'suka', 'bagi', 'saya', 'mudah', 'belajarmenghafal', 'kanji', 'diaplikasi', 'ini']","['bagus', 'sekali', 'saya', 'suka', 'bagi', 'saya', 'mudah', 'belajarmenghafal', 'kanji', 'diaplikasi', 'ini']","['bagus', 'suka', 'mudah', 'belajarmenghafal', 'kanji', 'diaplikasi']",bagus suka mudah belajarmenghafal kanji diaplikasi,bagus suka mudah belajarmenghafal kanji aplikasi,kanji
Sangat membantu banget buat pemula yg lagi belajar hiragana sama katakana,Sangat membantu banget buat pemula yg lagi belajar hiragana sama katakana,sangat membantu banget buat pemula yg lagi belajar hiragana sama katakana,sangat membantu banget buat pemula yg lagi belajar hiragana sama katakana,sangat membantu banget buat pemula yang lagi belajar hiragana sama katakana,"['sangat', 'membantu', 'banget', 'buat', 'pemula', 'yang', 'lagi', 'belajar', 'hiragana', 'sama', 'katakana']","['sangat', 'membantu', 'banget', 'buat', 'pemula', 'yang', 'lagi', 'belajar', 'hiragana', 'sama', 'katakana']","['membantu', 'banget', 'pemula', 'belajar', 'hiragana', 'katakana']",membantu banget pemula belajar hiragana katakana,bantu banget mula ajar hiragana katakana,kotoba
sangat membantu sekali aplikasi ini membantu saya dalam belajar kanji jepang,sangat membantu sekali aplikasi ini membantu saya dalam belajar kanji jepang,sangat membantu sekali aplikasi ini membantu saya dalam belajar kanji jepang,sangat membantu sekali aplikasi ini membantu saya dalam belajar kanji jepang,sangat membantu sekali aplikasi ini membantu saya dalam belajar kanji jepang,"['sangat', 'membantu', 'sekali', 'aplikasi', 'ini', 'membantu', 'saya', 'dalam', 'belajar', 'kanji', 'jepang']","['sangat', 'membantu', 'sekali', 'aplikasi', 'ini', 'membantu', 'saya', 'dalam', 'belajar', 'kanji', 'jepang']","['membantu', 'aplikasi', 'membantu', 'belajar', 'kanji', 'jepang']",membantu aplikasi membantu belajar kanji jepang,bantu aplikasi bantu ajar kanji jepang,kanji
Selalu error' ketika yang kanji draw,Selalu error ketika yang kanji draw,selalu error ketika yang kanji draw,selalu error ketika yang kanji draw,selalu error ketika yang kanji draw,"['selalu', 'error', 'ketika', 'yang', 'kanji', 'draw']","['selalu', 'error', 'ketika', 'yang', 'kanji', 'draw']","['error', 'kanji', 'draw']",error kanji draw,error kanji draw,kanji
Tambahkan kosakata kata kerja dan kata sifat,Tambahkan kosakata kata kerja dan kata sifat,tambahkan kosakata kata kerja dan kata sifat,tambahkan kosakata kata kerja dan kata sifat,tambahkan kosakata kata kerja dan kata sifat,"['tambahkan', 'kosakata', 'kata', 'kerja', 'dan', 'kata', 'sifat']","['tambahkan', 'kosakata', 'kata', 'kerja', 'dan', 'kata', 'sifat']","['tambahkan', 'kosakata', 'kerja', 'sifat']",tambahkan kosakata kerja sifat,tambah kosakata kerja sifat,kotoba
